id,brand_name,status
325,Himalaya,1
326,Himani,1
327,Hit,1
328,Hommade,1
329,Honeywell,1
330,Honitus,1
331,Horeca Select,1
332,Horlicks,1
333,HS,1
334,Hudson,1
335,HUGO BOSS,1
336,Hygienix,1
337,Ice Special,1
338,Id,1
339,Idhayam,1
340,India Gate,1
341,India Sweet house,1
342,Indian,1
343,Indica,1
344,Indulekha,1
345,Iodex,1
346,I-Pill,1
347,ISSEY MIYAK,1
348,Issey Miyake,1
349,Itoys,1
350,I-Toys,1
351,Iyer'S,1
352,Jabson,1
353,Jabsons,1
354,JAGUAR,1
355,Jbl,1
356,Jelimals,1
357,Jennifer Lopez(J.Lo),1
358,Jersey,1
359,Jimmy,1
360,Jivo,1
361,Jiwa,1
362,Jockey,1
363,Johnson'S,1
364,Joop,1
365,Joy,1
366,Jpg,1
367,Kalasa,1
368,Kamasutra,1
369,Karachi,1
370,Karachi'S,1
371,Karthika,1
372,Kaya,1
373,Kaytra,1
374,KeepSafe,1
375,Keerthi Kitchen Special,1
376,Kelloggs,1
377,Kenstar,1
378,Kenzo,1
379,Kesar Gold,1
380,Kesari,1
381,Kesh King,1
382,Keya,1
383,Kim,1
384,Kims,1
385,Kinder ,1
386,Kinder Joy,1
387,Kinely,1
388,KINGFISHER,1
389,Kingston,1
390,Kinley,1
391,Kiran,1
392,Kissan,1
393,Kite,1
394,Kiwi,1
395,Klf,1
396,Knorr,1
397,Kohinoor,1
398,Koka,1
399,Kopiko,1
400,Krack,1
401,Krauss,1
402,Kurkere,1
403,Kurkure,1
404,Kwality,1
405,Kylo,1
406,L.G.,1
407,LACOSTE,1
408,Lactel,1
409,Lacto Calamine,1
410,Lactocalamine,1
411,Lactogen,1
412,Lakme,1
413,Lal,1
414,Lalpan,1
415,Lancome,1
416,Lanvin,1
417,Laura Di Sarpi,1
418,Lavie,1
419,Lawrence,1
420,Laxmi Bhog,1
421,LAYER'R,1
422,Lays,1
423,Lay'S,1
424,Leather Land,1
425,Lehar,1
426,Lever Ayush,1
427,Levista,1
428,Life buoy ,1
429,Lifebuoy,1
430,Lijjat,1
431,Limca,1
432,Lion,1
433,Lipton,1
434,Liril,1
435,Listerine,1
436,Lite,1
437,Livon,1
438,Lizol,1
439,Lomani,1
440,London Dairy,1
441,Loreal,1
442,L'Oreal,1
443,Loreal Paris,1
444,Lotte,1
445,Lotus,1
446,Luvit,1
447,Lux,1
448,Maaza,1
449,Madhuri,1
450,Maggi,1
451,Magix,1
452,Maiyas,1
453,Makino,1
454,Malkist,1
455,Mamypoko,1
456,Mangaldeep,1
457,Mangaram,1
458,Mangharam,1
459,Mango Bite,1
460,Mango Nectar,1
461,Manna,1
462,Marc,1
463,Margo,1
464,Marshall,1
465,Marvel,1
466,Masti,1
467,Maxo,1
468,Maya,1
469,Maybelline,1
470,Mccain,1
471,Mcvities,1
472,Mcvitie'S,1
473,Mdh,1
474,Meal Time,1
475,Mediker,1
476,Medimix,1
477,Meera,1
478,Melody,1
479,Meswak,1
480,Metro,1
481,Metro Chef,1
482,Milano,1
483,Milk Shakti,1
484,Milklane,1
485,Milkmaid,1
486,Milky Bar,1
487,Milky Mist,1
488,Milkybar,1
489,Minute Maid,1
490,Mirabelle,1
491,Mirinda,1
492,Modern,1
493,Moksh,1
494,Monaco,1
495,Monginis,1
496,MONT BLANC,1
497,Montale,1
498,Moov,1
499,Morisons,1
500,Mortein,1
501,Morton,1
502,Mother Dairy,1
503,Mothers Recipe,1
504,Mother'S Recipe,1
505,Mountain Dew,1
506,Mr Muscle,1
507,Mr.Muscle,1
508,Mr.White,1
509,Mrs Food Rite,1
510,Mrs Foodrite,1
511,Mtr,1
512,Muzafati,1
513,Mysore Sandal,1
514,Namdhari,1
515,Namjai Red,1
516,Nandini,1
517,Nandini Good Life,1
518,Naturally Yours,1
519,Nature Fresh,1
520,Natures First Veggies,1
521,Nautica,1
522,Navratna,1
523,Neko,1
524,Neo,1
525,Nerwan,1
526,Nescafe,1
527,Nestea,1
528,Nestle,1
529,Nestle ,1
530,Nestle Nan,1
531,Nestum,1
532,NIC Natural Ice Cream,1
533,Nice,1
534,Nicotex,1
535,Nimwash,1
536,Nimyle ,1
537,Nina,1
538,Nirlep,1
539,Nirmal,1
540,Nisargalaya,1
541,Nissin,1
542,Nivea,1
543,No Brand,1
544,No Rinse,1
545,Nutraj,1
546,Nutralite,1
547,Nutty Gritties,1
548,Nyle,1
549,Oath 4 Earth,1
550,Odomos,1
551,Odonil,1
552,Ogio By Callaway,1
553,Olay,1
554,Old Spice,1
555,Oleev,1
556,Oleev Pomace Oil,1
557,Omkar,1
558,On1y,1
559,Oral-B,1
560,Organic Tattva,1
561,Origami,1
562,ORION Choco Pie,1
563,Oziva,1
564,Paco,1
565,Palmo,1
566,Palmolive,1
567,Palmpure,1
568,Pampers,1
569,Panasonic,1
570,Pantene,1
571,Paper Boat,1
572,Parachute,1
573,Paree,1
574,Parivar,1
575,Pariz,1
576,Park,1
577,Park Avenue,1
578,Parle,1
579,Parle ,1
580,Parle Happy Happy,1
581,Parle Hide and seak,1
582,Parle-G,1
583,Parry'S White,1
584,Patanjali,1
585,Peacock,1
586,Pears,1
587,Pedia Sure,1
588,Pedigree,1
589,Pee Safe,1
590,Peppy,1
591,Pepsi,1
592,Pepsodent,1
593,Philips,1
594,Pidilite Rangeela,1
595,Pigeon,1
596,Pillsbury,1
597,Pimpom,1
598,Pitambari,1
599,Pitambri,1
600,Playboy,1
601,Plum,1
602,Police,1
603,Ponds,1
604,Pond'S,1
605,Poppins,1
606,Prabhuji,1
607,PRADA,1
608,Precious,1
609,Preethi,1
610,Premie,1
611,Premier,1
612,Premium,1
613,Premium Sona Masori,1
614,President,1
615,Prestige,1
616,Pril,1
617,Pringles,1
618,Priya,1
619,Pro,1
620,Pro Nature,1
621,Pro Organic,1
622,Protekt,1
623,Protinex,1
624,Pudinhara,1
625,Puja,1
626,Pulse,1
627,Pulse Oximeters,1
628,Purepet,1
629,Puro,1
630,Qraa,1
631,Quaker,1
632,Radox,1
633,Rajdhani,1
634,Ramen,1
635,RATNAS,1
636,Ravi,1
637,Raw,1
638,Real,1
639,Real Thai,1
640,Rebalanz,1
641,Red Bull,1
642,Red Label ,1
643,Regency,1
644,Relispray ,1
645,Revive,1
646,Revive ,1
647,Revlon,1
648,Rexo,1
649,Rexona,1
650,Ribbon,1
651,Rich'S,1
652,Rin,1
653,Rioba,1
654,Roasta,1
655,Roasty Tasty,1
656,Robin,1
657,Ruby,1
658,Ruchi,1
659,Ruchi Gold,1
660,Sabena,1
661,Sadguru,1
662,Safal,1
663,Safal Frozen,1
664,Safewash,1
665,Saffola,1
666,Sakthi,1
667,Sakthi ,1
668,Salvatore,1
669,Samrat,1
670,Sams,1
671,Samsonite,1
672,Sandisk,1
673,Sanifresh,1
674,Sanifresh ,1
675,Sanityplus,1
676,Santoor,1
677,Saurabh,1
678,Savlon,1
679,Schweppes,1
680,Scoatch Brite,1
681,Scotch Brite,1
682,Scotch-Brite,1
683,Scott,1
684,Sebamed,1
685,Sennheiser,1
686,Sensodyne,1
687,Set Wet,1
688,Sharbat,1
689,Shareat,1
690,Shiva Lite,1
691,Shubhkart,1
692,Signoraware,1
693,Silver Coin,1
694,Similac,1
695,Simply Good,1
696,Skinn,1
697,Skore,1
698,Slice,1
699,Snickers,1
700,So Good,1
701,Society,1
702,Sofit,1
703,Softouch,1
704,Sofy,1
705,Sony,1
706,Soulfull,1
707,Soundcore,1
708,Spinz,1
709,Spontex,1
710,Sprig,1
711,Sprite,1
712,Spyke,1
713,Sree Bell,1
714,Sri Bhagyalakshmi,1
715,Sri Bharani,1
716,St Ives,1
717,ST. Ives,1
718,Staeta,1
719,Status,1
720,Stayfree,1
721,Sterinol,1
722,Stilus ,1
723,Streax,1
724,Sufeast,1
725,Sugarfree,1
726,Suhana,1
727,Sujata,1
728,Sumeru,1
729,Sun Premium,1
730,Sundrop,1
731,Sunfeast,1
732,Sunpure,1
733,Sunrich,1
734,Sunsilk,1
735,Sunsilk ,1
736,Super Max,1
737,Super Vasmol,1
738,Superlite,1
739,Supermax,1
740,Super-Max,1
741,Surf Excel,1
742,Surya,1
743,Svt,1
744,Swiss Gear,1
745,Switz,1
746,Syska,1
747,Tabasco,1
748,Taj Mahal,1
749,Tang,1
750,Taski,1
751,Taski R6,1
752,Tata,1
753,Tea Veda,1
754,Te-A-Me,1
755,Tefal,1
756,Terre D&#039; Hermes,1
757,Tetley,1
758,The Laughing Cow,1
759,Thirumala,1
760,Thums Up,1
761,Tic Tac,1
762,Tide,1
763,TMC,1
764,TOMFORD,1
765,Tommy,1
766,TOMMY ,1
767,Tong Garden,1
768,Too Yumm,1
769,Tooty,1
770,Tooyumm,1
771,Toyo,1
772,Toys Box,1
773,Tresemme,1
774,Tri-Activ,1
775,Tropicana,1
776,Twinings,1
777,Typhoo,1
778,Udv,1
779,Ujala,1
780,Ultra,1
781,Unibic,1
782,Usha,1
783,UTS,1
784,Vanish,1
785,Vaseline,1
786,Veeba,1
787,Veet,1
788,Vega,1
789,Veggie Clean,1
790,Venkeys,1
791,Venky'S,1
792,Versace,1
793,Vicco,1
794,Vicks,1
795,Victorinox,1
796,Vijay,1
797,Vim,1
798,Viva,1
799,Vivatta,1
800,Vivel,1
801,Vivo,1
802,Vlcc,1
803,Vogue,1
804,Wagh Bakri,1
805,Weikfield,1
806,Welspun,1
807,Western Digital,1
808,Wheel,1
809,Whirlpool,1
810,Whiskas,1
811,Whisper,1
812,Wilkinson,1
813,Wingreens,1
814,Winkies,1
815,Woh Hup,1
816,Wonderize,1
817,Wrigleys,1
818,Wypall,1
819,Xtra,1
820,Yakult,1
821,Yan Yan,1
822,Yardley,1
823,Yellow Diamond,1
824,Yippee,1
825,Ylg,1
826,Yoga Bar,1
827,Yves,1
828,Z,1
829,Zandu,1
830,Zeeba,1
831,Zeeba Dubar,1
832,Zeeba Tibar ,1
833,Zephyr,1
834,Zephyr Mechanix,1
835,Zihwa,1
836,Zip,1
837,Fresh Nonveg,1
838,Amulya,1
839,Top Ramen,1
840,Wai Wai,1
841,Inchi,1
842,M&M'S,1
843,Gone Mad,1
844,Febelle,1
845,Chocodate,1
846,Mars Bounty,1
847,Fresh Meat & Chiken,1
848,Sea Foods,1
849,Fresh Meat,1
850,Fresh Chiken,1
851,Fresh Fish,1
