nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code
0,250438,49,250438.jpg,Cucumber - English,"[""250438.jpg"",""250438-1.jpg"",""250438-2.jpg"",""250438-3.jpg"","" "",]",42,38,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"Long, thin and narrow, this variety of vegetable is a common type of cucumber grown for the digestive qualities it contains. Also referred to as a ""burpless"" cucumber due to its lack of seeds as well as smaller seeds, the English cucumber can grow to lengths of 2 feet, providing a cream to bright white colored flesh.",,,20-12-2050,0,1,5,4,1,0,1000|500|250,1,0,6539|69|70|71,0
0,250440,49,250440.jpg,Cucumber - Hybrid,"[""250440.jpg"",""250440-1.jpg"",""250440-2.jpg"",""250440-3.jpg"","" "",]",20,18,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"Cucumbers (Cucumis sativus L.) are prostrate, branched, stiffly hairy vines possessing sharply five-cornered leaves and unbranched tendrils. They are placed botanically in the same genus as melons only because the Swedish botanist LinnÃƒÂ© had done so.",,,20-12-2050,0,1,5,4,1,0,1000|500|250,1,0,6540|69|70|71,0
0,250443,49,250443.jpg,Cucumber - Malabar (Per Piece Appo: 1.5 kg),"[""250443.jpg"",""250443-1.jpg"",""250443-2.jpg"",""250443-3.jpg"","" "",]",22,20,10,1,1,139,0,0,0,0,0,0,1,1,0,0,0,0,"Malabar cucumbers are medium in size and have a cylindrical and elongated shape, averaging 15-20 centimeters in length. When young, the skin is smooth and light green with dark green striping and transforms into a vibrant orange with golden yellow striping when mature.",,,20-12-2050,0,1,5,4,1,0,[],0,0,6541|69|70|71,0
0,261478,49,261478.jpg,Lemon,"[""261478.jpg"",""261478-1.jpg"",""261478-2.jpg"",""261478-3.jpg"","" "",]",154,140,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"Lemon, Citrus limon, is a small evergreen tree in the family Rutaceae grown for its edible fruit which, among other things, are used in a variety of foods and drinks. ... The lemon fruit is an ellipsoid berry surrounded by a green rind, which ripens to yellow, protecting soft yellow segmented pulp.",,,20-12-2050,0,1,5,4,1,0,1000|500|250,1,0,6781|103,0
0,250231,49,250231.jpg,Mango - Banganapalli,"[""250231.jpg"",""250231-1.jpg"",""250231-2.jpg"",""250231-3.jpg"","" "",]",109,99,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,Banaganapalli Mangoes is a mango variety produced in Banaganapalle of Kurnool district in the Indian state of Andhra Pradesh. It alone occupies 70% percent of total mango cultivable area of the state and was first introduced by the Farmers of Banaganapalli.,,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6534|111|110|109|108|107|12456|12457,0
0,SB0052,49,SB0052.jpg,Mango - Raspuri,"[""SB0052.jpg"","""","""","""","""",]",176,160,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"The Raspuri mango is an extremely popular variety of mango in South Indian state of Karnataka especially grown in and around Bengaluru, Ramanagara, Kolar, Chikkaballapura, Tumakuru. This fruit is also known as sweet mango. ",,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6534|111|110|109|108|107|12456|12457,0
0,SB0041,49,SB0041.jpg,Mango Alphonso,"[""SB0041.jpg"","""","""","""","""",]",329,299,10,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,Banaganapalli Mangoes is a mango variety produced in Banaganapalle of Kurnool district in the Indian state of Andhra Pradesh. It alone occupies 70% percent of total mango cultivable area of the state and was first introduced by the Farmers of Banaganapalli.,,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6534|111|110|109|108|107|12456|12457,0
0,SB0042,49,SB0042.jpg,Mango Mulgoba,"[""SB0042.jpg"","""","""","""","""",]",253,230,10,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,Banaganapalli Mangoes is a mango variety produced in Banaganapalle of Kurnool district in the Indian state of Andhra Pradesh. It alone occupies 70% percent of total mango cultivable area of the state and was first introduced by the Farmers of Banaganapalli.,,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6534|111|110|109|108|107|12456|12457,0
0,SB0039,49,SB0039.jpg,Mango Senduran,"[""SB0039.jpg"","""","""","""","""",]",154,140,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,1000|500|250,1,0,6534|111|110|109|108|107|12456|12457,0
0,250406,49,250406.jpg,Mango Totapuri,"[""250406.jpg"",""250406-1.jpg"",""250406-2.jpg"",""250406-3.jpg"","" "",]",66,60,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"Totapuri Mangoes (Magnifera indica) are ablong with prominent beak in shape and about 6-8 inches long. The skin of the fruit is thick and green, yellow or a fanciful combination of these colours, but is inedible. There is a central large seed surrounded by the pulp which ranges from pale to bright yellow.",,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6534|111|110|109|108|107|12456|12457,0
