id,variations_types,stocks,size
IT000189,[],0,0
IT000190,[],0,0
IT000191,[],0,0
IT000196,[],0,0
IT014985,[],0,0
IT000194,[],0,0
IT013396,[],0,0
IT007467,[],0,0
IT010680,[],0,0
IT010681,[],0,0
IT010685,[],0,0
IT010688,[],0,0
IT010689,[],0,0
IT013139,[],0,0
IT007468,[],0,0
IT011662,[],0,0
IT011663,[],0,0
IT011664,[],0,0
IT011665,[],0,0
IT007469,[],0,0
IT000193,[],0,0
IT007473,[],0,0
IT010682,[],0,0
IT010684,[],0,0
IT010686,[],0,0
IT004123,[],0,0
IT004124,[],0,0
IT000195,[],0,0
IT000197,[],0,0
IT004126,[],0,0
IT007478,[],0,0
IT015916,[],0,0
IT015917,[],0,0
IT012329,[],0,0
IT014277,[],0,0
IT012327,[],0,0
IT012328,[],0,0
IT015648,[],0,0
IT007474,[],0,0
IT007475,[],0,0
IT007476,[],0,0
IT007477,[],0,0
IT007481,[],0,0
IT007482,[],0,0
IT007483,[],0,0
IT004127,[],0,0
IT004128,[],0,0
IT004118,[],0,0
IT004119,[],0,0
IT004120,[],0,0
IT004129,[],0,0
IT004121,[],0,0
IT004122,[],0,0
IT004114,[],0,0
IT004115,[],0,0
IT004116,[],0,0
IT004117,[],0,0
IT016483,[],0,0
IT016484,[],0,0
IT014983,[],0,0
IT014980,[],0,0
IT014981,[],0,0
IT016485,[],0,0
IT016008,[],0,0
IT015995,[],0,0
IT003717,[],0,0
IT015903,[],0,0
IT003716,[],0,0
IT003718,[],0,0
IT013976,[],0,0
IT013977,[],0,0
IT005236,[],0,0
IT005237,[],0,0
IT000639,[],0,0
IT000641,[],0,0
IT000634,[],0,0
IT000637,[],0,0
IT003067,[],0,0
IT000640,[],0,0
IT000635,[],0,0
IT006647,[],0,0
IT006648,[],0,0
IT006649,[],0,0
IT006643,[],0,0
IT000645,[],0,0
IT000636,[],0,0
IT006644,[],0,0
IT006664,[],0,0
IT000638,[],0,0
IT006646,[],0,0
IT016011,[],0,0
IT005230,[],0,0
IT006650,[],0,0
IT006651,[],0,0
IT006653,[],0,0
IT006654,[],0,0
IT000983,[],0,0
IT000985,[],0,0
IT004277,[],0,0
IT004278,[],0,0
IT004279,[],0,0
IT004287,[],0,0
IT004286,[],0,0
IT013718,[],0,0
IT005077,[],0,0
IT010068,[],0,0
IT006398,[],0,0
IT016561,[],0,0
IT016562,[],0,0
IT016563,[],0,0
IT011448,[],0,0
IT006449,[],0,0
IT011689,[],0,0
IT000331,[],0,0
IT013135,[],0,0
IT014911,[],0,0
IT014467,[],0,0
IT013133,[],0,0
IT011895,[],0,0
IT014481,[],0,0
IT007240,[],0,0
IT000460,[],0,0
IT000838,[],0,0
IT000666,[],0,0
IT000665,[],0,0
IT013258,[],0,0
IT013801,[],0,0
IT014622,[],0,0
IT000841,[],0,0
IT000669,[],0,0
IT000668,[],0,0
IT000675,[],0,0
IT000671,[],0,0
IT000670,[],0,0
IT000672,[],0,0
IT000988,[],0,0
IT000998,[],0,0
IT004029,[],0,0
IT004030,[],0,0
IT015608,[],0,0
IT000996,[],0,0
IT010263,[],0,0
IT003087,[],0,0
IT010264,[],0,0
IT000473,[],0,0
IT015181,[],0,0
IT007360,[],0,0
IT001001,[],0,0
IT000476,[],0,0
IT010265,[],0,0
IT000475,[],0,0
IT000478,[],0,0
IT000681,[],0,0
IT015179,[],0,0
IT015180,[],0,0
IT000678,[],0,0
IT000685,[],0,0
IT004066,[],0,0
IT000684,[],0,0
IT000682,[],0,0
IT013602,[],0,0
IT001007,[],0,0
IT009979,[],0,0
IT000417,[],0,0
IT010153,[],0,0
IT006734,[],0,0
IT007084,[],0,0
IT007086,[],0,0
IT009973,[],0,0
IT009974,[],0,0
IT007066,[],0,0
IT006733,[],0,0
IT010183,[],0,0
IT000418,[],0,0
IT006731,[],0,0
IT010047,[],0,0
IT010048,[],0,0
IT010186,[],0,0
IT011919,[],0,0
IT015268,[],0,0
IT004148,[],0,0
IT015276,[],0,0
IT006342,[],0,0
IT015274,[],0,0
IT015271,[],0,0
IT015272,[],0,0
IT005240,[],0,0
IT015277,[],0,0
IT010160,[],0,0
IT005590,[],0,0
IT001070,[],0,0
IT001074,[],0,0
IT001073,[],0,0
IT001067,[],0,0
IT001072,[],0,0
IT001075,[],0,0
IT016621,[],0,0
IT000410,[],0,0
IT000403,[],0,0
IT010187,[],0,0
IT010190,[],0,0
IT003753,[],0,0
IT010196,[],0,0
IT010197,[],0,0
IT010199,[],0,0
IT010161,[],0,0
IT006738,[],0,0
IT014755,[],0,0
IT000495,[],0,0
IT000496,[],0,0
IT000515,[],0,0
IT010206,[],0,0
IT010211,[],0,0
IT010214,[],0,0
IT010217,[],0,0
IT010209,[],0,0
IT000485,[],0,0
IT000491,[],0,0
IT000497,[],0,0
IT010210,[],0,0
IT010239,[],0,0
IT000528,[],0,0
IT000522,[],0,0
IT000513,[],0,0
IT006729,[],0,0
IT016373,[],0,0
IT000405,[],0,0
IT010198,[],0,0
IT014109,[],0,0
IT009928,[],0,0
IT004100,[],0,0
IT004144,[],0,0
IT003308,[],0,0
IT014753,[],0,0
IT003232,[],0,0
IT005494,[],0,0
IT006737,[],0,0
IT010203,[],0,0
IT000506,[],0,0
IT006736,[],0,0
IT010213,[],0,0
IT010215,[],0,0
IT016032,[],0,0
IT000487,[],0,0
IT010200,[],0,0
IT004098,[],0,0
IT000703,[],0,0
IT014104,[],0,0
IT014820,[],0,0
IT014100,[],0,0
IT016341,[],0,0
IT000700,[],0,0
IT000689,[],0,0
IT000722,[],0,0
