id,brand_id
106417,234
120018,561
254677,561
257545,561
259837,810
259856,810
265371,810
267629,561
273619,213
273620,213
273623,213
284553,569
284567,569
294223,561
295228,351
296072,278
318987,208
318989,208
318994,208
318998,208
318999,208
322932,208
322933,208
324302CB,561
324373,23
324375,480
324380,480
326875,561
328680,208
329278,681
343820,628
351050,588
353634,588
353644,588
353647,588
353658,588
353710,480
375304,234
375307,234
378825,46
378826,46
380583,325
380584,325
380976,628
380977,628
380978,628
380981,208
385295,208
385296,208
385297,628
392911,628
392961,628
392965,628
392966,628
401455,681
402997,719
405304,255
409685,46
409686,46
422300,838
