id,name,have_pcs,pcs
402989,Status Bagasse Plate 17Cm Round Plate 25 Pcs,1,25
402990,Status Bagasse Plate 25Cm Round Plate 25 Pcs,1,25
402991,Status Bagasse Plate 25Cm 3Cp 25Pcs,1,25
402992,Status Bagasse Plate 30Cm 4Cp Bagasse Plate 25 Pcs,1,25
8009,Aro Tissue Rolls 200N (Pack of 6) 2 Ply,1,1
