id,name,status,sub_cate_id
16468,cooking & baking needs,1,60
16469,amrus,1,60
16470,betty crocker,1,60
16471,blue bird,1,60
16472,bp,1,60
16473,coco mama,1,60
16474,my favourite,1,60
16475,namjai,1,60
16476,purex,1,60
16477,tooty fruity,1,60
16478,american garden,1,60
16479,coco mama coconut milk 250ml,1,60
16480,weikfield baking powder 100g jar,1,60
16481,weikfield cocoa powder 150g jar,1,60
16482,weikfield cocoa powder 50g jar,1,60
16483,weikfield corn flour 100g refill,1,60
16484,weikfield corn flour 500g refill,1,60
16485,weikfield custard powder mango flavour 75g refill,1,60
16486,weikfield jelly crystals mango flavour 90g,1,60
16487,weikfield jelly crystals raspberry flavour 90g refill,1,60
16488,weikfield jelly crystals strawberry flavour 90g refill,1,60
16489,corn flour 1kg pack,1,60
16490,corn flour 2kg pack,1,60
16491,corn flour 500g pack,1,60
16492,custard powder 1kg pack,1,60
16493,custard powder 75g refill pack,1,60
16494,coco powder ,1,60
16495,coco powder in herysheys,1,60
16496,coco powder unsweet,1,60
16497,coco powder 50g pack,1,60
16498,coco powder 150g pack,1,60
16499,chocolate syrup in weikfield,1,60
16500,chocolate syrup in hersheys,1,60
16501,chococolate syrup 1.3 kg,1,60
16502,chococolate syrup 623g,1,60
16503,drinking chocolate powder 100g,1,60
16504,drinking chocolate powder 200g,1,60
16505,betty crocker vanilla cake mix,1,60
16506,betty crocker pancake mix,1,60
16507,betty crocker choco cake mix,1,60
16508,vanilla cake mix in betty crocker,1,60
16509,pancake mix in betty crocker,1,60
16510,choco cake mix in betty crocker,1,60
