id,in_stoke
403594,1
402108,1
393046,1
322774,1
206988,1
340585,1
420654,1
423947,1
423952,1
324431,1
418054,1
418055,1
426730,1
300440,1
255848,1
279818,1
378377,1
263108,1
393282,1
268011,1
279819,1
279822,1
340754,1
285264,1
410815,1
413461,1
410817,1
263108,1
285422,1
281494,1
388302,1
361344,1
378377,1
399402,1
399514,1
421193,1
301278,1
346515,1
409195,1
374809,1
381062,1
422981,1
374812,1
SB0011,1
223663,1
242596,1
393593,1
410895,1
402728,1
419436,1
419442,1
271819,1
271820,1
341425,1
392164,1
422281,1
251191,1
255609,1
264516,1
279824,1
282222,1
284078,1
293260,1
297424,1
301976,1
302138,1
302140,1
339011,1
352436,1
377844,1
391968,1
392744,1
392746,1
392768,1
392826,1
392831,1
401777,1
401778,1
402734,1
404216,1
