id,name,original_price,sell_price,variations_types,stocks,size
405217,Alfalfa Sprouts 50g,30,27,[],0,0
251150,American Sweet Corn (Appox : 400g - 450),20,18,[],100,0
250543,Amla,143,130,1000|500|250,100,1
249926,Apple Fuji,292,265,1000|500|2000,0,1
249944,Apple Granny Smith,253,230,1000|500|2000,0,1
249951,Apple Himachal,138,125,1000|500|2000,100,1
249961,Apple Royal Gala,253,230,1000|500|2000,100,1
285818,Apple Shimla,292,265,1000|500|2000,0,1
249963,Apple Wash Red Delicious,253,230,1000|500|2000,100,1
249953,Apples Jammu-Kashmir,296,269,1000|500|2000,0,1
250544,Ash Gourd (Appox : 3 kg /Pc),55,50,[],0,0
342749,Avarai Peeled Seeds Packed-250 g,54,49,[],0,0
250624,Avocado (Appox : 1 kg /4 Pc),253,230,[],100,0
250625,Baby Corn - Peeled,121,110,1000|500|2000,100,1
368181,Baby Corn Peeled -250g(Packed),42,38,[],0,0
250626,Baby Corn unpeeled 500 g (Packed),72,65,[],0,0
250512,Baby Potato (1 kg Packed),54,49,[],100,0
250103,Banana - Nendran,99,90,1000|500|2000,100,1
250553,Banana - Raw,55,50,1000|500|2000,100,1
250110,Banana - Red,94,85,1000|500|2000,0,1
250116,Banana - Robusta,32,29,1000|500|2000,100,1
250549,Banana - Stem (Each),17,15,[],100,0
250122,Banana - Yelakki,72,65,1000|500|2000,100,1
250545,Banana Flower (each),22,20,[],100,0
250547,Banana Leaf,11,10,[],0,0
250492,Beans - French Round,44,40,1000|500|250,100,1
250641,Beans - Haricot Verts,50,45,1000|500|250,100,1
250554,Beet - Root,33,30,1000|500|2000,100,1
250474,Bhendi,39,35,1000|500|250,100,1
250561,Bitter Gourd,21,19,1000|500,100,1
403952,Blueberry 125 g (Packed),295,260,[],100,0
250569,Bottle Gourd Per Piece  (each),28,25,[],100,0
250460,Brinjal - Round Suphal,44,40,1000|500|250,100,1
250457,Brinjal - Stripped,22,20,1000|500|250,100,1
250445,Brinjal Long Green,55,50,1000|500|250,0,1
250638,Broccoli,165,150,1000|500|2000,0,1
250521,Cabbage,14,12,[],100,0
250656,Cabbage - Chinese,143,130,[],0,0
250657,Cabbage - Red,165,150,[],0,0
250462,Capsicum - Green,66,60,1000|500|2000,100,1
250634,Capsicum - Red,109,99,1000|500|2000,100,1
250635,Capsicum - Yellow,109,99,1000|500|2000,100,1
250536,Carrot,60,65,1000|500|250,100,1
273395,Carrot Delhi,83,75,1000|500|2000,0,1
347642,Carrot Ooty,109,99,1000|500|2000,100,1
250931,Cauliflower (Per Piece),40,36,[],100,0
250660,Celery,154,140,1000|500|2000,0,1
250465,Chilli - Bajji,55,50,1000|500|250,100,1
250468,Chilli - Green,44,40,1000|500|250,100,1
250570,Chow Chow,39,35,1000|500|2000,100,1
250574,Coccinea,33,30,1000|500|2000,100,1
252663,Coconut (Per piece),28,25,[],100,0
250586,Colacasia,44,40,1000|500|2000,0,1
250679,Coriander Leaf Bunch(Appox: 250g-300 g),22,20,[],100,0
250438,Cucumber - English,44,40,1000|500|2000,100,1
250440,Cucumber - Hybrid,14,12,1000|500|2000,100,1
250443,Cucumber - Malabar (Per Piece Appo: 1.5 kg),39,35,[],100,0
250680,Curry Leaves Bunch (each) (Appox:200g-250 g),18,16,[],100,0
250216,Custard - Apple,242,220,1000|500|2000,0,1
250600,Disco Pumpkin,44,40,[],100,0
279522,Double - Beans,37,33,1000|500|2000,0,1
279427,Dragon Fruit Imported,275,250,1000|500|2000,0,1
250615,Drumstick (Per piece),13,11,[],0,0
405152,Endive,70,63,1000|500|2000,0,1
