id,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
345602,0,0,1,1,0,0,0,0,0,0
346408,0,0,1,1,0,0,0,0,0,0
346409,0,0,1,1,0,0,0,0,0,0
346410,0,0,1,1,0,0,0,0,0,0
346566,0,0,1,1,0,0,0,0,0,0
350015,0,0,1,1,0,0,0,0,0,0
352791,0,0,1,1,0,0,0,0,0,0
353092,0,0,1,1,0,0,0,0,0,0
353540,0,0,1,1,0,0,0,0,0,0
353545,0,0,1,1,0,0,0,0,0,0
353546,0,0,1,1,0,0,0,0,0,0
360063,0,0,1,1,0,0,0,0,0,0
360064,0,0,1,1,0,0,0,0,0,0
361354,0,0,1,1,0,0,0,0,0,0
362659,0,0,1,1,0,0,0,0,0,0
365784,0,0,1,1,0,0,0,0,0,0
368892,0,0,1,1.5,0,0,0,0,0,0
378345,0,0,1,1,0,0,0,0,0,0
379219,0,0,1,1,0,0,0,0,0,0
379222,0,0,1,1,0,0,0,0,0,0
379577,0,0,1,1,0,0,0,0,0,0
379578,0,0,1,1,0,0,0,0,0,0
380427,0,0,1,1.8,0,0,0,0,0,0
380757,0,0,1,1,0,0,0,0,0,0
380807,0,0,1,1,0,0,0,0,0,0
382028,0,0,1,1,0,0,0,0,0,0
387160,0,0,1,1,0,0,0,0,0,0
387163,0,0,1,1,0,0,0,0,0,0
390282,0,0,1,5,0,0,0,0,0,0
391900,0,0,1,1,0,0,0,0,0,0
394859,0,0,1,2.1,0,0,0,0,0,0
399624,0,0,1,1,0,0,0,0,0,0
400252,0,0,1,1,0,0,0,0,0,0
402191,0,0,1,1,0,0,0,0,0,0
406254,0,0,1,1,0,0,0,0,0,0
408732,0,0,1,2,0,0,0,0,0,0
409824,0,0,1,1,0,0,0,0,0,0
411553,0,0,1,1,0,0,0,0,0,0
415107,0,0,1,2,0,0,0,0,0,0
418018,0,0,1,24,0,0,0,0,0,0
421400,0,0,1,1,0,0,0,0,0,0
423878,0,0,1,1,0,0,0,0,0,0
352226,1,200,0,0,0,0,0,0,0,0
388271,1,360,0,0,0,0,0,0,0,0
388274,1,360,0,0,0,0,0,0,0,0
388275,1,360,0,0,0,0,0,0,0,0
388277,1,360,0,0,0,0,0,0,0,0
388278,1,360,0,0,0,0,0,0,0,0
398288,1,100,0,0,0,0,0,0,0,0
405505,1,45,0,0,0,0,0,0,0,0
100012,1,420,0,0,0,0,0,0,0,0
101263,1,350,0,0,0,0,0,0,0,0
101306,1,350,0,0,0,0,0,0,0,0
101316,1,350,0,0,0,0,0,0,0,0
101401,1,400,0,0,0,0,0,0,0,0
101489,1,415,0,0,0,0,0,0,0,0
102102,1,800,0,0,0,0,0,0,0,0
102569,1,200,0,0,0,0,0,0,0,0
102607,1,99,0,0,0,0,0,0,0,0
102609,1,99,0,0,0,0,0,0,0,0
102610,1,99,0,0,0,0,0,0,0,0
102745,1,52,0,0,0,0,0,0,0,0
102750,1,52,0,0,0,0,0,0,0,0
102753,1,52,0,0,0,0,0,0,0,0
102761,1,95,0,0,0,0,0,0,0,0
102764,1,90,0,0,0,0,0,0,0,0
103730,1,500,0,0,0,0,0,0,0,0
104179,1,531.3,0,0,0,0,0,0,0,0
104269,1,289,0,0,0,0,0,0,0,0
104271,1,289,0,0,0,0,0,0,0,0
