id,kind
103737,0
125319,0
229635,0
229636,0
264796,0
268713,0
295879,0
311713,0
311717,0
324289,0
324292,0
353579,0
353584,0
353585,0
365967,0
377685,0
387458,0
387461,0
388234,0
392921,0
392922,0
405487,0
409457,0
424739,0
424740,0
424741,0
424742,0
424743,0
428354,0
428357,0
430614,0
101678,0
102582,0
102587,0
102590,0
102592,0
102596,0
102615,0
106216,0
106220,0
106224,0
106227,0
106235,0
106244,0
106254,0
106261,0
106268,0
106271,0
106288,0
106306,0
106312,0
106316,0
106367,0
106369,0
106374,0
106384,0
107443,0
107449,0
107558,0
107563,0
127123,0
128069,0
128327,0
128329,0
134262,0
146620,0
146624,0
146675,0
208647,0
246792,0
270201,0
277174,0
288052,0
315804,0
319569,0
319957,0
326807,0
326808,0
326809,0
326812,0
326815,0
328035,0
334392,0
342122,0
394857,0
SB0064,0
SB0065,0
SB0066,0
SB0067,0
SB0078,0
SB0079,0
SB0091,0
SB0092,0
SB0093,0
SB0094,0
SB0095,0
SB0096,0
SB0097,0
SB0098,0
SB0099,0
