id,original_price,sell_price,variations_types,in_stoke
297436,30,30,[],0
297720,150,83,[],1
298058,16,16,[],0
298071,65,64,[],1
298249,102,91,[],1
298489,340,310,[],0
298778,270,259,[],1
298943,145,140,[],1
298951,240,230,[],1
299129,5,5,[],1
300031,120,110,[],1
300440,79,76,[],1
300441,390,344,[],1
301147,1550,1514,[],0
301278,125,110,[],1
301309,60,32,[],1
301312,38,38,[],0
301324,45,44,[],1
301325,45,45,[],0
301326,60,32,[],1
301534,1600,1572,[],0
301536,1690,1686,[],0
301968,135,132,[],1
301970,75,74,[],1
301974,260,253,[],1
301976,55,54,[],1
301982,120,117,[],1
301983,60,59,[],1
301985,60,59,[],1
301987,310,302,[],1
301988,75,74,[],1
301990,75,74,[],1
302138,109,107,[],1
302147,109,107,[],1
302563,58,53,[],1
302571,1000,828,[],1
302572,1150,966,[],1
302574,4000,3848,[],0
302588,99,99,[],0
302590,49,47,[],0
305401,89,84,[],1
305404,60,58,[],0
306533,95,93,[],1
306540,250,243,[],1
306542,270,263,[],1
306548,210,205,[],1
307268,300,287,[],0
307281,260,236,[],0
308609,170,157,[],1
314045,21,21,[],0
315756,58,53,[],0
316255,50,48,[],1
317932,38,37,[],1
318701,30,30,[],0
319608,1650,1523,[],1
319884,150,145,[],1
320424,99,98,[],1
320433,88,87,[],1
320440,124,121,[],1
320442,122,119,[],1
320444,126,124,[],1
320446,156,153,[],1
320448,96,94,[],1
320449,112,110,[],1
320450,146,143,[],1
320451,148,145,[],1
320452,96,94,[],1
320453,64,63,[],1
320456,210,205,[],1
320458,220,214,[],1
320459,56,54,[],1
320461,60,59,[],1
320463,205,200,[],1
320464,48,46,[],1
320465,76,75,[],1
320467,66,65,[],1
320468,62,61,[],1
320472,120,117,[],1
320474,45,43,[],1
321594,80,65,[],1
324876,40,33,[],1
324879,80,66,[],1
325222,296,288,[],1
325224,229,223,[],1
325225,119,117,[],1
327662,280,266,[],1
328664,379,340,[],0
330076,110,110,[],0
331417,45,44,[],1
331418,52,49,[],1
331419,52,48,[],1
331420,40,38,[],1
331421,48,46,[],1
331422,94,87,[],1
331423,69,66,[],1
331426,29,27,[],1
331791,120,96,[],1
331792,60,49,[],1
331793,700,700,[],0
331978,400,330,[],1
332226,159,153,[],1
332227,89,86,[],1
332228,139,137,[],1
332229,99,98,[],1
332904,40,28,[],1
332930,50,47,[],1
332980,220,168,[],1
332986,175,137,[],1
332987,220,211,[],1
332988,300,274,[],1
333527,140,137,[],1
333876,118,107,[],1
335553,154,151,[],1
335603,109,107,[],1
336320,890,866,[],1
336322,160,156,[],1
336324,290,282,[],1
336356,151,147,[],1
336832,60,56,[],1
336975,60,59,[],1
337072,115,107,[],1
337526,34,33,[],1
337677,1651,1281,[],1
337892,185,181,[],1
337898,75,75,[],0
337906,135,132,[],1
337910,115,113,[],1
337913,60,59,[],1
337918,590,574,[],1
339009,120,120,[],0
339010,98,97,[],1
339011,100,98,[],1
339012,100,98,[],1
339013,100,98,[],1
339014,100,98,[],1
340748,94,89,[],1
340749,75,72,[],1
340750,62,59,[],1
340752,238,229,[],1
340753,55,53,[],1
340754,32,32,[],1
340758,45,44,[],1
340759,30,30,[],1
340760,66,63,[],1
341540,48,38,[],1
341546,94,69,[],1
342226,300,292,[],1
342227,78,74,[],1
344799,60,59,[],1
345730,56,54,[],1
345731,57,55,[],1
346209,270,266,[],1
346390,185,185,[],0
346405,50,50,[],0
346406,360,360,[],0
346440,175,138,[],1
346441,875,690,[],1
346443,149,112,[],1
346444,740,563,[],1
346447,585,441,[],1
346515,650,575,[],1
346569,165,162,[],1
349781,85,76,[],1
350325,3250,2916,[],0
351202,900,840,[],1
352436,47,46,[],1
353856,34,31,[],1
353857,68,61,[],1
353859,60,58,[],1
353860,58,53,[],1
353861,47,42,[],1
353862,58,53,[],1
353863,26,25,[],1
353865,26,25,[],1
353866,79,72,[],1
357077,215,190,[],1
357358,85,83,[],1
358760,65,55,[],1
358772,70,60,[],1
358773,60,60,[],0
358849,270,262,[],1
359000,48,44,[],1
360176,75,73,[],1
360843,60,56,[],1
361489,150,111,[],1
363878,296,289,[],1
365813,315,305,[],1
365858,330,323,[],1
365860,67,65,[],1
367008,140,135,[],1
367009,300,288,[],1
367053,1200,1061,[],0
367055,1150,1047,[],0
368200,490,402,[],1
368201,270,222,[],1
368202,57,47,[],1
372208,40,36,[],1
373072,40,37,[],0
373093,145,145,[],0
373094,75,67,[],0
373975,115,112,[],1
373976,52,51,[],1
373977,80,78,[],1
374670,58,58,[],0
375201,60,55,[],0
375204,145,119,[],0
375421,1000,927,[],0
377215,115,113,[],1
377216,60,59,[],1
377478,40,40,[],0
377841,63,57,[],0
377844,248,248,[],0
377866,49,47,[],0
378375,50,46,[],0
378384,320,251,[],1
378955,35,34,[],1
379173,23,23,[],0
379174,23,23,[],0
379175,25,25,[],0
379176,31,31,[],0
380134,68,65,[],1
380135,450,438,[],1
380137,240,234,[],1
380138,78,74,[],1
380148,86,85,[],1
380150,136,133,[],1
380151,270,263,[],1
380152,125,123,[],1
380153,45,43,[],1
380548,275,265,[],1
382049,700,545,[],1
382050,700,553,[],1
382131,99,98,[],1
382132,99,96,[],1
382143,99,96,[],1
382182,20,17,[],1
382183,20,20,[],1
383568,420,420,[],0
383630,250,207,[],1
384237,95,93,[],1
384238,95,93,[],1
384239,140,140,[],0
384240,100,98,[],1
384241,190,185,[],1
384242,80,78,[],1
384245,85,84,[],1
384246,130,127,[],1
384247,105,103,[],1
384274,490,477,[],1
384275,495,482,[],1
384276,145,142,[],1
384277,150,146,[],1
384335,2000,1915,[],0
384336,1600,1580,[],0
384338,1600,1600,[],0
384340,2000,1771,[],1
384341,60,55,[],1
384342,35,30,[],1
384351,45,45,[],0
384459,550,440,[],1
384463,300,227,[],1
384549,300,264,[],1
384550,700,434,[],1
385033,15,15,[],1
385034,85,75,[],1
385035,30,29,[],1
385036,35,32,[],1
385037,70,65,[],1
385038,20,18,[],1
385040,35,32,[],1
385042,160,137,[],1
385044,355,259,[],1
385045,4486,2813,[],0
385048,80,78,[],1
385049,50,44,[],1
385050,85,72,[],1
385057,55,41,[],1
385059,100,72,[],1
385060,270,188,[],1
385061,150,135,[],1
385062,45,38,[],1
385063,45,36,[],1
385064,420,324,[],1
385074,150,124,[],1
385077,45,34,[],1
385078,100,78,[],1
385086,160,129,[],1
385087,280,234,[],1
385089,80,65,[],1
385090,60,52,[],1
385091,140,114,[],1
385092,570,344,[],1
385106,200,197,[],1
385107,400,384,[],1
385109,40,33,[],1
385111,75,59,[],1
385117,35,29,[],1
385118,65,51,[],1
385121,205,157,[],1
385122,110,84,[],1
385131,205,155,[],1
385135,185,137,[],1
385137,345,259,[],1
385138,65,54,[],1
385139,90,69,[],1
385151,40,35,[],1
385155,50,35,[],1
385158,240,190,[],1
385159,590,450,[],1
385160,65,55,[],1
385161,120,91,[],1
385171,115,86,[],1
385175,65,49,[],1
386273,70,68,[],1
386868,64,60,[],1
386869,39,39,[],0
387225,117,103,[],1
387226,62,58,[],1
387227,55,54,[],1
387316,75,65,[],1
387317,75,64,[],1
387318,115,102,[],1
387347,149,121,[],1
387480,400,257,[],1
387663,130,121,[],0
387664,69,68,[],0
388084,200,181,[],1
388085,185,166,[],1
388089,94,86,[],1
388090,79,73,[],1
388091,91,83,[],1
388092,96,90,[],1
388093,94,84,[],1
388100,64,57,[],1
388101,94,87,[],1
388102,89,80,[],1
388103,93,84,[],1
388104,74,66,[],1
388119,150,135,[],1
388120,125,111,[],1
388121,185,163,[],1
388122,189,159,[],1
388126,21,21,[],0
388135,64,52,[],1
388136,125,114,[],0
388137,125,104,[],1
388138,111,105,[],1
388493,195,167,[],1
388496,135,123,[],1
388497,125,114,[],1
388505,300,248,[],1
388507,250,229,[],1
388509,220,154,[],1
388516,109,99,[],1
388517,80,64,[],1
388524,90,82,[],0
388530,45,45,[],0
388533,50,49,[],0
388542,25,24,[],0
388778,60,58,[],0
388779,75,75,[],0
388780,28,28,[],0
388781,50,49,[],0
388782,75,74,[],0
388783,60,60,[],0
388784,35,35,[],0
388785,60,60,[],0
388787,25,25,[],0
388788,35,34,[],0
390131,140,127,[],1
390135,234,215,[],1
390350,110,107,[],1
390351,125,123,[],1
390689,185,173,[],1
391362,270,236,[],1
391363,490,425,[],1
391366,350,259,[],1
391368,125,103,[],1
391422,100,93,[],1
391628,1470,1421,[],0
391629,1620,1561,[],0
391917,400,381,[],0
391918,350,345,[],0
391968,1100,788,[],0
391969,400,381,[],0
391970,350,345,[],0
392389,110,99,[],1
392392,365,288,[],1
392739,175,144,[],1
392740,150,119,[],1
392744,750,493,[],1
392747,90,79,[],1
392748,150,120,[],1
392749,850,650,[],1
392750,175,152,[],1
392751,80,60,[],1
392752,90,82,[],1
392754,2000,1456,[],1
392755,150,105,[],1
392756,80,64,[],1
392757,175,144,[],1
392758,80,59,[],1
392759,80,56,[],1
392762,175,144,[],1
392763,90,75,[],1
392764,750,530,[],1
392765,150,105,[],1
392767,750,594,[],1
392768,175,138,[],1
392771,175,143,[],1
392772,2000,1247,[],1
392774,150,119,[],1
392776,2000,1436,[],1
392777,750,553,[],1
392778,90,73,[],1
392779,2000,1484,[],1
392780,80,63,[],1
392781,150,140,[],1
392784,80,65,[],1
392785,80,69,[],1
392804,200,182,[],1
392807,175,152,[],1
392810,90,71,[],1
392814,850,748,[],1
392821,150,114,[],1
392823,90,74,[],1
392831,175,128,[],1
392835,175,157,[],1
392836,90,71,[],1
392837,90,82,[],1
392842,150,121,[],1
