id,brand_name,status
921,amith,1
922,bazana,1
923,buffet,1
924,chappi,1
925,dlicia,1
926,fresh2go,1
927,genteel,1
928,goeld,1
929,home roots,1
930,ipc,1
931,khadi organique,1
932,littles,1
933,mead johnson,1
934,mirabella,1
935,molasi's,1
936,naigra,1
937,nature,1
938,neutrogena,1
939,nutty,1
940,purina,1
941,republic,1
942,riobba,1
943,ru nutz,1
944,sanjay,1
945,sankethi adukale,1
946,star rider,1
947,sunlight,1
948,super cutes,1
949,temptations,1
950,triveni,1
951,uniwash,1
952,woosh,1
