nothing,id,store_id,cover,name,images,original_price,sell_price,discount,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code
0,261478,49,261478.jpg,Lemon,"[""261478.jpg"",""261478-1.jpg"",""261478-2.jpg"",""261478-3.jpg"","" "",]",154,140,10,121,110,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"Lemon, Citrus limon, is a small evergreen tree in the family Rutaceae grown for its edible fruit which, among other things, are used in a variety of foods and drinks. ... The lemon fruit is an ellipsoid berry surrounded by a green rind, which ripens to yellow, protecting soft yellow segmented pulp.",,,20-12-2050,0,1,5,4,1,0,1000|500|250,1,0,6781|103,0
0,250231,49,250231.jpg,Mango - Banganapalli,"[""250231.jpg"",""250231-1.jpg"",""250231-2.jpg"",""250231-3.jpg"","" "",]",121,110,10,121,110,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,Banaganapalli Mangoes is a mango variety produced in Banaganapalle of Kurnool district in the Indian state of Andhra Pradesh. It alone occupies 70% percent of total mango cultivable area of the state and was first introduced by the Farmers of Banaganapalli.,,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6534|111|110|109|108|107|12456|12457,0
0,SB0052,49,SB0052.jpg,Mango - Raspuri,"[""SB0052.jpg"","""","""","""","""",]",187,170,10,220,200,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"The Raspuri mango is an extremely popular variety of mango in South Indian state of Karnataka especially grown in and around Bengaluru, Ramanagara, Kolar, Chikkaballapura, Tumakuru. This fruit is also known as sweet mango. ",,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6534|111|110|109|108|107|12456|12457,0
0,SB0041,49,SB0041.jpg,Mango Alphonso,"[""SB0041.jpg"","""","""","""","""",]",385,350,10,385,350,10,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,Banaganapalli Mangoes is a mango variety produced in Banaganapalle of Kurnool district in the Indian state of Andhra Pradesh. It alone occupies 70% percent of total mango cultivable area of the state and was first introduced by the Farmers of Banaganapalli.,,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6534|111|110|109|108|107|12456|12457,0
0,SB0043,49,SB0043.jpg,Mango Baneshan,"[""SB0043.jpg"","""","""","""","""",]",193,175,9,193,175,9,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,Banaganapalli Mangoes is a mango variety produced in Banaganapalle of Kurnool district in the Indian state of Andhra Pradesh. It alone occupies 70% percent of total mango cultivable area of the state and was first introduced by the Farmers of Banaganapalli.,,,20-12-2050,0,0,5,4,1,0,1000|500,1,0,6534|111|110|109|108|107|12456|12457,0
0,SB0042,49,SB0042.jpg,Mango Mulgoba,"[""SB0042.jpg"","""","""","""","""",]",253,230,10,253,230,10,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,Banaganapalli Mangoes is a mango variety produced in Banaganapalle of Kurnool district in the Indian state of Andhra Pradesh. It alone occupies 70% percent of total mango cultivable area of the state and was first introduced by the Farmers of Banaganapalli.,,,20-12-2050,0,0,5,4,1,0,1000|500,1,0,6534|111|110|109|108|107|12456|12457,0
0,250383,49,250383.jpg,Mango Raw,"[""250383.jpg"",""250383-1.jpg"",""250383-2.jpg"",""250383-3.jpg"","" "",]",110,100,10,110,100,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"The greener version of mangoes, Raw mango is an aromatic fruit which is liked by al for its tart flavour. The colour varies in shades of greens and the inner flesh is white in colour. Depending on the size, it has 1 to 2 seeds. Raw mangoes are usually firm and easy to chop.",,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,6534|111|110|109|108|107|12456|12457,0
0,SB0039,49,SB0039.jpg,Mango Senduran,"[""SB0039.jpg"","""","""","""","""",]",143,130,10,165,150,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,1000|500|250,1,0,6534|111|110|109|108|107|12456|12457,0
0,250406,49,250406.jpg,Mango Totapuri,"[""250406.jpg"",""250406-1.jpg"",""250406-2.jpg"",""250406-3.jpg"","" "",]",61,55,10,61,55,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"Totapuri Mangoes (Magnifera indica) are ablong with prominent beak in shape and about 6-8 inches long. The skin of the fruit is thick and green, yellow or a fanciful combination of these colours, but is inedible. There is a central large seed surrounded by the pulp which ranges from pale to bright yellow.",,,20-12-2050,0,0,5,4,1,0,1000|500,1,0,6534|111|110|109|108|107|12456|12457,0
0,250685,49,250685.jpg,Mint leaves Bunch (each)(Appox:250 g - 300 g),"[""250685.jpg"",""250685-1.jpg"",""250685-2.jpg"",""250685-3.jpg"","" "",]",11,10,9,11,10,9,1,1,139,0,0,0,0,0,0,1,1,0,0,0,0,"Mint plants are mainly aromatic perennials and they possess erect, branching stems and oblong to ovate or lanceolate leaves arranged in opposing pairs on the stems. The leaves are often covered in tiny hairs and have a serrated margin. ... Mint plants are fast growing and can become very invasive.",,,20-12-2050,0,1,5,4,1,0,[],0,0,6604|115|116|117,0
0,250077,49,250077.jpg,Water - Melon Kiran (Appox:3kg/each),"[""250077.jpg"",""250077-1.jpg"",""250077-2.jpg"",""250077-3.jpg"","" "",]",47,43,10,42,38,10,1,1,139,0,0,0,0,0,0,1,1,0,0,0,0,"Watermelon is a sweet and refreshing low calorie summer snack. It provides hydration and also essential nutrients, including vitamins, minerals, and antioxidants. Along with cantaloupe, honeydew, and cucumber, watermelons are a member of the Cucurbitaceae family.",,,20-12-2050,0,1,5,4,1,0,[],0,0,180|11991,0
0,SB0037,49,SB0037.jpg,Water Melon Green (Appox: 6 kg/each),"[""SB0037.jpg"","""","""","""","""",]",88,80,10,88,80,10,1,1,139,0,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,0,180|11991,0
0,SB0038,49,SB0038.jpg,Water melon Yellow (Appox: 2 kg/each),"[""SB0038.jpg"","""","""","""","""",]",99,90,10,69,63,9,1,1,139,0,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,0,180|11991,0
