id,hsn_code
104179,1704
104269,1704
137385,1905
267346,1702
267347,1702
267349,1702
268978,1704
282876,2106
298247,3306
351793,1905
355157,2007
355158,2007
356721,1704
378656,1905
380656,1905
384313,1704
398057,1702
398760,1905
401618,1905
412768,1905
413697,1905
413698,1905
413699,1905
413700,1905
413702,1905
413919,1004
413921,1004
413924,1905
