id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
359399,49,359399.jpeg,Bhagawan pure & clean spices sankranti mix 100g,"[""359399.jpeg""]",33,30,10,1,2,27,1,1,1,100,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,12,5187|4734|5417|5418,0,994
359398,49,359398.jpeg,Bhagawan pure & clean spices sankranti mix 250g,"[""359398.jpeg""]",61,55,10,1,2,27,1,1,1,250,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,12,5187|5415|5417|5418,0,994
273393,49,273393.jpeg,Sugar Cane,"[""273393.jpeg""]",39,35,11,1,1,23,1,1,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,0,5187|5416|5417|5418,0,995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
