id,name
HC000006-ADP-BLK,Honeywell (HC000006-ADP-BLK) Type C to USB 3.0 Adapter with Gigabit Ethernet (Black)
HC000009-HDM,Honeywell (HC000009-HDM) /HDM/3M/BLK/SLM HDMI 3 Mtr with Ethernet - 2.0 Compliant Slim
HC000010-CHG-WHT,Honeywell (HC000010-CHG-WHT) Quick Charge 3.0 Zest Charger with Micro USB Cable (White)
HC000010-HDM,Honeywell (HC000010-HDM) High Speed Short Collar HDMI 2.0 Cable with Ethernet - 5M
HC000012-HDM,Honeywell (HC000012-HDM) High Speed Short Collar HDMI 2.0 Cable with Ethernet - 10M
HC000022-CBL,Honeywell (HC000022-CBL) USB to Micro Non Braided USB Cable -1.2 Meter (Black)
HC000023-CBL,Honeywell (HC000023-CBL) USB to Micro USB Cable Braided-1.2 Meter (Black)
HC000024-CBL,Honeywell (HC000024-CBL) USB to Micro USB Cable Braided -1.2 Meter (Grey)
HC000032-CBL,Honeywell (HC000032-CBL) Charge and Sync Cable USB 2.0 to Type C Cable -1.2 Meter
