id,original_price,sell_price,variations_types,stocks
108249,340,323,[],119
124656,270,242,[],0
124657,490,442,[],92
126903,270,265,[],237
126906,490,434,[],267
144126,100,97,[],422
146384,87,81,[],84
161826,109,107,[],150
163064,44,42,[],0
163575,49,48,[],145
163578,160,156,[],1575
163582,122,119,[],396
163584,236,230,[],335
169000,508,397,[],0
169052,32,30,[],28
169053,66,57,[],176
169054,40,37,[],856
169055,35,32,[],1076
169409,1075,908,[],0
169426,46,46,[],0
170693,420,384,[],0
170695,230,226,[],0
174626,345,331,[],0
174631,165,161,[],168
174635,225,220,[],272
174636,165,161,[],95
180199,50,41,[],201
180512,240,218,[],0
182398,1000,913,[],0
182492,1000,909,[],0
184607,56,56,[],1091
186815,200,183,[],0
189433,1530,1500,[],0
199504,1980,1928,[],0
199785,1410,1393,[],0
202277,430,415,[],173
204629,300,285,[],152
204772,2000,1577,[],0
204912,290,261,[],0
206046,1400,1127,[],0
206047,1076,995,[],0
206123,1200,1199,[],0
206776,285,255,[],0
206778,235,223,[],176
206779,160,152,[],32
209412,2700,2658,[],0
214216,1050,909,[],0
214217,520,459,[],80
214431,295,248,[],0
217464,48,48,[],0
219138,1890,1826,[],0
220612,635,575,[],36
222085,341,327,[],0
223536,125,120,[],118
223537,65,63,[],164
223660,80,77,[],49
223661,150,144,[],119
223662,65,63,[],136
223663,135,130,[],50
224835,65,63,[],114
225582,1470,1402,[],0
225769,230,224,[],0
225770,420,405,[],0
236834,21,21,[],89
239524,62,60,[],406
240122,220,216,[],141
240124,110,108,[],158
240449,249,224,[],0
241538,57,55,[],1867
241598,1050,1024,[],40
241600,21,21,[],493
241601,40,39,[],265
242596,185,178,[],92
243335,175,153,[],106
243336,210,190,[],137
243990,50,46,[],0
243991,57,53,[],404
244092,45,45,[],0
244094,50,49,[],0
244096,60,51,[],4986
244961,1710,1683,[],0
247282,210,186,[],109
248003,20,17,[],635
248593,25,25,[],0
251191,1100,788,[],0
255505,310,256,[],53
255516,64,58,[],0
255517,109,102,[],63
255609,1500,1352,[],0
255843,920,768,[],112
255848,185,142,[],625
255849,90,82,[],169
255850,220,193,[],539
255851,105,98,[],184
255963,60,60,[],0
256132,50,49,[],0
256133,50,50,[],0
256222,525,443,[],0
257862,85,79,[],265
259411,1500,1264,[],0
