id,name,sub_cate_id
14650,borges olive oil,140
14651,borges olive oil 1ltr,140
14652,borges olive oil 500ml ,140
14653,borges olive oil 250ml,140
14654,borges olive oil 1l glass bottle,140
14655,figaro olive oil,140
14656,figao olive oil for hair ,140
14657,figao olive oil for baby massage,140
14658,figao olive oil for hair 100ml,140
14659,figao olive oil for hair 200ml,140
14660,figao olive oil for hair 500ml,140
14661,figao olive oil for hair 1ltr,140
14662,figao olive oil for hair 5ltr,140
14663,figao olive oil for baby massage 100ml,140
14664,figao olive oil for baby massage 200ml,140
14665,figao olive oil for baby massage 500ml,140
14666,figao olive oil for baby massage 1ltr,140
14667,figao olive oil for baby massage 5ltr,140
14668,olive oil 1ltr pet,140
14669,oleev active olive oil 1l bottle,140
14670,saffola refined olive oil,140
14671,saffola refined olive oil 1ltr,140
14672,saffola refined olive oil 2ltr,140
14673,olive oil in safflola,140
14674,oleev olive oil,140
14675,oleev olive oil 1ltr pet bottle,140
14676,oleev olive oil 1ltr,140
14677,olive oil 1ltr,140
14678,fine life olive oil 1ltr,140
14679,borges extra light olive oil,140
14680,extra light olive oil,140
14681,sun safal refined sunflower oil 15kg tin,140
14682,refined sunflower oil 1ltr,140
14683,refined sunflower oil 5ltr,140
14684,refined sunflower oil 500ml,140
14685,refined sunflower oil 15kg,140
14686,refined sunflower oil 5ltr can,140
14687,refined sunflower oil 500ml pouch,140
14688,refined sunflower oil 15ltr,140
14689,refined sunflower oil 1ltr pouch,140
14690,refined sunflower oil 1ltr pack of 10,140
14691,borges refined sunflower oil,140
14692,borges refined sunflower oil 5ltr,140
14693,borges refined sunflower oil 1ltr,140
14694,dhara refined sunflower oil ,140
14695,dhara refined sunflower oil 1ltr,140
14696,fortune refined sunflower oil,140
14697,fortune refined sunflower oil 5ltr can,140
14698,freedom refined sunflower oil 1ltr,140
14699,freedom refined sunflower oil 5ltr,140
14700,glod winner sunflower oil,140
14701,glod winner sunflower oil 1ltr,140
14702,glod winner sunflower oil 500ml,140
14703,glod winner sunflower oil 5ltr,140
14704,pro nature organic sunflower oil 1ltr,140
14705,organic sunflower oil,140
14706,safal refined sunflower oil,140
14707,safal refined sunflower oil 1ltr,140
14708,safal refined sunflower oil 1ltr pack of 10,140
14709,sun premium refined sunflower oil,140
14710,sun premium refined sunflower oil 1ltr ,140
14711,sun premium refined sunflower oil 1ltr pack of 10,140
14712,sundrop sunflower oil,140
14713,sundrop refined sunflower oil 5ltr,140
14714,sundrop refined sunflower oil 15ltr,140
14715,sundrop superlite,140
14716,sundrop gold lite corn oil,140
14717,sunpure refined sunflower oil,140
14718,sunpure refined sunflower oil 500ml,140
14719,sunpure refined sunflower oil 1ltr,140
14720,sunpure refined sunflower oil 1ltr pack of 10,140
14721,sunpure refined sunflower oil 500ml pack of 20,140
14722,sunpure refined sunflower oil 5ltr,140
14723,sunrich sunflower oil,140
14724,sunrich sunflower oil 1ltr,140
14725,sunpure refined sunflower oil 1ltr pouch,140
14726,sunpure refined sunflower oil 5ltr can,140
14727,saffola active pro weight watchers,140
14728,saffola active pro,140
14729,saffola active oil 5ltr,140
14730,saffola active pro weight,140
14731,saffola active pro weight watchers edible oil,140
14732,saffola active pro weight watchers edible oil 1ltr,140
14733,saffola gold edible oil ,140
14734,saffola gold oil edible oil 1ltr,140
14735,saffola gold oil edible oil 2ltr,140
14736,saffola gold oil edible oil 5ltr,140
14737,saffola tasty pro,140
14738,saffola tasty pro edible refined oil,140
14739,saffola tasty pro edible refined oil 1ltr,140
14740,saffola tasty pro edible refined oil 5ltr,140
14741,saffola tasty refined cooking oil,140
14742,saffola refined cooking oil,140
14743,sundrop refined cooking oil,140
14744,sundrop gold lite oil,140
14745,sundrop gold lite oil 1ltr,140
14746,sundrop gold lite oil 1ltr pouch,140
14747,sundrop gold lite oil 5ltr,140
14748,sundrop gold lite oil 3ltr,140
14749,sundrop heart oil 1ltr,140
14750,sundrop heart oil 5ltr,140
14751,sundrop heart blended oil 5ltr,140
14752,sundrop heart oil 1ltr pouch,140
14753,sundrop heart oil 3ltr,140
