id,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
KKEST18C1SCID,0,0,0,0,1,1,0,0,0,0
KKKAL18C1PCID,0,0,0,0,1,1,0,0,0,0
KKOLL05C1SCLW,0,0,0,0,1,1,0,0,0,0
KKOLL10C1SCLW,0,0,0,0,1,1,0,0,0,0
KMMAX55W3SDJS,0,0,0,0,1,1,0,0,0,0
KMMIC50N3SDBB,0,0,0,0,1,1,0,0,0,0
KMMIX50N3SDBB,0,0,0,0,1,1,0,0,0,0
KMSPA50K3SDJS,0,0,0,0,1,1,0,0,0,0
KMSPI50Y3SDES,0,0,0,0,1,1,0,0,0,0
KMSTA60V3PDBF,0,0,0,0,1,1,0,0,0,0
KNACX75O1PDBM,0,0,0,0,1,1,0,0,0,0
KNALL10G1PDBM,0,0,0,0,1,1,0,0,0,0
KNARD10V1PDRG,0,0,0,0,1,1,0,0,0,0
KNBIG10W1PDBM,0,0,0,0,1,1,0,0,0,0
KNFER10W1PDBM,0,0,0,0,1,1,0,0,0,0
KNGLP10W1MDBM,0,0,0,0,1,1,0,0,0,0
KNGRA12B2PDBM,0,0,0,0,1,1,0,0,0,0
KNSAT10P1PDBM,0,0,0,0,1,1,0,0,0,0
KNSTI14W2PDBM,0,0,0,0,1,1,0,0,0,0
KNZES10B1PDBM,0,0,0,0,1,1,0,0,0,0
KNZES10R1PDBM,0,0,0,0,1,1,0,0,0,0
KNZES10T1PDBM,0,0,0,0,1,1,0,0,0,0
MOKM20GSCNMGZ,0,0,0,0,1,1,0,0,0,0
GFCDELTVC00000,0,0,0,0,1,1,0,0,0,0
41337,0,0,0,0,1,1,0,0,0,0
42702,0,0,0,0,1,1,0,0,0,0
HL1655/00,0,0,0,0,1,1,0,0,0,0
HR1350/90,0,0,0,0,1,1,0,0,0,0
HR2775/28,0,0,0,0,1,1,0,0,0,0
HR3705/10,0,0,0,0,1,1,0,0,0,0
32PHT4233S,0,0,0,0,1,1,0,0,0,0
32PHT5813S,0,0,0,0,1,1,0,0,0,0
50PUT6604,0,0,0,0,1,1,0,0,0,0
58PUT6604,0,0,0,0,1,1,0,0,0,0
HR1363/04,0,0,0,0,1,1,0,0,0,0
70PUT6704,0,0,0,0,1,1,0,0,0,0
HL7756/00,0,0,0,0,1,1,0,0,0,0
AC2958-63,0,0,0,0,1,1,0,0,0,0
AC3059-65,0,0,0,0,1,1,0,0,0,0
AC1217,0,0,0,0,1,1,0,0,0,0
AC0817,0,0,0,0,1,1,0,0,0,0
FC9352,0,0,0,0,1,1,0,0,0,0
GC101/02,0,0,0,0,1,1,0,0,0,0
GC1015,0,0,0,0,1,1,0,0,0,0
GC1022/40,0,0,0,0,1,1,0,0,0,0
GC1028/20,0,0,0,0,1,1,0,0,0,0
GC157/02,0,0,0,0,1,1,0,0,0,0
GC158/02,0,0,0,0,1,1,0,0,0,0
GC181/80,0,0,0,0,1,1,0,0,0,0
GC1905/21,0,0,0,0,1,1,0,0,0,0
GC1920/28,0,0,0,0,1,1,0,0,0,0
GC2996,0,0,0,0,1,1,0,0,0,0
GC300,0,0,0,0,1,1,0,0,0,0
GC3920,0,0,0,0,1,1,0,0,0,0
GC523,0,0,0,0,1,1,0,0,0,0
HD1134/28,0,0,0,0,1,1,0,0,0,0
HD1182/28,0,0,0,0,1,1,0,0,0,0
HD2393/99,0,0,0,0,1,1,0,0,0,0
HD2582/00,0,0,0,0,1,1,0,0,0,0
HD2583/90,0,0,0,0,1,1,0,0,0,0
HD4920/00,0,0,0,0,1,1,0,0,0,0
HD4929/01,0,0,0,0,1,1,0,0,0,0
HD4938/01,0,0,0,0,1,1,0,0,0,0
HD9218,0,0,0,0,1,1,0,0,0,0
HI108/01,0,0,0,0,1,1,0,0,0,0
HI113/28,0,0,0,0,1,1,0,0,0,0
HI114/28,0,0,0,0,1,1,0,0,0,0
HL1606/03,0,0,0,0,1,1,0,0,0,0
HL1631/00,0,0,0,0,1,1,0,0,0,0
HL1631/02,0,0,0,0,1,1,0,0,0,0
HL1632/00,0,0,0,0,1,1,0,0,0,0
HL1643/04,0,0,0,0,1,1,0,0,0,0
HL1643/06,0,0,0,0,1,1,0,0,0,0
HL1661/00,0,0,0,0,1,1,0,0,0,0
HL1663/00,0,0,0,0,1,1,0,0,0,0
HL7555/00,0,0,0,0,1,1,0,0,0,0
HL7576/00,0,0,0,0,1,1,0,0,0,0
HL7577,0,0,0,0,1,1,0,0,0,0
HL7578,0,0,0,0,1,1,0,0,0,0
HL7579,0,0,0,0,1,1,0,0,0,0
HL7581,0,0,0,0,1,1,0,0,0,0
HL7699/00,0,0,0,0,1,1,0,0,0,0
HL7701/00,0,0,0,0,1,1,0,0,0,0
HL7707,0,0,0,0,1,1,0,0,0,0
HL7715/00,0,0,0,0,1,1,0,0,0,0
HL7756-02,0,0,0,0,1,1,0,0,0,0
HL7760,0,0,0,0,1,1,0,0,0,0
HL7763,0,0,0,0,1,1,0,0,0,0
HR1351/90,0,0,0,0,1,1,0,0,0,0
HR1887,0,0,0,0,1,1,0,0,0,0
SCF870,0,0,0,0,1,1,0,0,0,0
PGN084,0,0,0,0,1,1,0,0,0,0
PGN126,0,0,0,0,1,1,0,0,0,0
PGN104,0,0,0,0,1,1,0,0,0,0
PGN114,0,0,0,0,1,1,0,0,0,0
PGN078,0,0,0,0,1,1,0,0,0,0
PIG12584,0,0,0,0,1,1,0,0,0,0
PIG12453,0,0,0,0,1,1,0,0,0,0
PGN049,0,0,0,0,1,1,0,0,0,0
PGN124,0,0,0,0,1,1,0,0,0,0
PGN067,0,0,0,0,1,1,0,0,0,0
MG - 218,0,0,0,0,1,1,0,0,0,0
MG - 149,0,0,0,0,1,1,0,0,0,0
41213,0,0,0,0,1,1,0,0,0,0
41303,0,0,0,0,1,1,0,0,0,0
41319,0,0,0,0,1,1,0,0,0,0
41320,0,0,0,0,1,1,0,0,0,0
41343,0,0,0,0,1,1,0,0,0,0
41356,0,0,0,0,1,1,0,0,0,0
41360,0,0,0,0,1,1,0,0,0,0
41363,0,0,0,0,1,1,0,0,0,0
41366,0,0,0,0,1,1,0,0,0,0
41380,0,0,0,0,1,1,0,0,0,0
41388,0,0,0,0,1,1,0,0,0,0
41394,0,0,0,0,1,1,0,0,0,0
41407,0,0,0,0,1,1,0,0,0,0
41598,0,0,0,0,1,1,0,0,0,0
41767,0,0,0,0,1,1,0,0,0,0
41911,0,0,0,0,1,1,0,0,0,0
41944,0,0,0,0,1,1,0,0,0,0
41949,0,0,0,0,1,1,0,0,0,0
41959,0,0,0,0,1,1,0,0,0,0
41960,0,0,0,0,1,1,0,0,0,0
41963,0,0,0,0,1,1,0,0,0,0
41966,0,0,0,0,1,1,0,0,0,0
41970,0,0,0,0,1,1,0,0,0,0
42502,0,0,0,0,1,1,0,0,0,0
42610,0,0,0,0,1,1,0,0,0,0
42655,0,0,0,0,1,1,0,0,0,0
42701,0,0,0,0,1,1,0,0,0,0
42795,0,0,0,0,1,1,0,0,0,0
42797,0,0,0,0,1,1,0,0,0,0
49002,0,0,0,0,1,1,0,0,0,0
49022,0,0,0,0,1,1,0,0,0,0
42796,0,0,0,0,1,1,0,0,0,0
41971,0,0,0,0,1,1,0,0,0,0
41353,0,0,0,0,1,1,0,0,0,0
41935,0,0,0,0,1,1,0,0,0,0
41953,0,0,0,0,1,1,0,0,0,0
49008,0,0,0,0,1,1,0,0,0,0
41371,0,0,0,0,1,1,0,0,0,0
41372,0,0,0,0,1,1,0,0,0,0
49003,0,0,0,0,1,1,0,0,0,0
41215,0,0,0,0,1,1,0,0,0,0
41969,0,0,0,0,1,1,0,0,0,0
SRS-XB01,0,0,0,0,1,1,0,0,0,0
SRS-XB12,0,0,0,0,1,1,0,0,0,0
GHFJMBXK050,0,0,0,0,1,1,0,0,0,0
41950,0,0,0,0,1,1,0,0,0,0
SUJ007,0,0,0,0,1,1,0,0,0,0
SUJ006,0,0,0,0,1,1,0,0,0,0
SUJ010,0,0,0,0,1,1,0,0,0,0
SUJ005,0,0,0,0,1,1,0,0,0,0
SUJ004,0,0,0,0,1,1,0,0,0,0
SUJ001,0,0,0,0,1,1,0,0,0,0
SUJ002,0,0,0,0,1,1,0,0,0,0
SUJ003,0,0,0,0,1,1,0,0,0,0
SUJ009,0,0,0,0,1,1,0,0,0,0
GFCDSUPLIT0000,0,0,0,0,1,1,0,0,0,0
GWPDASAOT00000,0,0,0,0,1,1,0,0,0,0
42652,0,0,0,0,1,1,0,0,0,0
4122116020NS,0,0,0,0,1,1,0,0,0,0
4122533021N,0,0,0,0,1,1,0,0,0,0
4122533022N,0,0,0,0,1,1,0,0,0,0
4123134025N,0,0,0,0,1,1,0,0,0,0
41221370234N,0,0,0,0,1,1,0,0,0,0
41221371034N,0,0,0,0,1,1,0,0,0,0
41221380246N,0,0,0,0,1,1,0,0,0,0
41221381051N,0,0,0,0,1,1,0,0,0,0
40011LX600N,0,0,0,0,1,1,0,0,0,0
40011375338N,0,0,0,0,1,1,0,0,0,0
40011377126N,0,0,0,0,1,1,0,0,0,0
408001080052N,0,0,0,0,1,1,0,0,0,0
MG2853,0,0,0,0,1,1,0,0,0,0
40011377332N,0,0,0,0,1,1,0,0,0,0
40015374026N,0,0,0,0,1,1,0,0,0,0
41245381642N,0,0,0,0,1,1,0,0,0,0
40015377233N,0,0,0,0,1,1,0,0,0,0
4122545700N,0,0,0,0,1,1,0,0,0,0
GFCDFVOGUE0000,0,0,0,0,1,1,0,0,0,0
42656,0,0,0,0,1,1,0,0,0,0
WH - 21220,0,0,0,0,1,1,0,0,0,0
WH - 21249,0,0,0,0,1,1,0,0,0,0
WH - 21355,0,0,0,0,1,1,0,0,0,0
WH - 30132,0,0,0,0,1,1,0,0,0,0
WH - 30133,0,0,0,0,1,1,0,0,0,0
WH - 30160,0,0,0,0,1,1,0,0,0,0
WH - 30174,0,0,0,0,1,1,0,0,0,0
WH - 30197,0,0,0,0,1,1,0,0,0,0
WH - 30199,0,0,0,0,1,1,0,0,0,0
WH - 30200,0,0,0,0,1,1,0,0,0,0
WH - 30206,0,0,0,0,1,1,0,0,0,0
WH - 30211,0,0,0,0,1,1,0,0,0,0
WH - 30212,0,0,0,0,1,1,0,0,0,0
WH - 30235,0,0,0,0,1,1,0,0,0,0
WH - 31281,0,0,0,0,1,1,0,0,0,0
WH - 31322,0,0,0,0,1,1,0,0,0,0
WH - 31373,0,0,0,0,1,1,0,0,0,0
WH - 31375,0,0,0,0,1,1,0,0,0,0
WH - 71592,0,0,0,0,1,1,0,0,0,0
WH - 71595,0,0,0,0,1,1,0,0,0,0
WH - 71596,0,0,0,0,1,1,0,0,0,0
WH - 71610,0,0,0,0,1,1,0,0,0,0
WH - 71625,0,0,0,0,1,1,0,0,0,0
WH - 71628,0,0,0,0,1,1,0,0,0,0
WH - 71629,0,0,0,0,1,1,0,0,0,0
WH - 71631,0,0,0,0,1,1,0,0,0,0
WH - 71635,0,0,0,0,1,1,0,0,0,0
WH - 71651,0,0,0,0,1,1,0,0,0,0
WH - 71765,0,0,0,0,1,1,0,0,0,0
WH - 71771,0,0,0,0,1,1,0,0,0,0
WH - 71828,0,0,0,0,1,1,0,0,0,0
WH - 71845,0,0,0,0,1,1,0,0,0,0
WH - 71862,0,0,0,0,1,1,0,0,0,0
WH - 71865,0,0,0,0,1,1,0,0,0,0
WH - 71866,0,0,0,0,1,1,0,0,0,0
WH - 71900,0,0,0,0,1,1,0,0,0,0
WH-21197,0,0,0,0,1,1,0,0,0,0
WH-21198,0,0,0,0,1,1,0,0,0,0
WH-21204,0,0,0,0,1,1,0,0,0,0
WH-21206,0,0,0,0,1,1,0,0,0,0
WH-21207,0,0,0,0,1,1,0,0,0,0
WH-30199,0,0,0,0,1,1,0,0,0,0
WH-30200,0,0,0,0,1,1,0,0,0,0
WH-30211,0,0,0,0,1,1,0,0,0,0
WH-31373,0,0,0,0,1,1,0,0,0,0
WH-31375,0,0,0,0,1,1,0,0,0,0
WH-41219,0,0,0,0,1,1,0,0,0,0
WH-41220,0,0,0,0,1,1,0,0,0,0
WH-50046,0,0,0,0,1,1,0,0,0,0
WH-50047,0,0,0,0,1,1,0,0,0,0
WH-61017,0,0,0,0,1,1,0,0,0,0
WH-61018,0,0,0,0,1,1,0,0,0,0
WH-61019,0,0,0,0,1,1,0,0,0,0
WH-61021,0,0,0,0,1,1,0,0,0,0
WH-71592,0,0,0,0,1,1,0,0,0,0
WH-71596,0,0,0,0,1,1,0,0,0,0
WH-71597,0,0,0,0,1,1,0,0,0,0
GWPDXTUFF00000,0,0,0,0,1,1,0,0,0,0
GFCDTNDZIP0000,0,0,0,0,1,1,0,0,0,0
