id,kind
FHCNISTBCU48,-1
CY6240,-1
S96920,-1
AVI001,-1
AVI002,-1
AVI003,-1
AVI004,-1
BTF-001,-1
BTF-002,-1
BTF-003,-1
BTF-004,-1
BTF-005,-1
BTF-006,-1
BTF-007,-1
BTF-008,-1
BTF-009,-1
BTF-010,-1
BTF-011,-1
BTF-012,-1
BTF-013,-1
BTF-014,-1
BTF-015,-1
BTF-016,-1
BTF-017,-1
BTF-018,-1
BTF-019,-1
BTF-020,-1
BTF-021,-1
BTF-022,-1
BTF-023,-1
BTF-024,-1
BTF-025,-1
BTF-026,-1
BTF-027,-1
BTF-028,-1
BTF-029,-1
BTF-030,-1
BTF-031,-1
BTF-032,-1
BTF-033,-1
BTF-034,-1
BTF-035,-1
CHTO1,-1
CHTO10,-1
CHTO13,-1
CHTO14,-1
CHTO15,-1
CHTO16,-1
CHTO17,-1
CHTO18,-1
CHTO19,-1
CHTO2,-1
CHTO20,-1
CHTO21,-1
CHTO4,-1
CHTO5,-1
CHTO6,-1
CHTO7,-1
CHTO8,-1
CHTO12,-1
CHTO9,-1
1082-Mu-A,-1
1102H,-1
13-Piec-A,-1
1703IAEB,-1
1805BEIA,-1
1805HF,-1
1806AGJEI,-1
1806HF,-1
2013RC,-1
2218EA,-1
2218FH,-1
LE628-27,-1
46PAS,-1
553-323-A,-1
606-609-A,-1
6136b-E-A,-1
678-103-A,-1
678-103,-1
678-104-A,-1
77008-s-A,-1
8002-Se-A,-1
8661,-1
929-B2 -A,-1
999-2,-1
BF-630A-A,-1
7050,-1
1602AGEB,-1
1602FH,-1
1601EI,-1
1003AEI,-1
668-48,-1
CBASB,-1
19020B,-1
7637,-1
1004ABEI,-1
CY6067B-A,-1
DH34,-1
FDLX608,-1
678A,-1
FY008-917,-1
GF356,-1
HE0603-04,-1
HE0801,-1
HG235A -A,-1
HSC5706,-1
KC008-915-919,-1
KT7001KL,-1
KRS-F-6,-1
KS-3,-1
KS-4,-1
KS-61008,-1
Y589-01-08,-1
LX175,-1
LX608,-1
MFC,-1
2016EBACI,-1
MCDH,-1
MC333-33,-1
356G,-1
MY66-M2-A,-1
NR99444,-1
NTPR,-1
PW103,-1
RC8037E,-1
SC9802M,-1
SLW9881 -A,-1
SB324-334-344,-1
TIJ1409,-1
TI-1,-1
1802GIBA,-1
1802FH,-1
3054,-1
TTLX175A,-1
TWLAS,-1
WT7732,-1
YJ-3013-A,-1
YJ-3023-A,-1
ZB6640,-1
KRMPL18W2SCJJ,-1
KRMPR18W2SCJJ,-1
PC1052,-1
PC1152,-1
PC1128,-1
PC1133,-1
PC1021,-1
PC1050,-1
PC105-1,-1
PC1075,-1
PC1092,-1
PC110,-1
PC1110,-1
PC121-B,-1
PC127,-1
PC133,-1
PC1521,-1
PC1527,-1
PC2152-A,-1
PC2152-B,-1
PC92-B,-1
PC92-B1,-1
PC2120,-1
PC114,-1
PC135,-1
PC-105,-1
PC2133,-1
SCF030-10,-1
SCF030-20,-1
SCF033-10,-1
SCF033-20,-1
SCF036-10,-1
SCF036-20,-1
SCF284,-1
SCF330,-1
SCF332,-1
SCF355,-1
SCF753,-1
SCF755,-1
SCF796,-1
SCF922,-1
SCF551,-1
SCF553,-1
10000,-1
10003,-1
10007,-1
10013,-1
10016,-1
10024,-1
10025,-1
10030,-1
10035,-1
10200,-1
10201,-1
10203,-1
10209,-1
10211,-1
10275,-1
10709,-1
10717,-1
10725,-1
