id,cate_id,sub_cate_id
101678,147,142
102582,147,142
102587,147,142
102590,147,142
102592,147,142
102596,147,142
102615,147,142
106216,147,142
106220,147,142
106224,147,142
106227,147,142
106235,147,142
106244,147,142
106254,147,142
106261,147,142
106268,147,142
106271,147,142
106288,147,142
106306,147,142
106312,147,142
106316,147,142
106367,147,142
106369,147,142
106374,147,142
106384,147,142
107443,147,142
107449,147,142
107558,147,142
107563,147,142
127123,147,142
128069,147,142
128327,147,142
128329,147,142
134262,147,142
146620,147,142
146624,147,142
146675,147,142
208647,147,142
246792,147,142
270201,147,142
277174,147,142
288052,147,142
315804,147,142
319569,147,142
319957,147,142
326807,147,142
326808,147,142
326809,147,142
326812,147,142
326815,147,142
328035,147,142
334392,147,142
342122,147,142
394857,147,142
SB0064,147,142
SB0065,147,142
SB0066,147,142
SB0067,147,142
SB0078,147,142
SB0079,147,142
SB0091,147,142
SB0092,147,142
SB0093,147,142
SB0094,147,142
SB0095,147,142
SB0096,147,142
SB0097,147,142
SB0098,147,142
SB0099,147,142
404907,148,142
424060,148,142
424061,148,142
386223,148,142
321323,148,142
321325,148,142
277153,148,142
277152,148,142
277136,148,142
356613,148,142
356612,148,142
346188,148,142
277139,148,142
277142,148,142
356608,148,142
277140,148,142
413260,148,142
424064,148,142
355740,148,142
426177,148,142
240125,148,142
398725,148,142
354279,148,142
426578,148,142
351590,148,142
351592,148,142
360361,148,142
284304,146,142
284332,146,142
284319,146,142
284340,146,142
284265,146,142
306311,146,142
284264,146,142
284308,146,142
284277,146,142
284301,146,142
284272,146,142
284698,146,142
284269,146,142
284287,146,142
420464,146,142
284344,146,142
420449,146,142
401672,146,142
398762,146,142
420434,146,142
420440,146,142
420444,146,142
427657,146,142
417720,146,142
328664,146,142
427658,146,142
384205,146,142
382050,146,142
267277,146,142
409838,146,142
267279,146,142
261373,146,142
326624,146,142
401858,146,142
424839,146,142
302774,146,142
261374,146,142
387893,146,142
267276,146,142
330469,146,142
401856,146,142
412210,146,142
423143,146,142
409815,146,142
409816,146,142
409820,146,142
409818,146,142
409819,146,142
412256,146,142
277149,146,142
277148,146,142
422299,146,142
422301,146,142
275236,146,142
167976,146,142
275246,146,142
275247,146,142
422300,146,142
424593,146,142
424241,146,142
424242,146,142
424237,146,142
424238,146,142
424240,146,142
424239,146,142
422398,146,142
405272,146,142
390706,146,142
409824,146,142
281317,146,142
420465,146,142
428888,146,142
427660,146,142
420442,146,142
406862,146,142
396261,146,142
423244,146,142
405876,146,142
423350,146,142
423351,146,142
423345,146,142
427659,146,142
354540,146,142
426651,146,142
394916,146,142
412340,146,142
412338,146,142
412341,146,142
412339,146,142
422125,146,142
382078,146,142
404819,146,142
275922,146,142
275927,146,142
410702,146,142
399534,146,142
210060,146,142
372908,146,142
279833,146,142
390135,146,142
319237,146,142
