id,original_price,sell_price,variations_types,in_stoke
06016B30F0,8980,8353,[],1
06018242F1,9715,7774,[],1
06018B70F0,9620,7581,[],1
060194D0F0,3155,2950,[],1
06019804F5,6035,5438,[],1
06019805F0,3655,3409,[],1
06019G80F0,9410,7784,[],1
06019G80F1,6055,5260,[],1
06019G81K2,10805,8696,[],1
06019H20F0,3245,2906,[],1
06019H21L1,4400,3533,[],1
10W Smart Bulb,2299,1255,[],1
11001,360,360,[],1
122105_113,1490,920,[],1
122106_113,1890,1126,[],1
122107_113,2190,1281,[],1
12W Inverter bulb,1298,1266,[],1
32PHT4233S,24990,19160,[],0
32PHT5505,17990,16685,[],0
32PHT5813S,34990,20755,[],0
40011375338N,3540,3197,[],1
40011377126N,4695,3642,[],1
40011377332N,4420,3842,[],0
40011LX600N,4320,4093,[],1
40015374026N,2845,2536,[],0
40015377233N,1560,1560,[],0
40562,23495,16769,[],0
40563,19995,14300,[],0
40565,26495,18885,[],0
408001080052N,5595,4360,[],1
41202,6555,5665,[],0
41213,4960,4815,[],0
41215,4695,4322,[],1
4122116020NS,800,759,[],1
41221370234N,890,757,[],0
41221371034N,1400,1276,[],1
41221380246N,820,741,[],0
41221381051N,900,829,[],1
4122533021N,910,891,[],1
4122533022N,1000,950,[],1
4122545700N,3540,3020,[],0
4123134025N,760,679,[],0
41245381642N,1995,1637,[],0
41303,3395,2991,[],0
41319,5095,4745,[],1
41320,5295,4555,[],0
41331,7095,6391,[],1
41337,4745,3527,[],0
41343,3445,3386,[],1
41353,4545,3449,[],1
41356,4545,3323,[],0
41360,3645,3551,[],1
41363,6295,6144,[],1
41366,5595,5195,[],0
41371,4395,4168,[],1
41372,4995,4057,[],1
41380,6495,5897,[],0
41388,3995,2719,[],0
41394,4795,4786,[],1
41407,7995,5835,[],0
41598,1695,1313,[],0
41633,18995,14385,[],1
41634,19995,15047,[],1
41767,745,745,[],1
41911,4245,2991,[],0
41915,5195,3573,[],0
41935,2795,2323,[],1
41944,4895,3563,[],0
41949,3495,2672,[],1
41950,49995,32693,[],0
41953,2895,2078,[],0
41959,4295,2988,[],0
41960,4295,3151,[],0
41963,4995,3837,[],1
41966,3095,2361,[],0
41969,2395,2048,[],1
41970,3995,3149,[],1
41971,5695,5695,[],0
42307,795,711,[],1
42308,1095,890,[],0
42310,2095,1674,[],0
42502,5895,4512,[],1
42610,8995,7073,[],0
42652,19995,13482,[],0
42655,5995,4784,[],1
42656,6995,4844,[],0
42701,20995,14493,[],0
42702,15995,11088,[],0
42705,27995,19260,[],0
42795,4295,3513,[],0
42796,5295,4206,[],0
42797,6295,4898,[],0
440216,1015,961,[],1
49002,2695,2031,[],0
49003,3195,2372,[],0
49008,2195,1691,[],0
49022,4495,3812,[],1
50PUT6604,105990,42084,[],0
58PUT6604,129990,49463,[],0
601169055,10800,8912,[],0
611250755,12395,10023,[],0
611251755,16380,13436,[],1
611253755,17655,14335,[],1
70PUT6704,199990,111636,[],0
99496,725,616,[],0
99497,795,686,[],1
9W Inverter Bulb,1098,1098,[],1
A3902J21,7999,6435,[],1
A4-1,999,484,[],1
Aavante Bar 1280,13990,7243,[],1
AC0817,8990,8990,[],0
AC1217,12990,12681,[],1
AC2958-63,22995,21547,[],1
AC3059-65,32995,30590,[],1
ACGIH-IHL101,530,530,[],1
ACGIH-IHL102,530,530,[],1
ACGIH-IHL104,530,530,[],1
ACGIH-IHL151,595,575,[],1
ACGIH-IHL152,595,575,[],1
ACGIH-IHL154,595,575,[],0
ACGIH-IHL201,595,589,[],1
ACGIH-IHL251,675,617,[],1
ACPUWP,9499,8593,[],1
AERUM,24000,16597,[],1
AGO,595,565,[],1
Airdopes-443,5999,3549,[],0
Airdops-203,3990,2855,[],0
AIWH-3LRPIDJT3KW5Y,4050,3050,[],1
AIWH-3LSOLNEO3KW5Y,4200,3111,[],1
AMUWP,7750,6796,[],1
ASSU,7999,7140,[],1
ASWH-1810,9000,6830,[],1
ASWH-1815,9600,7197,[],1
ASWH-1825,11000,8438,[],1
ASWH-1910SHz,9200,7603,[],0
ASWH-1915SHz,10200,8326,[],0
ASWH-1925SHz,12200,9252,[],0
ASWH-2010,10500,6800,[],1
ASWH-2015,11635,7172,[],1
ASWH-2025,13250,8290,[],1
ASWH-2415,10500,8450,[],1
ASWH-2425,12500,9782,[],1
ASWH-2735,13500,9989,[],0
ASWH-2750,16500,11195,[],0
ASWH-3006,7000,6475,[],1
ASWH-3010,8500,5777,[],0
ASWH-3015,9500,6529,[],1
ASWH-3025,10000,7581,[],1
ASWH1310-WHT/BLU,9500,6491,[],0
ASWH1315-WHT/BLU,10500,7119,[],0
ASWH1325-WHT/BLU,11700,8541,[],0
ASWH1606,9000,6607,[],1
ASWH1610,10000,7581,[],1
ASWH1615,11000,8694,[],1
ASWH1625,12200,10042,[],1
AUX-1,599,348,[],1
Bassheads 110,999,602,[],0
BN-003,999,762,[],1
BN-004,1190,838,[],1
BN-006,2490,1109,[],1
BN-009,2990,1905,[],1
BN-026,3990,2119,[],1
BN-033,4990,3509,[],0
BRE235,2895,2795,[],0
BRE245,3595,3556,[],0
BT2505A,2999,2090,[],1
BT3901A,3999,2656,[],1
BT3901B,3999,2656,[],1
BT51B,1999,1561,[],0
BT60BK,1999,1389,[],1
BT6620,5990,4138,[],0
BZ-R6,9999,4227,[],1
CCI-1,599,529,[],0
CX150BT-WT,4990,4450,[],0
CX180,1090,1090,[],1
CX3RED,3990,3558,[],1
CX80S,1490,1490,[],1
DLC2508B,1699,999,[],0
DLC2508F,1699,963,[],1
DLC2508G,1499,820,[],1
DLC2518B,599,342,[],1
DLC2528N,599,543,[],0
DLP1710,2499,1171,[],1
DLP1710CB/97,2499,1219,[],1
DLP1720,3990,1783,[],0
DLP6006,2199,1185,[],1
DLP6006B,2199,1185,[],1
DLP6006N,2999,1181,[],1
DLP8006U,2999,2583,[],0
ECO-1,1149,1065,[],1
ECO-2,1149,1065,[],1
EN-01,4007,2783,[],0
FC9352,9995,9191,[],1
FCVC,2399,1881,[],1
FESCVC,3599,3056,[],1
FHCNISTBCU48,3870,3870,[],0
FHSSWSTOWH16,3520,2987,[],0
FHTSWLXCHR16,2570,2234,[],0
FLV,3490,3160,[],1
FNKCATPB3B90SDAG,1690,1690,[],1
FNKCATPB3BV01DAG,1690,1690,[],1
FNKCATPI3B12SDAG,1690,1630,[],1
FNKCATPI3B90SDAG,1690,1630,[],1
FNKCATPW3B90SDAG,1690,1690,[],1
FNKCATPW3BV01DAG,1690,1690,[],1
FNKCCOAB3B12ADAG,2050,1931,[],1
FNKCGLAB3B12SDAG,1830,1830,[],1
FNKCGLAB3B90SDAG,1830,1830,[],1
FNKCGLAB4B60SDAG,1690,1690,[],1
FNKCGLAI3B12SDAG,1830,1776,[],1
FNKCGLAI3B90SDAG,1830,1830,[],1
FNKCGLAW3B12SDAG,1830,1830,[],1
FNKCGLAW3B90SDAG,1830,1830,[],1
FNKCKLAB3D12SDST,2690,2347,[],0
FNKCSPAW3S12SDST,2090,1866,[],0
FNKEFREW5B20SDST,1390,1284,[],1
FNKEFREW5B25SDST,1480,1367,[],1
FNKEFREW5H20SDST,1590,1342,[],0
FNKEFREW6B15SDST,1260,1121,[],1
FNKEFREW6H15SDST,1430,1216,[],1
FNKEFRJW6H15SDST,1320,1074,[],0
FNKEFUMG3B30SDST,1620,1620,[],1
FNKEFUMG3H22SDST,1520,1335,[],0
FNKPARDL3H40SDST,3285,3025,[],1
FNKTTAVG3B40SDST,2490,2134,[],1
FNKTTAVL3H40SDST,2790,2645,[],1
FNKWSTIG3B40SDST,2490,2335,[],1
FNKWSTIL3H40SDST,2890,2715,[],1
FQCDX,4499,4331,[],1
FTNVC,4100,3459,[],1
FTWD,9849,8830,[],1
FVVC,9149,7974,[],1
GC101/02,895,895,[],0
GC1015,1645,1525,[],1
GC1022/40,2395,2235,[],1
GC1028/20,2595,2351,[],1
GC157/02,1325,1245,[],1
GC158/02,1295,1295,[],1
GC181/80,1745,1613,[],1
GC1905/21,2095,1937,[],1
GC1920/28,2345,2144,[],1
GC2996,5995,5521,[],0
GC300,4095,3813,[],0
GC3920,8495,7014,[],0
GC523,8995,8917,[],1
GFCDFCARC00000,2499,1988,[],1
GFCDFVOGUE0000,8549,7974,[],1
GFCDSUPLIT0000,3649,3196,[],1
GFCDTNDZIP0000,3799,3799,[],1
GHFJMBXK050,5925,5295,[],1
GHFMGBNV075,6495,5747,[],1
GNM001,4499,3425,[],1
GNM002,9999,9185,[],1
GNM003,4499,3425,[],1
GWPDAMRIT00003,2499,2499,[],1
GWPDASAOT00000,995,959,[],1
GWPDPITCH00002,1399,1357,[],1
GWPDPPFMCBLK00,595,595,[],1
GWPDXTUFF00000,1999,1825,[],1
HC000001-ADP-BLK,1899,1481,[],1
HC000001-HDM,749,664,[],1
HC000002-ADP-WHT,2099,1550,[],0
HC000003-ADP-WHT,1499,1383,[],0
HC000003-HDM,1899,1439,[],1
HC000004-ADP-BLK,1999,1516,[],1
HC000005-ADP-WHT,3499,2428,[],1
HC000005-SRG,1999,1417,[],0
HC000006-ADP-BLK,3499,2723,[],1
HC000006-HDM,2599,2103,[],1
HC000006-LAP,1899,1483,[],1
HC000007-HDM,7599,5053,[],1
HC000007-LAP,8299,5361,[],1
HC000008-HDM,5499,3873,[],1
HC000008-LAP,10999,7211,[],0
HC000009-HDM,1169,1022,[],1
HC000010-CHG-WHT,1559,1284,[],1
HC000010-HDM,2079,1597,[],1
HC000012-CBL,649,531,[],1
HC000012-HDM,3999,2863,[],1
HC000022-CBL,349,322,[],1
HC000023-CBL,449,418,[],1
HC000024-CBL,449,449,[],0
HC000025-CBL,449,449,[],0
HC000032-CBL,449,449,[],1
HC000033-CBL,559,521,[],1
HC000034-CBL,799,524,[],1
HC000035-CBL,799,524,[],1
HC000036-CBL,799,524,[],1
HC00004-PBK-BLK,1999,1409,[],0
HD1134/28,855,805,[],1
HD1182/28,1025,955,[],1
HD205II,3990,3508,[],1
HD2393/99,2195,2195,[],0
HD2582/00,2295,2295,[],1
HD2583/90,2595,2571,[],0
HD280PRO,8990,8015,[],0
HD450BT-BK,14990,13364,[],0
HD4920/00,3395,3168,[],1
HD4929/01,4695,3874,[],1
HD4938/01,5595,5001,[],1
HD9218,12995,12132,[],0
HEV-001,11575,9145,[],0
HEV-002,5595,4451,[],0
HEV-003,9370,7508,[],1
HEV-005,960,960,[],0
HEV-006,1030,1028,[],0
HEV-007,855,779,[],0
HEV-008,1145,1000,[],0
HEV-009,1145,1000,[],0
HEV-012,1145,1000,[],0
HEV-013,7999,4732,[],0
HEV-014,2645,1950,[],1
HEV-015,2645,2025,[],0
HEV-016,2645,2025,[],0
HEV-018,3495,2875,[],0
HEV-021,7380,5575,[],0
HEV-022,5595,3920,[],0
HI108/01,1045,925,[],1
HI113/28,1025,1025,[],1
HI114/28,1195,1095,[],1
HL1606/03,3495,3495,[],1
HL1631/00,4295,3995,[],1
HL1631/02,2895,2800,[],1
HL1632/00,4495,4277,[],1
HL1643/04,5295,4895,[],1
HL1643/06,6195,5685,[],1
HL1655/00,1995,1895,[],1
HL1661/00,9495,9195,[],0
HL1663/00,2895,2866,[],0
HL7555/00,4295,4111,[],1
HL7576/00,5595,5187,[],1
HL7577,3995,3795,[],1
HL7578,5595,5187,[],1
HL7579,6095,5527,[],1
HL7581,6095,5653,[],1
HL7699/00,5695,5527,[],1
HL7701/00,6495,5934,[],1
HL7707,10995,9384,[],1
HL7715/00,7495,6763,[],1
HL7756-02,4895,4635,[],1
HL7756/00,4895,4608,[],1
HL7760,5595,4795,[],1
HL7763,7495,6947,[],1
HN-01,2850,2674,[],0
HR1350/90,1595,1418,[],1
HR1351/90,2295,2089,[],1
HR1363/04,2795,2795,[],0
HR1887,15995,13336,[],1
HR2771/28,1095,1095,[],0
HR2774/28,1095,1095,[],0
HR2775/28,1395,1395,[],0
HR3705/10,2495,2495,[],1
HTL1045,9990,7110,[],0
HX3212-61,5000,4671,[],1
HX3214-11,3595,3413,[],1
JBLENDURJUMPBLK,5099,4635,[],0
JBLT110BLK,1290,1102,[],1
JBLT110BTBLK,2499,2400,[],0
JBLT210BLK,1199,1199,[],0
JBLT290BLK,1799,1799,[],0
JBLT500BTBLU,3799,3567,[],0
JBLT600BTNCBLK,7399,6962,[],0
KDN30UL30I,34999,31500,[],0
KDN30UV30I,34199,30780,[],0
KDN42UL30I,42990,34625,[],1
KGSFRE06GP8VGNDSE,8540,5427,[],0
KGSFRE10GP8HGNDSE,10590,6607,[],1
KGSFRE10GP8VGNDAG,9950,6784,[],1
KGSFRE15GP8HGNDSE,11550,7138,[],1
KGSFRE15GP8VGNDAG,10890,7481,[],1
KGSFRE15GP8VGNDSE,10390,6492,[],0
KGSFRE25GP8VGNDAG,11890,8475,[],1
KGSFRE25GP8VGNDSE,11390,7276,[],0
KGSSPL25MP8VGNDSE,13690,10710,[],1
KGSSPR10BP8VGNDSE,10350,6433,[],0
KGSSPR25BP8VGNDSE,12850,9534,[],1
KGSSTA15WM8VGNDSE,9450,7081,[],1
KGSSTA25WM8VGNDSE,10590,7879,[],1
KGTATP03WP8V3KDSE,4790,3114,[],1
KGTJAN03NP8V3KDSE,4290,2696,[],0
KHS20W1PDBH,1270,1086,[],1
KJNUP45W2PDJS,4190,3111,[],1
KKB10C3PDBH,1270,1073,[],1
KKEST18C1SCID,1800,1213,[],1
KKKAL18C1PCID,2190,1411,[],1
KKOLL05C1SCLW,1590,1224,[],1
KKOLL10C1SCLW,1740,1359,[],1
KMMAX55W3SDJS,3800,2782,[],1
KMMIC50N3SDBB,3590,2633,[],1
KMMIX50N3SDBB,3445,2438,[],1
KMSPA50K3SDJS,3190,2115,[],0
KMSPI50Y3SDES,3950,2713,[],1
KMSTA60V3PDBF,5390,3748,[],1
KNACX75O1PDBM,970,686,[],0
KNALL10G1PDBM,990,703,[],1
KNARD10V1PDRG,935,635,[],1
KNBIG10W1PDBM,1090,614,[],0
KNFER10W1PDBM,1490,1094,[],1
KNGLP10W1MDBM,875,604,[],1
KNGRA12B2PDBM,1460,1021,[],1
KNSAT10P1PDBM,990,608,[],0
KNSTI14W2PDBM,1950,1388,[],1
