id,tags
365676CB,13438|13441|4847|13522|4890
365747CB,13438|13441|4847|4892|4890
365941,13150|13541|13225|13541
366493,13170|13197|13918|13901|13287|13925
366494,13170|13197|13916|13901|13287|13925
367208,13438|13440|13454|13645|13441
367216,13438|13440|13454|13645|13441
367217,13438|13440|13454|13645|13441
367794,13244|13245|13419|13429
368187,13003|13017|5056
368277,13003|13017|944
368284,13003|13017|5058
368288,13003|13017|5057
368382,13170|13193|13624|13274
369615,13881|13882|13886|13891|13892|13896
369616,13881|13882|13886|13891|13892|13893
369617,13881|13882|13886|13891|13892|13897
369658,13695|4859|4929|4972
371487,13150|5188|13560|13560|5189|5171|5170
371488,13150|5188|13560|13560|5189|5171|5170
371622,13438|13440|13454|13645|13441
374103,13150|13152|4857|13423
374104,13150|13152|4857|13423
374183,13881|13882|13887|13891|13892|13899
374382,13244|13871|5146|5156
374809,13170|13197|4901|13901|13287|980|13286
374812,13170|13197|4894|13901|13287|980|13286
374957,13881|13882|13886|13891|13892|13896
374958,13881|13882|13886|13891|13892|13897
374959,13881|13882|13886|13891|13892|13893
375327,13150|13152|4857|13423
375357,13438|13441|13643|13522|13081
376437,13881|13882|13887|13891|13892|13893
376440,13881|13882|13887|13891|13892|13895
376820,13438|13441|13489|13649
378155,13927|4906|4918|4977|4978
378156,13927|4906|4918|4977
378355,13170|13195|13624|13263
378357,13170|13195|13624|13628
378358,13170|13195|13624|13628
378360,13170|13195|13624|13628
378363,13170|13195|13624|13628
378366,13170|13193|13624|13261
378367,13170|13169|13624|13316
378369,13170|13193|13624|13268
378370,13170|13193|13624|13275
378371,13170|13193|13624|13318
378372,13170|13193|13624|13275
378373,13170|13193|13624|13629
378374,13170|13193|13624|13315
378376,13170|13196|13624|13270
378377,13170|13196|13624|13270
378378,13170|13195|13624|13271
378382,13170|13193|13624|13274
378386,13170|13169|13624|13272
378389,13170|13193|13624|13281
378391,13170|13193|13624|13275
378393,13170|13193|13624|13278
379675,13881|13882|13887|13891|13892|13898
380159,13170|13194|5003|874|1821
380160,13438|13440|13485|13524|13525
381058,13170|13197|13919|13901|13287|13925
381062,13170|13197|4900|13901|13287|13925
381434,13695|4859|13988|5027
381987,13881|13882|13887|13891|13892|13896
382650,13150|13534|13180|13534|13368
384205,13170|13194|4858|13342|4878
384276CB,13170|13193|722|13278|13279
384348,13170|13197|142|247
384417,13881|13882|13471|13891|13892|13896
384418,13881|13882|13471|13891|13892|13893
384419,13881|13882|13471|13891|13892|13897
384420,13881|13882|13471|13891|13892|13895
384551,13438|13440|13479|13645
384778,13881|13882|13887|13891|13892|13896
385287,13150|13537|13414|13670|13673
385323,13927|4906|13201|4991
385575,13881|13882|13886|13891|13892|13896
385576,13881|13882|13886|13891|13892|13893
385577,13881|13882|13886|13891|13892|13897
385578,13881|13882|13886|13891|13892|13895|31536
386159,13170|13195|5162|962|5021|329
386238,13150|13182|13664|13678
386957,13150|13536|13593|13514
387092,13150|13536|13371|13514
387118,4861|4862|13813|4870|4872
