id,original_price,sell_price,discount,variations_types,stocks,size
152329CB,880,694,22,[],100,0
301974CB,520,364,30,[],100,0
306542CB,540,378,30,[],100,0
337892CB,370,260,30,[],100,0
339218CB,280,186,34,[],100,0
384276CB,290,212,27,[],0,0
415542CB,160,108,33,[],100,0
