id,name,original_price,sell_price,variations_types,stocks,size
249951,Apple Himachal,165,150,1000|500|2000,100,1
250122,Banana - Yelakki,44,40,1000|500|2000,100,1
249882,Orange Nagpur,88,80,1000|500|2000,100,1
250116,Banana - Robusta,29,28,1000|500|2000,100,1
249961,Apple Royal Gala,198,180,1000|500|2000,100,1
298938,Kiwi (per piece),25,22,[],100,0
250438,Cucumber - English,33,30,1000|500|2000,100,1
250641,Beans - Haricot Verts,66,60,1000|500|250,100,1
250462,Capsicum - Green,61,55,1000|500|2000,100,1
250492,Beans - French Round,61,55,1000|500|250,100,1
250417,Tomato - Country,22,20,1000|500|2000,100,1
250437,Tomato - Hybrid,37,33,500|1000|2000,100,1
