id,name,sub_cate_id
14115,badam,26
14116,rice flour 1 kg,24
14117,rice flour 25kg,24
14118,rice flour 500g,24
14119,organic tattva arhar dal 1kg,25
14120,organic tattwa channa dal 500g,25
14121,organic tattwa kabuli channa 500g,25
14122,organic tattwa kala channa 500g,25
14123,organic tattwa moong dal 500g,25
14124,organic tattwa moong whole 1kg,25
14125,organic tattwa roasted channa 500g,25
14126,organic tattwa toordal 1kg,25
14127,aro toor dal reg  5kg,25
14128,catch chana masala 100g,25
14129,grocery toor dal 1kg,25
14130,grocery toor dal 500g,25
14131,catch coriander powder 200 g,25
14132,shivaling toor dal loose,25
14133,catch dal makhani masala 100g,25
14134,catch garam masala 100g,25
14135,toor dal loose,25
14136,catch hing 25g,25
14137,catch kitchen king masala 100g,25
14138,toor dal 5kg,25
14139,toor dal 1kg,25
14140,toor dal 10kg,25
14141,keya kitchen king masala 100g,27
14142,catch meat masala 100g,27
14143,catch pav bhaji masala 100g,27
14144,catch rajma masala 100g,27
14145,catch sabji masala 100 g,27
14152,24 mantra organic cloves 50 g,27
14153,24 mantra organic coriander powder 100g,27
14154,24 mantra organic coriander seeds whole 100 g,27
14155,24 mantra organic demerara sugar 500 g,27
14156,24 mantra organic fennel seed 100g,27
14157,24 mantra organic flax seeds 200 g,27
14158,24 mantra organic green moong whole 1 kg,27
14159,24 mantra organic green moong whole 500 g,27
14160,24 mantra organic idly rava 1 kg,27
14161,24 mantra organic idly rava 500 g,27
14162,24 mantra organic jowar sorghum flour 500 g,27
14163,24 mantra organic kabuli chana 500g,27
14164,catch shahi paneer masala 100g,27
14165,24 mantra organic mixed millet 500 g,27
14166,aashirvaad multi millet mix 1kg,27
14167,aashirvaad multi millet mix 500g,27
14168,aashirvaad salt 1kg,28
14169,akar iodised crystal salt 1kg,28
14170,keya nawabhi meat masala 100g,27
14171,aro chiroti sooji 1 kg,24
14172,catch super garam masala 200g,27
14177,24 mantra organic chana dal 1kg,25
14178,24 mantra organic moong dal 1kg,25
14179,24 mantra organic tur dal 1kg,25
14180,daliya 1kg,25
14181,keya shahi chicken marsala 100g,27
14182,keya shahi garam masala 100 g,27
14183,grocery urad dal 5kg,25
14184,grocery urad dal whole 5kg,25
14185,grocery white peas 1 kg,25
14186,grocery white peas 500g,25
14187,molasi's royal afghan anjeer 250g,25
14188,organic tattva rajma chitra 1 kg,25
14189,organic tattwa cowpea white 500g,25
14190,organic tattwa mix dal 500g,25
14191,organic tattwa peanut 500g,25
14192,organic tattwa rajma chitra 500g,25
14193,organic tattwa red poha 500g,25
14194,pro nature organic urad white whole 500g,25
14195,pro nature  organic kabuli channa 500 g,25
14196,pro nature  organic moong green split 500 g,25
14197,pro nature  organic moong green whole 500 g,25
14198,pro nature  organic rajma chithra 500 g,25
14199,pro nature  organic urad white split 500 g,25
14200,pro nature kala channa 500 g,25
14201,pro nature organic moong yellow 500 g,25
14202,rajdhani chana kabuli 1  kg,25
14203,rajdhani moong chilka 1  kg,25
14204,rajdhani urad black whole1 kg,25
14205,rajdhani urad chilka 1  kg,25
14206,ruchi nutrela soya chunks 80g,25
14207,molasi's zahidi dates 500g,25
14208,sri bhagyalakshmi fried gram 10 kg,25
14209,24 mantra salt and sugar,28
14210,pink salt,28
8677,pril tamarind shine insta clean 425ml,53
14211,"dheepam lamp oil, 1l pet bottle",140
8679,jaggery powder,28
8684,organic jaggery powder,28
14212,byadagi,27
14213,byadagi mirchi,27
14214,byadagi stemless mirchi whole 500 g,27
14215,byadagi  steamless mirchi,27
14216,catch masala,27
14217,nutraj dry fruits,26
14218,chilli guntur,27
14219,steamless chilli,27
14220,briyani rice,75
14221,dizzle mouth freshener sonff 145 g,27
14222,dnv mustard kasundi 350g,27
14223,nutraj afghan dried munakka raisin 200g,26
14224,nutraj daily berry mix 200 g,26
14225,nutraj flax seeds 200g,26
14226,nutraj dried figs anjeer 400g,26
14227,organic tattwa black mustard 100g,27
14228,organic tattwa black pepper whole 100g,27
14229,organic tattwa cumin whole 100g,27
14230,organic tattwa garam masala 100g,27
14231,organic tattwa jaggery powder 500g,26
14232,organic tattwa red chilli whole 100g,27
14233,ravi chilli powder 500g,27
14234,ravi puliyogare powder 200g,27
14235,ravi turmeric powder 100g,27
14236,sakthi chilli powder 50g,27
14237,sakthi coriander powder 50g,27
14238,sakthi garam masala 50g,27
14239,sakthi pepper powder 50g,27
14240,sakthi rasam powder 50g,27
14241,sakthi super garam masala 50g,27
14242,sakthi turmeric powder 50g,27
14243,tong garden dried mango 150g,26
14244,tong garden tropical nuts 180g,26
