id,original_price,sell_price,variations_types,stocks,size
250457,33,30,1000|500|250,100,1
250445,66,60,1000|500|250,100,1
250591,39,35,1000|500|2000,100,1
250645,165,150,1000|500|2000,100,1
250437,21,19,1000|500|250,100,1
