id,original_price,sell_price,discount,variations_types,stocks,size
249951,165,150,10,1000|500|2000,0,1
250122,88,80,10,1000|500|2000,100,1
250103,99,90,10,1000|500|2000,0,1
250110,99,90,10,1000|500|2000,0,1
250174,219,199,10,1000|500|2000,0,1
250624,429,390,10,[],0,0
279427,275,250,10,[],0,0
249882,138,125,10,1000|500|2000,0,1
249965,39,35,11,[],100,0
250223,77,70,10,1000|500|2000,0,1
250222,72,65,10,[],0,0
SB0039,149,135,10,1000|500,100,1
250231,138,125,10,1000|500|2000,100,1
250116,39,35,11,1000|500|2000,100,1
SB0037,121,110,10,[],0,0
249961,219,199,10,1000|500|2000,100,1
249944,275,250,10,1000|500|2000,100,1
350486,138,125,10,[],100,0
250133,182,165,10,[],100,0
SB0089,88,80,10,500|1000|2000|3000|4000,0,1
249877,88,80,10,1000|500|2000,100,1
250077,59,53,11,[],100,0
250078,72,65,10,[],0,0
250095,99,90,10,[],100,0
249889,138,125,10,1000|500|2000,100,1
250145,385,350,10,1000|500|2000,0,1
249963,231,210,10,1000|500|2000,100,1
249926,264,240,10,1000|500|2000,0,1
350478,330,300,10,1000|500|2000,0,1
250215,110,100,10,500|1000|2000|3000|4000,0,1
338005,367,333,10,500|1000|2000,100,1
403952,270,245,10,[],0,0
298938,33,30,10,[],100,0
285818,360,327,10,1000|500|2000,0,1
249953,142,129,10,1000|500|2000,0,1
250216,209,190,10,1000|500|2000,0,1
368287,55,50,10,[],0,0
279433,303,275,10,1000|500|2000,0,1
250200,88,80,10,[],100,0
250205,325,295,10,[],100,0
250219,77,70,10,1000|500|2000,0,1
340409,165,150,10,1000|2000,0,1
398436,154,140,10,[],0,0
388437,83,75,10,[],100,0
250406,55,50,10,1000|2000,100,1
249885,146,132,10,1000|500|2000,0,1
253355,182,165,10,[],0,0
317850,76,69,10,[],0,0
368273,99,90,10,[],100,0
250193,165,150,10,[],0,0
368288,429,390,10,[],0,0
SB0040,86,78,10,[],0,0
SB0041,385,350,10,500|1000|2000,100,1
SB0043,248,225,10,1000|500|2000,0,1
SB0042,209,190,10,1000|500|2000,100,1
250383,94,85,10,1000|500|2000,0,1
SB0038,108,98,10,[],0,0
SB0069,301,273,10,500|1000|2000,0,1
350487,363,330,10,250|500|1000|2000,0,1
SB0076,303,275,10,250|500|1000|2000,0,1
SB0080,121,110,10,500|1000|2000|3000|4000,0,1
SB0052,165,150,10,500|1000|2000|3000|4000,0,1
SB0081,242,220,10,500|1000|2000|3000|4000,0,1
SB0082,121,110,10,500|1000|2000|3000|4000,100,1
SB0084,121,110,10,500|1000|2000|3000|4000,100,1
SB0085,275,250,10,500|1000|2000|3000|4000,0,1
SB0086,121,110,10,500|1000|2000|3000|4000,0,1
SB0087,121,110,10,500|1000|2000|3000|4000,0,1
SB0088,55,50,10,500|1000|2000|3000|4000,0,1
SB0090,121,110,10,500|1000|2000|3000|4000,0,1
249415,121,110,10,500|1000|2000|3000|4000,0,1
249959,248,225,10,500|1000|2000|3000|4000,0,1
250196,121,110,10,500|1000|2000|3000|4000,0,1
368187,121,110,10,500|1000|2000|3000|4000,0,1
368284,121,110,10,500|1000|2000|3000|4000,0,1
368277,121,110,10,500|1000|2000|3000|4000,0,1
405152,92,83,10,1000|500|2000,0,1
405143,61,55,10,[],0,0
250667,198,180,10,1000|500|250,100,1
250658,220,200,10,1000|500|2000,100,1
405202,143,130,10,1000|500|2000,100,1
250645,165,150,10,1000|500|2000,100,1
250647,66,60,10,[],100,0
277862,49,44,11,[],0,0
357258,61,55,10,[],100,0
250662,132,120,10,1000|500|2000,100,1
250538,138,125,10,1000|500|250,0,1
307012,44,40,10,[],100,0
307011,37,33,11,[],100,0
307009,37,33,11,[],100,0
307010,33,30,10,[],0,0
277865,33,30,10,1000|500|2000,0,1
250631,165,150,10,250|500|1000,100,1
250664,61,55,10,[],100,0
250665,61,55,10,[],0,0
368136,65,49,25,[],100,0
