nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code
0,SB0008,49,SB0008.jpg,Ragi loose,"[""SB0008.jpg"","" "","" "","" "","" "",]",47,43,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,914|927,0
0,SB0010,49,SB0010.jpg,rajma Loose,"[""SB0010.jpg"","" "","" "","" "","" "",]",127,115,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,915|927,0
0,SB0027,49,SB0027.jpg,Rajma Red loose,#REF!,140,127,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,916|927,0
0,SB0007,49,SB0007.jpg,Red Boil Rice loose,"[""SB0007.jpg"","" "","" "","" "","" "",]",62,56,10,1,2,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,2000|5000|10000,1,0,917|12696|301|927,0
0,SB0020,49,SB0020.jpg,Sago Premium loose,"[""SB0020.jpg"","" "","" "","" "","" "",]",112,102,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,918|927,0
0,SB0021,49,SB0021.jpg,Shivaling Toor Dal loose,"[""SB0021.jpg"","" "","" "","" "","" "",]",151,137,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,919|927,0
0,SB0001,49,SB0001.jpg,Sona Masoori Raw Rice loose,"[""SB0001.jpg"","" "","" "","" "","" "",]",67,61,10,1,2,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,2000|5000|10000,1,0,920|12696|301|927,0
0,SB0011,49,SB0011.jpg,Sugar Loose,"[""SB0011.jpg"","" "","" "","" "","" "",]",51,46,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,921|921|927,0
0,SB0019,49,SB0019.jpg,Toor dal Loose,"[""SB0019.jpg"","" "","" "","" "","" "",]",134,122,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,922|927,0
0,SB0028,49,SB0028.jpg,Urad dal loose,"[""SB0028.jpg"","" "","" "","" "","" "",]",138,125,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,923|927,0
0,SB0012,49,SB0012.jpg,Urad dal Whole Regular Loose,"[""SB0012.jpg"","" "","" "","" "","" "",]",158,144,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,924|923|927,0
0,SB0025,49,SB0025.jpg,While Boil Rice,"[""SB0025.jpg"","" "","" "","" "","" "",]",45,41,10,1,2,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,2000|5000|10000,1,0,12696|12696|301|927,0
0,SB0003,49,SB0003.jpg,whole wheat Regualr,"[""SB0003.jpg"","" "","" "","" "","" "",]",43,39,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,926|927,0
