id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations,size,tax_class,tags,hsn_code
78614_Dark Brown,46,78614_Dark Brown.jpg,Leather Land-78614_Dark Brown- Ladies dip dye wash bag,"[""78614_Dark Brown.jpg"",""78614_Dark Brown-1.jpg"",""78614_Dark Brown-2.jpg"",""78614_Dark Brown-3.jpg"",]",3700,2691,27,1,14,118,1,0,0,0,0,0,0,0,0,0,0,0,"Perfect for casual wear or girl-about-town this lightweight sling takes the hassle out of what to do with those everyday essentials. Made from super soft full grain leather it hugs the body and leaves your hands free for your busy lifestyle. It features a stylish whip woven front panel, a secure top zippered opening, a generous full width front zippered pocket and an adjustable leather shoulder strap. It also has an inside zippered pocket along with mobile phone holder, Leather Land signature with nickel hardware",,,20-12-2050,0,0,5,4,1,0,[],0,18,3113|4416|4559|12528,4202
78615_Dark Brown,46,78615_Dark Brown.jpg,Leather Land-78615_Dark Brown- Ladies dip dye wash bag,"[""78615_Dark Brown.jpg"","""","""","""",""""]",5000,3549,29,1,14,118,1,0,0,0,0,0,0,0,0,0,0,0,"Perfect for casual wear or girl-about-town this lightweight sling takes the hassle out of what to do with those everyday essentials. Made from super soft full grain leather it hugs the body and leaves your hands free for your busy lifestyle. It features a stylish whip woven front panel, a secure top zippered opening, a generous full width front zippered pocket and an adjustable leather shoulder strap. It also has an inside zippered pocket along with mobile phone holder, Leather Land signature with nickel hardware",,,20-12-2050,0,0,5,4,1,0,[],0,18,3152|4416|4559|12528,4202
CE7 (0) 09 003,46,CE7-(0)-09-003.jpg,"Samsonite CE7 (0) 09 003 - Spectrolite 2.0 Blhndl14.1""Black","[""CE7-(0)-09-003.jpg"",""CE7 (0) 09 003-1.jpg"",]",8800,7220,18,1,14,122,1,0,0,0,0,0,0,0,0,0,0,0,"<ul>
 	<li>Perfect Fit adaptable laptop compartment for the latest laptops, MacBooks and 2-in-1 devices.</li>
 	<li>Smart Sleeve (with additional hidden pocket on Backpacks for extra security).</li>
 	<li>Exceptional interior organization, with optimized volumes and handy See-Thru mesh pockets.</li>
 	<li>Easy Pass cable management system, allowing cables to pass through different bag compartments, keeping electronic devices charged without taking them out.</li>
</ul>",,,20-12-2050,0,0,5,4,1,0,[],0,18,3821|4387|4600,4202
CE7 (0) 09 004,46,CE7-(0)-09-004.jpg,"Samsonite CE7 (0) 09 004 - Spectrolite 2.0 Blhndl15.6""Black","[""CE7-(0)-09-004.jpg"",""CE7 (0) 09 004-1.jpg"",]",10500,8566,18,1,14,122,1,0,0,0,0,0,0,0,0,0,0,0,"<ul>
 	<li>Perfect Fit adaptable laptop compartment for the latest laptops, MacBooks and 2-in-1 devices.</li>
 	<li>Smart Sleeve (with additional hidden pocket on Backpacks for extra security).</li>
 	<li>Exceptional interior organization, with optimized volumes and handy See-Thru mesh pockets.</li>
 	<li>Easy Pass cable management system, allowing cables to pass through different bag compartments, keeping electronic devices charged without taking them out.</li>
</ul>",,,20-12-2050,0,0,5,4,1,0,[],0,18,3822|4387|4600,4202
DK9 (0) 09 001,46,DK9-(0)-09-001.jpg,Samsonite DK9 (0) 09 001 - Zira Sp 56/20 Exp - Black,"[""DK9-(0)-09-001.jpg"",""DK9 (0) 09 001-1.jpg"",""DK9 (0) 09 001-2.jpg"",""DK9 (0) 09 001-3.jpg"",""DK9 (0) 09 001-4.jpg"",]",9500,7774,18,1,14,71,1,0,0,0,0,0,0,0,0,0,0,0,"<ul><li>Outer Material: Polyester, Casing: Soft, Color: Black</li><li>Water resistant</li><li>Capacity: 37 liters; Weight: 2700 grams; Dimensions: 35 cms x 26 cms x 56 cms (LxWxH)</li><li>Lock Type: TSA Lock, Number of Wheels: 4</li><li>Laptop Compatibility: No</li></ul>",,,20-12-2050,0,0,5,4,1,0,[],0,18,3840|4428|4600,4202
DX7 (0) 09 001,46,DX7-(0)-09-001.jpg,Samsonite DX7 (0) 09 001 -Hartlan Spinner 55 Black,"[""DX7-(0)-09-001.jpg"",""DX7 (0) 09 001-1.jpg"",]",11300,9200,19,1,14,71,1,0,0,0,0,0,0,0,0,0,0,0,"<ul>
 	<li>Outer material: polypropylene, casing: hard, color: black</li>
 	<li>Water resistant, High maneuverability double wheel</li>
 	<li>Capacity: 32 liters; dimensions: 37 cms x 23 cms x 55.5 Cms (lxwxh)</li>
 	<li>Lock type: tsa lock, number of wheels: 4</li>
 	<li>Laptop compatibility: no</li>
</ul>",,,20-12-2050,0,0,5,4,1,0,[],0,18,3839|4428|4600,4202
DY2 (0) 78 001,46,DY2-(0)-78-001.jpg,Samsonite DY2 (0) 78 001 - Astra Spinner 55 Grpht Gry,"[""DY2-(0)-78-001.jpg"",""DY2 (0) 78 001-1.jpg"",""DY2 (0) 78 001-2.jpg"",""DY2 (0) 78 001-3.jpg"",""DY2 (0) 78 001-4.jpg"",]",13000,10546,19,1,14,71,1,0,0,0,0,0,0,0,0,0,0,0,"<ul> <li>Material: Polycarbonate, Casing: Hard, Color: Graphite Grey</li><li>Capacity: 41 liters; Weight: 3145 grams; Dimensions: 35 cms x 29 cms x 55 cms (LxWxH)</li>	<li>Lock Type: TSA Lock, Number of Wheels: 4</li><li>Laptop Compatibility: No</li><li>Warranty type: Manufacturer; 3 years international warranty</li><li>Both-side divider with pockets, further main compartment with cross ribbon to hold belongings properly</li><li>TSA combination lock for security, on top part of luggage for usage convenience</li></ul>",,,20-12-2050,0,0,5,4,1,0,[],0,18,3838|4428|4600,4202
FP8 (0) 09 001,46,FP8009001.jpg,American Tourister FP8 (0) 09 001  Skyline Spinner 55cm -Black,"[""FP8009001.jpg"",""FP80090011.jpg"",""FP80090012.jpg"",""FP80090013.jpg"",""FP80090014.jpg""]",8500,3875,54,1,14,71,1,0,0,0,0,0,0,0,0,0,0,0,"<h1 style=""text-align: center"">American Tourister Trolley</h1>
<p class=""p1"">Buy American Tourister Trolley with great Offers and the best price from <a href=""http://sampurna-bazaar.com""><span class=""s1"">sampurna-bazaar.com</span></a>. Choose from a wide range of comfortable, stylish, trendy, and durable luggage collection of American Tourister.</p>

<ul>
 	<li>Ideal for 2 weeks</li>
 	<li>Extremely strong 100% polypropylene zipped suitcase</li>
 	<li>Super lightweight luggage thanks to innovative design and engineering</li>
 	<li>Fixed-3-digit TSA Lock for added security</li>
 	<li>360 Spinner wheels for smooth rolling comfort</li>
</ul>",,,20-12-2050,0,0,5,4,1,0,[],0,18,2134|4428|4478|4603,4202
FX1 (0) 09 101,46,FX1009101.jpg,American Tourister FX1 (0) 09 101 COLORADO SP 55CM -BLACK,"[""FX1009101.jpg"",""FX10091011.jpg"",""FX10091012.jpg"",""FX10091013.jpg"",""FX10091014.jpg""]",8800,2750,69,1,14,123,1,0,0,0,0,0,0,0,0,0,0,0,Skybags Colorado Polycarbonate 81 cms Blue Hard Sided Suitcase,,,20-12-2050,0,0,5,4,1,0,[],0,18,2187|4428|4479|4603|4457,4202
HB4 (0) 17 001,46,HB4017001.jpg,American Tourister HB4 (0) 17 001 - Akron Laptop Backpack 01 - Sporty Red,"[""HB4017001.jpg"",""HB40170011.jpg"",""HB40170012.jpg"",""HB40170013.jpg"",""HB40170014.jpg""]",2900,1990,31,1,14,117,1,0,0,0,0,0,0,0,0,0,0,0,"<ul>
 	<li>450D Dobby Polyster</li>
 	<li>3 full compartment</li>
 	<li>1 half compartment</li>
 	<li>Rain Hood</li>
 	<li>Lockable security Pullers</li>
 	<li>17inch Laptop Compatible</li>
</ul>",,,20-12-2050,0,0,5,4,1,0,[],0,18,2075|4379|4473|4603,4202
