id,name,status,sub_cate_id
5297,mother dairy,1,32
5298,nandini cheese,1,32
5299,bikaji,1,43
5300,fresh 2 go,1,32
5301,biotique,1,49
5302,cream 21 ,1,49
5303,elovera,1,49
5304,everyuth,1,49
5305,joy pure,1,49
5306,la shield ,1,49
5307,nomarks,1,49
5308,parachute,1,49
5309,ponds,1,49
5310,sebamed,1,49
5311,vlcc,1,49
5312,pooja needs,1,53
5313,party and festive needs,1,53
5314,alfa aluminium ,1,53
5315,cycle,1,53
5316,knock roach,1,53
5317,pooja,1,53
5318,royal napkin,1,53
5319,shivaji,1,53
5320,status,1,53
5321,sugandha,1,53
5322,bat fish,1,57
5323,king fish,1,57
5324,reef cod,1,57
5325,aluminium foil,1,53
5326,camel milk,1,32
5327,bread spread,1,32
5328,pizza garlic,1,32
5329,pizza margherita,1,32
5330,amul safed makkan 500g,1,32
5331,napkin 1ply,1,114
5332,printed tissue napkin,1,114
5333,tissue napkin,1,114
5334,croissant cocoa cream ,1,30
5335,vegitable momo,1,103
5336,rabdi milkshake,1,32
5337,body lotion,1,49
5338,sambrani,1,53
5339,d'lecta mascarpone 400g,1,32
5340,d'lecta milk 200g,1,32
5341,d'lecta topping block 1kg,1,32
5342,lotion protects,1,32
5343,yogurt mango,1,32
5344,yogurt alphonso mango,1,32
5345,yogurt blueberry,1,32
5346,yogurt strawberry,1,32
5347,agarbatti,1,53
5348,malabar paratha,1,32
5349,oats chapati,1,32
5350,facial tissue 2ply,1,49
5351,spray musk fragrance ,1,49
5352,face wash with tulsi turmeric ,1,49
5353,neem skin face wash,1,49
5354,fruit brightening face wash ,1,49
5355,papaya & saffron face wash,1,49
5356,aloe vera gel face wash,1,49
5357,knock roach tablet,1,114
5358,sunscreen gel protect spf,1,49
5359,cold cream 200g,1,49
5360,pineapple cake,1,32
5361,fresh cream medium,1,32
5362,farmers pizza ,1,32
5363,margherita pizza,1,32
5364,malai paneer,1,32
5365,mishti doi,1,32
5366,paneer makhani pizza,1,32
5367,skimmed milk 1l,1,32
5368,milky mist skimmed milk 1l,1,32
5369,modern milk rusk 200g,1,32
5370,modern sunbake rusk 200g,1,32
5371,mother dairy masala chach 200ml,1,32
5372,pasteurized table butter ,1,32
5373,eliminating cooling toner ,1,49
5374,deodorant spray,1,49
5375,ayurvedic antimarks cream ,1,49
5376,nomarks cream,1,49
5377,car face tissue box ,1,114
5378,parle happy happy cakes vannila,1,30
5379,pond's age miracle cream,1,49
5380,pooja gomutra 50ml,1,53
5381,rioba paper cup 100 n,1,114
5382,face care gel 50ml,1,49
5383,face cleansing foam,1,49
5384,shivaji shubham agarbatti,1,53
5385,sambrani cup ,1,53
5386,paper glass 200 ml,1,114
5387,sugandha powder 1pc 15g,1,114
5388,strawberry flavoured milk,1,32
5389,vanilla flavoured milk ,1,32
5390,wingreens basil hummus 150g,1,32
