id,name,status,sub_cate_id
15005,24 mantra dry ginger,1,27
15006,everest dry ginger powder,1,27
15007,fine life dry ginger,1,27
15008,mothers ginger and garlic paste,1,27
15009,smith and jones ginger and garlic paste,1,27
15010,24 mantra organic sambar powder,1,27
15011,aachi sambar powder,1,27
15012,eastern sambar powder,1,27
15013,everest sambar powder,1,27
15014,fine life sambar powder,1,27
15015,mtr sambar powder,1,27
15016,sakthi sambar powder,1,27
15017,sambar powder 100g,1,27
15018,sambar powder 200g,1,27
15019,sambar powder 50g,1,27
15020,sambar powder 500g,1,27
15021,organic sambar powder,1,27
15022,jirige,1,27
15023,organic jeera,1,27
15024,jeera 100g,1,27
15025,jeera 200g,1,27
15026,jeera 500g,1,27
15027,jeera in loose,1,27
15028,cumin powder,1,27
15029,jeera whole,1,27
15030,kala jeera,1,27
15031,organic garam masala,1,27
15032,aachi garam masala,1,27
15033,catch garam masala,1,27
15034,everest garam masala,1,27
15035,fine life garam masala,1,27
15036,keya garam masala,1,27
15037,kohinoor garam masala,1,27
15038,kawality garam masala,1,27
15039,mdh garam masala,1,27
15040,sakthi garam masala,1,27
15041,aachi garam masala 100g,1,27
15042,everest garam masala 100g,1,27
15043,everest garam masala 50g,1,27
15044,fine life garam masala 100g,1,27
15045,keya garam masala 100g,1,27
15046,kohinoor garam masala 50g,1,27
15047,kawality garam masala 100g,1,27
15048,mdh garam masala 100g,1,27
15049,mtr garam masala,1,27
15050,everest garam masala 200g,1,27
15051,mtr garam masala 100g,1,27
15052,garam masala 100g,1,27
15053,garam masala 50g,1,27
15054,garam masala 200g,1,27
15055,tata sampan chicken masala 100g,1,27
15056,achi chicken masala,1,27
15057,catch chicken masala,1,27
15058,eastern chicken masala,1,27
15059,everest chicken masala,1,27
15060,fine life chicken masala,1,27
15061,keya chicken masala,1,27
15062,keya butter chicken masala,1,27
15063,kohinoor chicken tadoori butter masala,1,27
15064,kohinoor punjabi butter chicken  masala,1,27
15065,mdh chicken masala,1,27
15066,sakthi chicken masala,1,27
15067,suhana chicken biriyani,1,27
15068,suhana chicken gravy,1,27
15069,tata sampana chicken masala,1,27
15070,suhana butter chicken,1,27
15071,knoor chicken both powder,1,27
15072,heeng,1,27
15073,ingu,1,27
15074,aachi hing,1,27
15075,aachi hing 50g,1,27
15076,catch hing,1,27
15077,everest hing,1,27
15078,fine life hing,1,27
15079,l.g hing,1,27
15080,l.g hing 50g,1,27
15081,l.g hing 100g,1,27
15082,mtr hing,1,27
15083,mtr hing 50g jar,1,27
15084,svt hing 50g,1,27
15085,hing 50g,1,27
15086,hing 100g,1,27
15087,hing 200g,1,27
15088,hing 25g,1,27
15089,asafoetida 50g,1,27
15090,asafoetida 25g,1,27
15091,asafoetida 100g,1,27
15092,asafoetida 200g,1,27
15093,laung,1,27
15094,organic clove,1,27
15095,cloves in loose,1,27
15096,fine life laung whole,1,27
15097,fine life laung whole 100g,1,27
15098,fine life laung whole 200g,1,27
15099,fine life cloves,1,27
15100,pro nature cloves,1,27
15101,regency clove,1,27
15102,24mantra cloves,1,27
15103,lavanga 100g,1,27
15104,lavanga 50g,1,27
15105,lavanga 200g,1,27
15106,laung 100g,1,27
15107,laung 50g,1,27
15108,laung 200g,1,27
15109,laung in loose,1,27
15110,lavanga in loose,1,27
15111,tata sampan meat masala 100g,1,27
15112,aachi mutton masala,1,27
15113,catch mutton masala,1,27
15114,easten masala,1,27
15115,everest meat masala,1,27
15116,keya meat masala,1,27
15117,kohinoor meat masala,1,27
15118,mdh meat masala,1,27
15119,sakthi meat masala,1,27
15120,tata sampana meat masala,1,27
15121,meat masala 100g,1,27
15122,mutton masala 100g,1,27
15123,meat masala 50g,1,27
15124,mutton masala 50g,1,27
15125,elakki,1,27
15126,ilaayachee,1,27
15127,cardamom 20g,1,27
15128,cardamom 50g,1,27
15129,cardamom 100g,1,27
15130,cardamom in loose,1,27
15131,organic cardamom,1,27
15132,elaichi 20g,1,27
15133,elaichi 50g,1,27
15134,elaichi 100g,1,27
15135,elaichi in loose,1,27
15136,black cardamom,1,27
15137,black elaichi,1,27
15138,elaichi green,1,27
