id,name,sub_cate_id
14628,extra virgin olive oil,140
14629,extra virgin olive oil 1ltr,140
14630,extra virgin olive oil 250ml,140
14631,extra virgin olive oil 500ml,140
14632,extra virgin olive oil 2ltr pet,140
14633,borges extra virgin olive oil,140
14634,figaro extra virgin olive oil,140
14635,saffola extra virgin olive oil ,140
14636,borges extra virgin olive oil 1ltr,140
14637,borges extra virgin olive oil 250ml,140
14638,borges extra virgin olive oil 500ml,140
14639,borges extra virgin olive oil 2ltr,140
14640,figaro extra virgin olive oil 1ltr,140
14641,figaro extra virgin olive oil 250ml,140
14642,saffola extra virgin olive oil 250ml,140
14643,bertolli olive oil,140
14644,bertolli classic olive oil,140
14645,bertolli olive oil 500ml,140
14646,bertolli olive oil 200ml,140
14647,bertolli olive oil 100ml,140
14648,bertolli olive oil 1ltr pet,140
14649,classico olive oil,140
