id,in_stoke
101584,0
106599,0
224591,0
228522,0
255210,0
263781,0
264019,0
271326,0
271327,0
273223,0
276402,0
277140,0
292607,0
292610,0
298290,0
310366,0
314324,0
322772,0
331252,0
335241,0
335808,0
337330,0
339021,0
341487,0
357802,0
357810,0
359360,0
364389,0
374957,0
374958,0
376437,0
379195,0
379196,0
379197,0
381420,0
385576,0
385577,0
385578,0
386222,0
402989,0
402991,0
402992,0
408288,0
408290,0
408291,0
408292,0
409649,0
409815,0
409816,0
409817,0
410300,0
411019,0
413401,0
413402,0
413915,0
418046,0
418048,0
418050,0
419525,0
419528,0
421060,0
424566,0
426712,0
426714,0
426715,0
290719,0
206988,0
223663,0
242596,0
251191,0
255609,0
255848,0
263108,0
264516,0
268011,0
271819,0
271820,0
279818,0
279819,0
279822,0
279824,0
281494,0
282222,0
284078,0
285264,0
285422,0
293260,0
297424,0
300440,0
301278,0
301976,0
302138,0
302140,0
322774,0
324431,0
339011,0
340585,0
340754,0
341425,0
346515,0
352436,0
361344,0
374809,0
374812,0
377844,0
378377,0
381062,0
388302,0
391968,0
392164,0
392744,0
392746,0
392768,0
392826,0
392831,0
393046,0
393282,0
393593,0
399402,0
399514,0
401777,0
401778,0
402108,0
402728,0
402734,0
403594,0
404216,0
409195,0
410815,0
410817,0
410895,0
413461,0
418054,0
418055,0
419436,0
419442,0
420654,0
421193,0
422281,0
422981,0
423947,0
423952,0
426730,0
SB0011,0
