id,name,status,sub_cate_id
17022,glen,1,152
17023,chimney hood,1,152
17024,water heater instant,1,152
17025,water heater with tank,1,152
17026,lpg stove,1,152
17027,air purifier,1,152
17028,stove built in hob,1,152
17029,glen stove built in hob,1,152
17030,electric chimney,1,152
17031,grill and sandwich maker,1,152
17032,sandwich snack maker,1,152
17033,air fryer,1,152
17034,mini chopper,1,152
17035,chimney for kitchen,1,152
17036,chimney for home and kitchen,1,152
17037,dishwasher electronic  control,1,152
17038,kitchen chimney,1,152
17039,chimney italian motor,1,152
17040,kitchen inventory chimney,1,152
17041,glen egg boiler,1,152
17042,glen induction cooker,1,152
17043,glen tea kettle,1,152
17044,glen thermometer,1,107
17045,glen gas stove,1,152
17046,glen microwave,1,152
17047,glen water heater,1,152
17048,water heater 10ltr,1,152
17049,water heater 15tr,1,152
17050,water heater 6ltr,1,152
17051,water heater 25ltr,1,152
17052,glen oven,1,152
17053,glen lpg stove,1,152
17054,glen juice mixer,1,152
17055,glen mixer grinder,1,152
17056,glen induction,1,152
17057,glen electric chimney,1,152
17058,glen electric sandwich maker,1,152
17059,glen air fryer,1,152
