id,brand_id
100968,513
101360,794
101823,812
102932,89
102997,572
106103,429
113710,187
113712,187
118412,175
118417,303
118419,303
118443,87
118967,794
119665,239
142156,132
144395,159
147283,149
150476,371
167781,548
167782,548
179650,548
179651,548
180537,676
182214,63
189099,271
189100,271
189101,271
189103,271
189204,274
189296,149
189311,316
189323,734
189326,734
189785,570
196984,429
202239,316
202242,316
202243,570
202248,570
205184,239
205660,604
207986,445
208578,136
210060,542
212701,316
215130,316
215578,149
216747,316
216809,205
218856,734
222783,811
229140,205
229144,603
229148,604
235214,274
236283,274
236284,274
237445,400
237461,498
237467,498
239335,794
241132,159
243080,274
246700,542
247115,205
248215,572
250520,477
250771,586
251218,443
251220,441
251224,443
251235,443
251249,441
251251,443
251259,443
252847,159
252868,159
252874,159
252876,271
253535,187
254688,445
254690,445
255207,542
255208,542
255215,785
255243,148
255611,175
255874,785
256002,734
256165,734
258133,463
258357,60
258358,60
258359,60
258583,542
258584,542
258879,274
259244,246
259705,572
259706,572
260405,866
260634,443
260637,443
260641,443
260642,443
260650,303
260653,303
260654,175
260873,159
260874,159
261502,604
262814,395
262815,395
262971,205
262978,205
263108,542
263109,542
263112,542
263113,542
263114,542
263492,811
263493,811
263494,274
263663,811
263675,787
263687,286
263696,794
263698,175
263699,187
263708,676
263710,175
263719,233
263724,175
263732,542
263745,542
263758,708
263764,708
263772,271
263775,303
263777,233
263779,233
263781,233
263789,542
263799,542
263841,286
263850,794
263852,498
263856,676
263859,286
263862,175
263869,175
263870,175
263871,175
263872,542
263875,542
263878,572
263880,572
263884,572
263896,303
263910,522
263919,159
263920,159
263921,159
263923,865
263924,865
263925,159
263926,274
263930,159
263931,132
263935,572
263936,159
263954,159
263957,274
263967,187
263970,187
263980,787
263986,144
263993,144
263999,144
264001,811
264024,522
264105,720
264111,274
264661,572
264747,187
264764,787
264996,175
265114,175
265238,477
265242,239
265243,708
265244,708
265246,477
265247,13
265273,548
265280,274
265349,326
265355,271
265439,132
265453,676
265511,542
265665,89
265673,89
265771,159
266628,149
266631,149
266638,53
266639,151
266642,53
266644,205
266651,205
266655,151
266657,53
266658,148
266659,239
266663,239
266664,205
266667,205
266672,205
266673,149
266687,149
266690,205
266692,205
266693,205
266694,307
266695,149
266698,205
266700,148
266706,205
266796,429
266800,586
266817,434
266820,604
266829,734
266830,734
266836,785
266840,734
266841,785
266854,603
266857,604
266859,604
266879,603
266886,734
266893,412
266917,734
267016,811
267037,175
267084,542
267366,239
267737,175
267748,175
267755,175
267757,175
267845,316
267846,316
267847,570
267856,669
267873,316
267876,316
267924,676
267938,445
267944,445
267963,316
267964,316
267978,570
268464,159
269380,572
270068,829
271341,175
271582,251
271649,175
272096,553
272097,553
272106,553
272107,553
272262,822
272263,822
272265,822
272267,822
272271,822
272606,785
272702,604
272869,542
272880,542
272883,542
272989,708
273811,676
274171,662
274173,662
274344,787
274346,271
274350,443
274353,443
274408,445
274437,132
274521,246
274523,246
274580,435
274586,435
274604,435
275438,794
275439,794
275814,445
275815,445
275816,445
275922,368
275927,368
275929,368
276122,572
276123,572
276626,82
276725,409
276727,409
276728,346
276729,410
276730,409
276958,447
276959,447
277072,435
277073,435
277088,604
277094,239
277102,720
277117,281
277119,441
278328,271
278332,271
278340,570
278990,159
280839,720
280840,542
280949,271
280953,271
281038,159
281039,175
281175,498
281176,498
281185,412
281186,542
281435,53
281465,412
281485,604
281494,785
282600,475
282605,475
283518,785
283535,412
283544,412
283554,412
283555,412
283567,412
283706,286
283708,286
284413,645
285181,236
285243,53
285264,236
285409,793
285410,793
285412,793
285420,239
285422,603
285609,822
285613,822
285617,239
285621,785
285680,676
285681,159
286135,603
286269,570
286270,570
286271,570
286536,829
286701,676
286710,239
286711,785
286713,239
286715,239
286730,412
286731,604
286734,604
286739,785
286741,785
286775,445
287553,550
287579,175
287989,60
288785,548
288789,548
289080,676
289082,89
289520,205
289526,205
289528,205
290384,239
290485,577
290495,577
290497,577
290501,577
290503,577
290507,577
290593,136
292061,412
292093,412
292129,736
292168,736
292361,720
292626,175
293034,445
293035,445
293399,136
293401,412
293402,412
293407,412
293423,412
294729,175
294746,175
294759,175
294895,542
294896,542
294897,542
295516,280
295802,592
295812,811
295813,811
295873,443
295874,443
295875,443
295926,241
297063,542
297071,542
297155,469
297948,542
297997,542
298311,822
299410,522
299669,187
299671,720
299714,445
299715,147
299719,412
299904,371
300010,445
300219,647
300223,647
300230,647
300288,542
301320,159
301673,271
301678,271
302581,412
303409,720
303412,720
303531,13
303767,676
304377,144
304493,447
304822,412
304853,412
304902,498
304919,412
305018,542
305027,542
305030,542
305227,274
305325,82
305370,604
305538,286
306096,592
306125,603
306126,603
306128,151
306136,586
306142,447
306148,307
306151,447
306161,205
306164,592
306166,151
306171,447
306172,649
306173,447
306175,586
306184,434
306185,447
306189,586
306191,649
306210,476
306231,437
306234,437
306236,437
306237,687
306240,687
306242,687
306316,159
306437,477
307077,604
307094,586
307102,239
307118,429
307121,412
307127,447
307130,785
307150,604
307158,542
307292,604
307293,603
307296,604
307317,592
307359,773
307365,773
307366,773
307367,773
307369,773
307371,773
307372,773
307395,802
307397,802
307407,132
307413,802
307414,802
307460,147
307463,147
307468,147
307469,147
307573,577
307606,205
307902,274
307905,274
307906,274
307907,274
307908,274
307912,274
307939,572
307943,572
307945,572
307949,572
307950,542
307953,542
307957,542
307960,542
308010,802
308026,802
308029,802
308106,802
308131,325
308159,325
308161,325
308163,325
308164,325
308165,325
308166,325
308167,325
308169,325
308178,325
308179,325
308181,325
308183,325
308184,325
308190,325
308191,325
309822,325
309927,412
310185,306
310683,144
310720,144
310721,144
310859,46
311080,187
311102,187
311103,187
311105,187
311119,187
312159,147
312650,811
312679,175
312687,205
312747,144
313621,159
313624,159
313782,676
313792,159
313793,159
313795,159
314352,785
314355,785
314930,239
314931,542
315088,513
315089,611
315091,513
315203,477
315208,477
315209,477
315211,477
315216,477
315217,477
315247,553
315249,553
315250,553
315398,829
315431,98
315438,98
315452,98
316284,205
317941,445
318025,255
318036,577
318699,325
318822,159
319262,233
319263,233
319335,697
319336,697
319340,697
319362,443
319492,686
319969,255
319985,255
320311,159
320312,159
320313,159
320314,159
320315,159
320350,542
320353,542
320904,604
320915,604
320987,412
321357,132
321458,343
321503,802
321504,802
321686,159
321687,159
321735,429
321758,286
321759,286
321760,286
321761,286
323957,363
324304,702
325272,802
325298,644
325393,604
325394,553
325395,604
325396,553
325403,773
325406,553
325414,226
325415,226
325416,226
325417,226
325418,226
325419,226
325552,785
325554,89
325558,87
325561,89
325572,89
326107,274
326108,274
326109,274
326115,274
326116,274
326122,274
326128,274
326129,274
326139,274
326577,773
326585,773
326586,773
326589,773
326672,205
327217,811
327412,256
327414,256
327752,255
327757,255
327758,159
327775,802
328201,412
328440,736
328969,325
328988,325
328995,325
328996,325
329043,325
329045,325
329380,787
329518,159
329988,704
330713,477
330761,737
330941,274
331364,271
331365,271
331381,271
331412,395
331463,443
331464,443
331528,365
331530,365
331532,365
331924,256
331925,256
331927,256
331928,256
331929,256
331930,256
332416,87
332417,477
333093,542
333094,542
333544,802
333642,443
333643,443
333666,443
333667,443
333885,577
333887,577
333889,577
333890,577
333900,542
334443,476
334571,365
334654,676
335031,325
335217,498
335504,570
335568,159
335569,159
336007,811
336102,412
336130,274
336211,187
336225,64
336823,604
337237,577
337625,53
337627,53
337830,30
338158,159
338536,720
338635,445
338641,445
339092,226
339504,676
340126,802
340534,736
340592,274
341481,274
341931,802
342039,559
342095,256
342098,256
342100,256
342101,256
342104,256
342105,256
342109,256
342654,325
342659,498
342663,325
342666,325
342670,325
342677,697
342684,697
342698,159
343177,53
343422,476
343423,476
343530,82
343531,82
343532,82
344518,445
344519,445
344520,445
344521,445
344532,584
344711,612
344753,480
345202,802
345204,802
345205,802
345206,802
345343,239
345349,239
345574,175
345591,226
345596,226
345597,226
345598,226
345879,271
345884,64
345990,326
346417,271
346469,147
346471,147
346542,554
346544,554
347767,443
347768,443
348068,584
348070,584
348076,704
348080,584
348084,704
348091,584
348132,584
349782,723
349860,343
349869,343
350637,256
350640,256
350642,256
350644,256
350683,136
350691,136
350767,64
351031,286
351035,286
351039,286
351130,577
351131,577
351590,802
351591,802
351703,159
351746,542
351748,542
351782,811
352681,572
352682,572
352817,205
352826,205
353021,477
353191,720
