id,name,original_price,sell_price,variations_types,stocks,size
250645,Lettuce - Green,303,275,1000|500|2000,0,
250665,Zucchini - Yellow,209,190,1000|500|2000,0,1
250569,Bottle Gourd Per Piece  (each),79,71,[],0,0
