id,brand_id
10000,615
10003,615
10007,615
10013,615
10016,615
10020,615
10024,615
10025,615
10027,615
10030,615
10033,615
10035,615
10037,615
10038,615
10200,615
10201,615
10203,615
10204,615
10206,615
10207,615
10209,615
10211,615
10212,615
10213,615
10275,615
10276,615
10707,615
10709,615
10717,615
10725,615
10726,615
10728,615
10733,615
10734,615
10755,615
10756,615
10757,615
10760,615
10902,615
11052,615
11545,615
11566,615
11567,615
11568,615
11569,615
11603,615
11604,615
11605,615
11607,615
11651,615
11652,615
11653,615
11654,615
11655,615
11656,615
11657,615
11730,615
12000,615
12001,615
12105,615
1404,692
1409,692
1410,692
1415,692
1417,692
1418,692
1501,692
1502,692
1503,692
1504,692
1505,692
1506,692
1507,692
1508,692
1509,692
1510,692
1513,692
1514,692
1710,692
1715,692
1723,692
1727,692
1728,692
1729,692
20021,615
20223,615
20224,615
20225,615
20229,615
20230,615
20231,615
20232,615
20235,615
20236,615
20238,615
20239,615
20240,615
20242,615
20247,615
20248,615
20249,615
20250,615
20251,615
20254,615
20307,615
20327,615
20330,615
20355,615
20357,615
20359,615
20360,615
20375,615
20429,615
20454,615
20457,615
20459,615
20504,615
20513,615
20551,615
20552,615
20601,615
20651,615
20652,615
20653,615
20654,615
2100096342,755
2100096348,755
2100096353,755
2100102552,755
216,692
242,692
244,692
2451,692
2452,692
2459,692
25654,615
271,692
29124,615
30495,615
30496,615
30601,615
30602,615
30603,615
30604,615
30609,615
30610,615
30709,615
30710,615
30711,615
30712,615
30713,615
30714,615
30715,615
30716,615
30720,615
30725,615
30726,615
30727,615
30728,615
30729,615
30730,615
30731,615
30732,615
30733,615
30734,615
30735,615
30739,615
30747,615
30837,615
30843,615
30844,615
30845,615
30880,615
30894,615
30956,615
30967,615
30968,615
3401,692
3405,692
3408,692
3410,692
3412,692
3436,648
3451,692
3501,692
3502,692
35035,615
35036,615
35037,615
35038,615
35039,615
3504,692
35044,615
35045,615
3505,692
3506,692
3507,692
3510,692
3511,692
35118,615
3512,692
3513,692
36022,615
36023,615
36024,615
36301,615
36302,615
36304,615
36305,615
36307,615
36308,615
36310,615
36311,615
36314,615
36316,615
36318,615
36331,615
36406,615
36407,615
36501,615
36502,615
36503,615
36717,615
36718,615
36720,615
36722,615
36725,615
36728,615
36753,615
36758,615
36775,615
36777,615
36778,615
36779,615
36788,615
36789,615
36800,615
36802,615
36804,615
36805,615
36806,615
36807,615
36818,615
36819,615
36820,615
36821,615
36822,615
36824,615
36825,615
36826,615
3701,692
3702,692
3703,692
37067,615
37068,615
40000,615
40003,615
40053,615
40054,615
40066,615
40068,615
40073,615
40077,615
40078,615
40081,615
40082,615
40088,615
40089,615
40090,615
40091,615
40150,615
40158,615
40166,615
40170,615
40173,615
40177,615
40184,615
40185,615
40186,615
40187,615
402,692
40205,615
40211,615
40257,615
40271,615
40274,615
40278,615
40287,615
40289,615
40355,615
40356,615
40358,615
403710526N,782
404700003001U,782
404700203001U,782
404700204001U,782
404700402001U,782
404700403001U,782
41011,615
41012,615
41015,615
41030,615
41033,615
41038,615
41043,615
41107,615
41108,615
41110,615
41115,615
41116,615
412,692
41266,615
41268,615
41269,615
41271,615
41279,615
41281,615
41282,615
41286,615
413,692
41467,615
41468,615
41496,615
41573,615
41575,615
41576,615
41584,615
41587,615
41588,615
41593,615
41596,615
416,692
41704,615
41705,615
41714,615
41752,615
41760,615
41764,615
41765,615
41766,615
419,692
422,692
42202,615
42205,615
42214,615
42218,615
42275,615
42613,615
42783,615
42803,615
43024,615
43038,615
43047,615
4403,692
4405,692
4406,692
4407,692
4408,692
4409,692
4410,692
4411,692
4412,692
501,692
502,692
505,692
509,692
516,692
517,692
521,692
525,692
529,692
534,692
536,692
550,692
551,692
558,692
559,692
560,692
569,692
571,692
6,692
603,692
60478,615
605,692
703,692
710,692
711,692
712,692
715,692
717,692
719,692
723,692
725,692
729,692
737,692
738,692
740,692
741,692
743,692
744,692
801,692
804,692
817,692
902,692
916,692
99506,615
99530,615
99531,615
99532,615
99533,615
AA-2074,401
AP12WL,538
BEL550MS0I,99
BG-1001B,76
BG-1002B,76
BG-1003B,76
BG-1089B,76
BG-1092B,76
BG-1093B,76
BG-1095B,76
BG-1096B,76
BG-1097B,76
BG-193,76
BG-194,76
BG-197,76
BG-20501,76
BG-31030,76
BG-31031,76
BG-31032,76
BG-31033,76
BG-31034,76
BG-31035,76
BG-31036,76
BG-31140,76
BG-31141,76
BG-31142,76
BG-31149,76
BG-31150,76
BG-31151,76
BG-31153,76
BG-31154,76
BG-31157,76
BG-31158,76
BG-31159,76
BG-31161,76
BG-31162,76
BG-31165,76
BG-31166,76
BG-31167,76
BG-31168,76
BG-31170,76
BG-31171,76
BG-31172,76
BG-31173,76
BG-31247,76
BG-31248,76
BG-31249,76
BG-31250,76
BG-31251,76
BG-31253,76
BG-31254,76
BG-31260,76
BG-31262,76
BG-31263,76
BG-31264,76
BG-31266,76
BG-31269,76
BG-31272,76
BG-31277,76
BG-3200,76
BG-34102,76
BG-5028,76
BG-6328,76
BG-6331,76
BG-6334,76
BG-6347,76
BG-6349,76
BG-7099,76
BG-9947,76
BG-9948,76
BG-9949,76
BG-9955,76
BG-9956,76
BG-9958,76
BG-9959,76
BG-9960,76
BTF-001,114
BTF-002,114
BTF-003,114
BTF-004,114
BTF-005,114
BTF-006,114
BTF-007,114
BTF-008,114
BTF-009,114
BTF-010,114
BTF-011,114
BTF-012,114
BTF-013,114
BTF-014,114
BTF-015,114
BTF-016,114
BTF-017,114
BTF-018,114
BTF-019,114
BTF-020,114
BTF-021,114
BTF-022,114
BTF-023,114
BTF-024,114
BTF-025,114
BTF-026,114
BTF-027,114
BTF-028,114
BTF-029,114
BTF-030,114
BTF-031,114
BTF-032,114
BTF-033,114
BTF-034,114
BTF-035,114
CY6240,13
DIB098G50I,99
DIG098G50I,99
DWB068D50I,99
DWB068G50I,99
DWB068G60I,99
DWB098D50I,99
DWB098G50I,99
DWB098G60I,99
DWB65BC50I,99
DWB95BC50I,99
DWB97FM50I,99
DWG068D50I,99
DWG068D60I,99
DWG098D50I,99
DWG098D60I,99
DWH068D60I,99
DWH098D60I,99
DWK065G60I,99
DWK068G60I,99
DWK098G60I,99
HBA574BR0Z,99
HBF010BR0Z,99
HBF113BR0Z,99
HMT75M551I,99
KRMPL18W2SCJJ,377
KRMPR18W2SCJJ,377
PGN004,595
PGN005,595
PGN007,595
PGN009,595
PGN010,595
PGN011,595
PGN014,595
PGN015,595
PGN016,595
PGN019,595
PGN020,595
PGN023,595
PGN027,595
PGN028,595
PGN030,595
PGN034,595
PGN041,595
PGN042,595
PGN057,595
PGN059,595
PGN061,595
PGN075,595
PGN076,595
PGN079,595
PGN095,595
PGN097,595
PGN112,595
PGN120,595
PGN121,595
PIG107,595
PIG108,595
PIG116,595
PIG117,595
PIG12043,595
PIG12203,595
PIG12294,595
PIG12420,595
PIG12613,595
PIG12687,595
PIG14039,595
PIG14041,595
PIG164,595
PIG248,595
PIG273,595
PIG316,595
PIG737,595
PK-1000C,744
S96920,13
WAT044,692
WAT051,692
WEL004,806
WEL007,806
WEL013,806
WEL016,806
WEL018,806
