id,name,status,sub_cate_id
5743,4700 bc gourment,5,43
5744,bingo,5,43
5745,doritos,5,43
5746,makino,5,43
5747,mr makhana,5,43
5748,tong garden,5,43
5749,too yumm,5,43
5750,top garden,5,43
5751,woot,5,43
5752,lijat,5,43
5753,iyer's,5,43
5754,shareat,5,101
5755,budweiser,5,43
5756,fizzinga,5,43
5757,glaceau,5,43
5758,himalayan,5,43
5759,jus coco,4,37
5760,monster,4,35
5761,nature's,4,37
5762,raw pressery,4,35
5763,storia,4,34
5764,paper boat ,4,35
