id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations,size,,
244999,49,244999.jpg,"Nandini GoodLife Toned Milk, 500 ml Carton (Pack of 20)","[""244999.jpg"",""244999-1.jpg"",""244999-2.jpg"",""244999-3.jpg"",""244999-4.jpg"",]",500,500,0,1,3,32,0,0,0,0,0,0,0,0,0,0,1,500,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Hygenic and rich in protein</span></li>
 	<li><span class=""a-list-item"">No need to boil</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
228528,49,228528.jpg,"Amul Amulya Dairy Whitener Refill, 200g","[""228528.jpg"",""228528-1.jpg"",""228528-2.jpg"",""228528-3.jpg"",""228528-4.jpg"",]",85,85,0,1,3,32,0,0,1,200,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Product of Amul</span></li>
 	<li><span class=""a-list-item"">Country of Origin: India</span></li>
</ul>",,,,0,1,0,0,1,0,,0,5,
266070,49,266070.jpg,"Nestle Milk maid Sweetened Condensed Milk, 400g Tin","[""266070.jpg"",""266070-1.jpg"",""266070-2.jpg"",""266070-3.jpg"",""266070-4.jpg"",]",125,125,0,1,3,32,0,0,1,400,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Sweetened condensed milk</span></li>
 	<li><span class=""a-list-item"">Can be used to make sweets</span></li>
 	<li><span class=""a-list-item"">Outer Package May Vary</span></li>
 	<li><span class=""a-list-item"">Country of Origin: India</span></li>
</ul>",,,,0,1,0,0,1,0,,0,12,
400081,49,400081.jpg,"Nandini GoodLife Toned Milk, 500 ml Carton","[""400081.jpg"",""400081-1.jpg"",""400081-2.jpg"",""400081-3.jpg"",""400081-4.jpg"",]",27,27,0,1,3,32,0,0,0,0,0,0,0,0,0,0,1,1,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Hygenic and rich in protein</span></li>
 	<li><span class=""a-list-item"">No need to boil</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
400546,49,400546.jpg,"Britannia Roll Yo Swiss Roll Cake - Strawberry, 30g","[""400546.jpg"",""400546-1.jpg"",""400546-2.jpg"",""400546-3.jpg"",""400546-4.jpg"",]",10,10,0,1,3,30,0,0,1,30,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Britannia is India’s leading food company</span></li>
 	<li><span class=""a-list-item"">Rich and delightful</span></li>
 	<li><span class=""a-list-item"">Cake is very soft, fluffy and juicy</span></li>
</ul>",,,,0,1,0,0,1,0,,0,18,
306926,49,306926.jpg,"Amul Taaza Homogenised Toned Milk, 1L Tetra Pack","[""306926.jpg"",""306926-1.jpg"",""306926-2.jpg"",""306926-3.jpg"",""306926-4.jpg"",]",64,64,0,1,3,32,0,0,0,0,0,0,0,0,1,1,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">No need to boil</span></li>
 	<li><span class=""a-list-item"">Cut open and drink</span></li>
 	<li><span class=""a-list-item"">No need to refrigerate till open</span></li>
 	<li><span class=""a-list-item"">Stays fresh for 2 days after opening if kept in refrigerator</span></li>
 	<li><span class=""a-list-item"">No powder or water added</span></li>
 	<li><span class=""a-list-item"">No preservative or chemical</span></li>
 	<li><span class=""a-list-item"">Easy to carry and use while traveling</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
392733,49,392733.jpg,"Bagrrys Choco with 3 Great Grains, 1200g","[""392733.jpg"",""392733-1.jpg"",""392733-2.jpg"",""392733-3.jpg"",""392733-4.jpg"",]",470,470,0,1,3,30,0,0,0,0,1,1.2,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">0 percent maida</span></li>
 	<li><span class=""a-list-item"">3 great grains (whole wheat, oats and rice)</span></li>
 	<li><span class=""a-list-item"">No artificial ingredients</span></li>
 	<li><span class=""a-list-item"">Perfect wholegrain first meal of the day</span></li>
 	<li><span class=""a-list-item"">Country of Origin: India</span></li>
</ul>",,,,0,1,0,0,1,0,,0,18,
291946,49,291946.jpg,"Nestle a+ Nourish Toned Milk,  Tetra Pack 1L","[""291946.jpg"",""291946-1.jpg"",""291946-2.jpg"",""291946-3.jpg"",""291946-4.jpg"",]",83,83,0,1,3,32,0,0,0,0,0,0,0,0,1,1,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Nestlé a+ Nourish Milk comes with the goodness of Calcium and Protein</span></li>
 	<li><span class=""a-list-item"">Undergoes 61 stringent quality checks to ensure high quality milk for your family. Undergoes unique flash heat treatment to preserve nutrients</span></li>
 	<li><span class=""a-list-item"">Toned Milk Fortified with Vitamin A&amp;D. Maximum Shelf Life 6 Months</span></li>
 	<li><span class=""a-list-item"">UHT treated toned milk, contains no added preservatives</span></li>
 	<li><span class=""a-list-item"">Can be consumed directly from the carton, no boiling required</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
380232,49,380232.jpg,Britannia TreatKool Vanilla60 g Pouch (pack of 12),"[""380232.jpg"",""380232-1.jpg"",""380232-2.jpg"",""380232-3.jpg"",""380232-4.jpg"",]",120,120,0,1,3,30,0,0,1,60,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Amazing taste and flavor</span></li>
 	<li><span class=""a-list-item"">Crispy biscuit</span></li>
 	<li><span class=""a-list-item"">Soft cream that attracts kids</span></li>
</ul>",,,,0,1,0,0,1,0,,0,18,
380233,49,380233.jpg,"Parle- G Gold, 500g","[""380233.jpg"",""380233-1.jpg"",""380233-2.jpg"",""380233-3.jpg"",""380233-4.jpg"",]",60,60,0,1,5,38,0,0,1,500,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Filled with goodness of wheat and milk</span></li>
 	<li><span class=""a-list-item"">Parle glucose gold</span></li>
 	<li><span class=""a-list-item"">Energy biscuits</span></li>
 	<li><span class=""a-list-item"">Block chocolate</span></li>
 	<li><span class=""a-list-item"">Organic dark chocolate</span></li>
 	<li><span class=""a-list-item"">Country of Origin: India</span></li>
</ul>",,,,0,1,0,0,1,0,,0,18,
