nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code
0,106220,49,106220.jpg,Fresh Mackerel Large Fish,"[""106220.jpg"",""106220-1.jpg"",""106220-2.jpg"",""106220-3.jpg"","" "",]",652,449,32,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"Mackerel is a nutritious fish for everybody. It has high levels of essential fatty acids, which improve endurance and aid recovery after exercise, while helping to maintain beautiful skin",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6076|11965|11970,0
0,106224,49,106224.jpg,Fresh White Pomfret-Medium,"[""106224.jpg"",""106224-1.jpg"",""106224-2.jpg"",""106224-3.jpg"","" "",]",1726,1190,32,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"It is a great source of calcium, vitamins A and D, and B vitamins, including Vitamin B12, vital for the nervous system. It also offers iodine, critical for the thyroid gland. A useful brain food, the pomfret is good for eyesight and healthy hair and skin.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6077|11965|11974,0
0,106227,49,106227.jpg,Fresh Black Pomfret-Medium,"[""106227.jpg"",""106227-1.jpg"",""106227-2.jpg"",""106227-3.jpg"","" "",]",1146,790,32,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"It is a great source of calcium, vitamins A and D, and B vitamins, including Vitamin B12, vital for the nervous system. It also offers iodine, critical for the thyroid gland. A useful brain food, the pomfret is good for eyesight and healthy hair and skin.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6078|11965|11966,0
0,106244,49,106244.jpg,Fresh Indian Salmon Large Fish,"[""106244.jpg"",""106244-1.jpg"",""106244-2.jpg"",""106244-3.jpg"","" "",]",1159,799,32,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"The protein found in Indian salmon or Rawas helps the body maintain a healthy metabolism which promotes weight loss. A 100 gm fillet or serving of salmon contains 22-26 grams of protein. Rich in omega 3 and 6 fatty acids, it may contain contaminants like PCBs. So do not have it more than 170 grams in a week.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6079|11965|11968,0
0,106271,49,106271.jpg,Pink Perch Fresh,"[""106271.jpg"",""106271-1.jpg"",""106271-2.jpg"",""106271-3.jpg"","" "",]",492,339,32,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"The Perch is cooked when its meat turns opaque but is still moist on the inside. Being a lighter food, it is tender and rich in DHA which is the highest in any freshwater fish. Quite naturally, it is healthy and nourishing for the brain. Besides, it contains high-quality protein but has low fat contents.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6080|11965|11976,0
0,106367,49,106367.jpg,Fresh White Prwans-Medium,"[""106367.jpg"",""106367-1.jpg"",""106367-2.jpg"",""106367-3.jpg"","" "",]",623,429,32,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"Prawns are a rich source of selenium, one of the most effective antioxidants at maintaining healthy cells. They also contain high levels of Zinc, which is important to develop a healthy immune system. Eating prawns helps build strong bones because they contain phosphorous, copper and magnesium.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6081|11965|11975,0
0,107443,49,107443.jpg,Fresh Catla Fish,"[""107443.jpg"",""107443-1.jpg"",""107443-2.jpg"",""107443-3.jpg"","" "",]",350,300,15,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"Widely found in the lakes and rivers of North India and Assam, Katla fish is enriched with proteins and vitamins. It is low in calories and a healthy option for weight watchers.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,6085|11965|11967,0
0,107449,49,107449.jpg,Fresh Large Rohu,"[""107449.jpg"",""107449-1.jpg"",""107449-2.jpg"",""107449-3.jpg"","" "",]",260,179,32,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"Rohu is enriched with a handsome amount of protein. Packed with Omega 3 fatty acids and vitamins A, B, and C. You should eat Rohu at least once a week.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6086|11965|11969,0
0,107558,49,107558.jpg,Fresh Tilapia Fish,"[""107558.jpg"",""107558-1.jpg"",""107558-2.jpg"",""107558-3.jpg"","" "",]",415,286,32,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"In 3.5 ounces (100 grams), it packs 26 grams of protein and only 128 calories (3). Even more impressive is the amount of vitamins and minerals in this fish. Tilapia is rich in niacin, vitamin B12, phosphorus, selenium and potassium.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,6087|11965|11973,0
0,134262,49,134262.jpg,Fresh Seer fish-Small,"[""134262.jpg"",""134262-1.jpg"",""134262-2.jpg"",""134262-3.jpg"","" "",]",1449,999,32,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"Seerfish has rich source of omega-3 fatty acids. It also contains protein, vitamin B-12 and selenium. The omega-3 fatty acids helps in regulating inflammation to supporting the structure and function of cells, and also known for their potential to lower your risk of cardiovascular disease.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6134|11965|11972,0
0,246792,49,246792.jpg,Fresh Roopchand Fish,"[""246792.jpg"",""246792-1.jpg"",""246792-2.jpg"",""246792-3.jpg"","" "",]",289,199,32,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"This roopchand fish is rich in protein and omega acid which is most essential nutrition value for healthy life style. The fresh water fish, roopchand, is also known as red pacu. It is quite healthy for the body.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6489|11965|11971,0
