id,store_id
PUP-WCSET,46
PUP-LEDWC-34WH,46
PUP-WTA-SIL,46
PUP-WTA-BLK,46
FB-4IN1-12GRY,46
PUP-CNL-30BK,46
PUP-NT3N1-15BK,46
PUP-12CM3IN1-BK,46
PUP-RBKY-12BK,46
PUP-MUC-15BK,46
FB-FTCTL-12BKRED,46
FB-FLC-15BK,46
PUP-USBHC4N1,46
PUP-USBHC5N1,46
PUP-USBHC8N1,46
PUP-USBHC9N1,46
PUP-USBHC,46
PUP-USBHCC,46
PUP-4N1WCS,46
PUP-WLCF15W,46
PUP-3C10K-BLK,46
PUP-3C10K-WHT,46
PUP-SPB-10K-WHT,46
PUP-PB78-DOG,46
PUP-PB78-CHAPLIN,46
PUP-PMMPB10K-BLK,46
PUP-PMMPB10K-RED,46
PUP-PMMPB10K-BLU,46
PUP-PMPB10K,46
PUP-MPB5K-GMT,46
PUP-MPB10K-GMT,46
PUP-MPB10K-SIL,46
PUP-PB10KGRY,46
PUP-PB10KGRN,46
PUP-PB6KGRY,46
FB-FLC-15BKRED,46
FB-BEP-12BLK,46
FB-BEP-12WHT,46
FB-FTCC-15BK,46
FB-FTCC-15BKRED,46
FB-RLC-15BK,46
FB-RLC-15BL,46
FB-RTCC-15BK,46
FB-RTCC-15BL,46
GR-CP-IPTGST102,46
GR-CP-IPTGST109,46
GR-CP-IPTGST11,46
GR-CS-13CLWC,46
GR-CS-13CL20WWC,46
GR-CS-13CLTG20W,46
GR-CROC13-BLK,46
GR-CROC13-BRN,46
GR-CROC13-CML,46
GR-CROC13-GRN,46
GR-CROCF13-BLK,46
GR-CROCF13-BRN,46
GR-CROCF13-CML,46
GR-CROCF13-GRN,46
GR-BLT13-BLK,46
GR-BLT13-BLU,46
GR-BLT13-GRN,46
GR-BLT13-CYAN,46
GR-BLT13-RED,46
GR-GRA13-CML,46
GR-GRA13-BKCML,46
GR-GRA13-BLUCML,46
GR-LEC13-BLK,46
GR-LEC13-GRY,46
GR-LEC13-BLU,46
GR-HUG13-BLK,46
GR-RBN13-BLK,46
GR-RBN13-GRY,46
GR-RBN15-BLK,46
GR-CAVLR16-BLACK,46
GR-URB15-CML,46
GR-MB13CSS-GRY,46
GR-MB13CSS-BLU,46
GR-MB13CSS-GRN,46
GR-CS-13CL20W,46
GR-CS-13CLMS,46
GR-CS-13DFTG20W,46
GR-CS-13SCLWC,46
GR-CS-13SCLTR,46
GR-CS-13CLTR,46
GR-CS-13PCLTR,46
GR-CS-13SCL20WWC,46
GR-CS-13SCLTG20W,46
GR-CS-13SCLMS,46
GR-CS-13SCL20W,46
GR-CS-13PCLWC,46
GR-CS-13PCL20WWC,46
GR-CS-13PCLTG20W,46
GR-CS-13PCL20W,46
GR-CS-13PCLMS,46
GR-CS-13PDFTG20W,46
GR-CS-13PMCLWC,46
GR-CS-13PMCLTR,46
GR-CS-13PMCL20WWC,46
CP-20W11TG3D,46
PUP-CS-20WWC,46
GR-CS-13PMCLTG20W,46
GR-CS-13PMCL20W,46
GR-CS-13PMCLMS,46
GR-CS-13PMDFTG20W,46
GR-CP-IP13SCLTG,46
GR-CP-IP13CLTG,46
GR-CP-IP13PCLTG,46
GR-CP-IP13PMCLTG,46
GR-CP-IPD102TG,46
GR-MMS-BLK,46
GR-CP-IPD11TG,46
GR-MMS-WHT,46
GR-CP-IP11CLTG,46
GR-IPST-WHT,46
PUP-12MAC,46
PUP-CS-20WMSBLK,46
GR-CP-IPD109TG,46
PUP-CS-20WMSWHT,46
PUP-CS-20W4IN1,46
PUP-HDMI-20BK,46
PUP-HDMI-30BK,46
GR-CS-12PCLTG20W,46
