id,original_price,sell_price,variations_types,stocks
250174,176,160,1000|500|2000,0
350486,83,75,[],0
249889,198,180,1000|500|2000,0
403952,280,260,[],0
250645,242,220,1000|500|2000,0
250662,143,130,1000|500|2000,0
250665,164,149,1000|500|2000,0
250635,384,349,1000|500|2000,0
250660,275,250,1000|500|2000,0
SB0070,20,18,[],0
250561,33,30,1000|500,0
250930,44,40,1000|500|2000,0
250609,55,50,1000|500|2000,0
