id,original_price,sell_price,discount
01O (0) 09 001,5950,4497,25
0601072HF2,11500,7142,38
0601072RK0,8500,5761,33
06011A15F3,7595,6506,15
06011A95F1,2690,2481,8
06012161F4,6030,5392,11
06012161F8,5785,5193,11
06012161FD,3630,3393,7
06012161FK,3205,2902,10
06012161FL,3915,3682,6
06012171F6,7605,6865,10
06012171F8,7375,6612,11
06012240F0,8835,7639,14
06012980F0,6980,6417,9
06012A70F1,8665,7646,12
060137505F,3225,2902,11
06013875F2,10190,7263,29
06013930F1,4895,4439,10
06013931F1,5425,4703,14
06013940F0,4355,3729,15
06013940F2,4370,3745,15
06013960F0,5260,4486,15
06013A02F0,6350,5807,9
06014775F0,5535,4837,13
06015A80F0,4980,4404,12
06016B30F0,8980,8353,7
06018242F1,9715,7774,20
06018B70F0,9620,7581,22
060194D0F0,3155,2950,7
06019804F5,6035,5438,10
06019805F0,3655,3409,7
06019G80F0,9410,7784,18
06019G80F1,6055,5260,14
06019G81K2,10805,8696,20
06019H20F0,3245,2906,11
06019H21L1,4400,3533,20
08N (0) 09 012,15600,12706,19
08S (0) 09 001,9900,6244,37
10000,1145,1106,4
100012,100,98,2
10003,1350,1274,6
10007,1550,1494,4
10013,1850,1810,3
10016,2000,1828,9
10020,2075,1936,7
100223,240,233,3
10024,2225,2116,5
10025,1850,1718,8
10027,2550,2550,0
10030,2990,2636,12
10033,3250,2796,14
10035,2290,2290,0
10037,2775,2775,0
10038,1065,987,8
1003AEI,599,599,0
1004ABEI,549,549,0
100554,185,181,3
100968,232,228,2
101030,585,537,9
101165,215,208,4
101263,90,88,3
101306,65,64,2
101316,74,72,3
101360,480,442,8
101401,100,95,5
101489,115,113,2
101584,310,273,12
101735,150,147,2
101823,280,222,21
10200,1250,1192,5
10201,1450,1450,0
10203,1925,1925,0
10204,2100,1876,11
10206,2325,2248,4
10207,2650,2370,11
102083,120,115,5
10209,3095,2672,14
102093,72,69,5
102102,75,74,2
10211,1950,1756,10
10212,2375,2096,12
10213,1125,1057,7
102131,175,170,3
102139,100,98,2
102145,375,369,2
102155,175,166,6
102159,130,127,3
102162,225,218,4
102533,1200,1179,2
102569,30,30,0
102582,682,470,32
102587,492,339,32
102590,333,229,32
102592,420,289,32
102607,70,68,3
102609,70,68,3
102610,70,68,3
102615,289,199,32
102745,20,20,0
10275,1125,1125,0
102750,20,20,0
102753,20,20,0
10276,1175,1098,7
102761,20,20,0
102764,20,20,0
102774,280,273,3
102830,410,396,4
102833,209,202,4
102871,570,555,3
102932,199,185,8
102997,120,115,5
103246,315,293,7
103551,420,386,9
103683,135,132,3
103730,60,59,2
103737,345,311,10
103909,120,118,2
104179,150,142,6
104269,50,49,2
104271,50,49,2
104582,453,440,3
104607,204,198,3
104615,114,112,2
104617,431,419,3
104707,68,67,2
104708,75,74,2
104726,197,192,3
104759,71,70,2
104808,122,119,3
104821,85,83,3
104823,85,83,3
104833,100,97,3
104837,115,113,2
104839,115,113,2
104840,100,97,3
104860,48,47,3
104862,7050,6731,5
104864,235,229,3
104956,90,88,3
104960,290,282,3
106103,120,115,5
106220,579,399,32
106224,1726,1190,32
106227,1146,790,32
106244,1159,799,32
106271,637,439,32
106367,666,459,32
106417,150,139,8
106599,120,114,5
106600,120,114,5
10707,2160,1924,11
10709,2290,2290,0
10717,2520,2400,5
10725,1550,1515,3
10726,1531,1531,0
10728,1895,1895,0
10733,1400,1260,10
10734,1890,1843,3
107443,282,194,32
107449,260,179,32
10755,1290,1290,0
107558,260,179,32
10756,1460,1442,2
10757,1990,1788,11
10760,1950,1756,10
107800,172,167,3
107803,189,179,6
108087_03,4499,2673,41
1082-Mu-A,1899,1597,16
108226_317,17999,12812,29
108226_35,17999,12812,29
108226_788,17999,12812,29
108227_317,14999,10864,28
108227_35,14999,10864,28
108249,340,323,5
10902,2025,1816,11
109025_36,3990,3175,21
10W Smart Bulb,2299,1255,46
11001,360,360,0
110090_36,6490,4945,24
110091_36,6990,5299,25
110093_36,9990,7423,26
1102H,799,799,0
11052,1560,1391,11
111059_03,10999,8410,24
111071_317,10999,7905,29
111071_437,10999,7905,29
111074GT_03,7999,5957,26
111074_03,7999,5802,28
111074_437,7999,5957,26
111078_109,3499,2653,25
111078_757,3499,2653,25
111078_886,3499,2703,23
111082_437,8499,6153,28
111087_03,7499,5607,26
111104_773,4999,3754,25
111104_875,5499,4105,26
111122_757,3499,2703,23
111122_773,3499,2703,23
111137_35,4499,3404,25
111141_03,3499,2653,25
111141_194,3499,2653,25
111141_40,3499,2653,25
112037_030,5990,4449,26
112038GT_03,3490,2589,26
112046_030,6990,5134,27
112053_396,10990,7899,29
112054_396,8990,6652,27
112057_03,4499,3504,23
112292,1215,1191,2
113710,149,144,4
113712,149,148,1
113817,130,127,3
114004_03,5999,4455,26
114004_117,5999,4401,27
114006_03,5699,4245,26
114006_194,5699,4245,26
114006_337,5699,4245,26
114006_785,5699,4245,26
114007_03,3199,2493,23
114007_337,3199,2493,23
114007_40,3199,2493,23
114007_551,3199,2438,24
114007_785,3199,2493,23
114015_787,4999,3754,25
114015_788,4999,3754,25
114016_787,4799,3564,26
114016_788,4799,3564,26
114018_787,3299,2508,24
114018_788,3299,2563,23
11545,1920,1732,10
11566,1750,1624,8
11567,2120,1892,11
11568,2300,2036,12
11569,2690,2348,13
11603,1510,1326,13
11604,2010,1804,11
11605,2200,2096,5
11607,2790,2577,8
11651,1380,1377,1
11652,1560,1366,13
11653,2130,1989,7
11654,2340,2068,12
11655,1480,1458,2
11656,1650,1516,9
11657,2200,2096,5
117045_03,6999,5256,25
117047_317,8799,6518,26
117050_317,3299,2563,23
117055_03,12999,9462,28
11730,2460,2164,13
118009,399,335,17
118412,349,332,5
118417,160,154,4
118419,160,154,4
118443,270,259,5
118518,406,392,4
118544,120,117,3
118572,680,661,3
118606,120,114,5
118774,89,87,3
118967,252,233,8
119665,216,205,6
119705,165,163,2
119709,150,148,2
119711,160,158,2
12000,5780,4820,17
12001,6820,5761,16
120018,260,225,14
