122644,46,101165-5.jpg,Kelloggs All Bran Wheat Flakes(425g),"[""101165-5.jpg"","""","""","""","""",""""]",205,205,0,1,5,43,0,0,0,0,0,0,1,1,0,0,0,0,"Kellogg's All-Bran Wheat Flakes is made with whole grain and is high in fiber.
 Fiber helps cleanse your digestive system, so you are able to do your best for your family.
 Rich in Fiber.",,,12/31/2020,1,1,0,0,1,0,[],0
124656,46,101165-5.jpg,Pillsbury Chakki Fresh Atta (5 kg),"[""101165-5.jpg"","""","""","""","""",""""]",270,270,0,1,2,24,0,0,0,0,0,0,1,1,0,0,0,0,"Rotis made from Pillsbury chakki fresh atta is a healthy option for those who prefer rotis and chapattis (Indian bread) to rice. As this atta or wheat flour is known to contain three parts of whole wheat grain, you can be assured of wholesome nourishment when you are eating rotis made from this wheat flour.",,,12/31/2020,1,1,0,0,1,0,[],0
126903,46,101165-5.jpg,Aashirvaad Superior MP Atta 5kg,"[""101165-5.jpg"","""","""","""","""",""""]",270,270,0,1,2,24,0,0,0,0,0,0,1,1,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 
   <li><span class=""a-list-item"">Aashirvaad Superior MP Atta is made using the 4-step advantage process which ensures 100% pure and natural whole wheat atta and retention of its natural dietary fibres and nutrients</span></li>
 
   <li><span class=""a-list-item"">Sourced directly from the farmers, Aashirvaad Superior MP Atta ensures that the flour is not tampered thereby maintaining the high quality</span></li>
 
   <li><span class=""a-list-item"">The essential nutrition remains locked in the whole wheat atta which helps in easy digestion and supporting immunity</span></li>
 
   <li><span class=""a-list-item"">The revolutionary mechanised packaging ensures that the atta remains untouched by hands, thereby making it safe</span></li>
 
   <li><span class=""a-list-item"">The dough made from Aashirvaad Superior MP Atta absorbs more water making the rotis soft, fluffy and delicious which helps you power through the day</span></li>
 
   <li><span class=""a-list-item"">Indiaâ€™s No.1 Atta, Aashirvaad Superior MP Atta is Made with Love in India</span></li>
 
 </ul>",,,12/31/2020,1,1,0,0,1,0,[],0
126906,46,101165-5.jpg,Aashirvaad Superior Mp Atta 10 kg,"[""101165-5.jpg"","""","""","""","""",""""]",490,490,0,1,2,24,0,0,0,0,0,0,1,1,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 
   <li><span class=""a-list-item"">Aashirvaad Superior MP Atta is made using the 4-step advantage process which ensures 100% pure and natural whole wheat atta and retention of its natural dietary fibres and nutrients</span></li>
 
   <li><span class=""a-list-item"">Sourced directly from the farmers, Aashirvaad Superior MP Atta ensures that the flour is not tampered thereby maintaining the high quality</span></li>
 
   <li><span class=""a-list-item"">The essential nutrition remains locked in the whole wheat atta which helps in easy digestion and supporting immunity</span></li>
 
   <li><span class=""a-list-item"">The revolutionary mechanised packaging ensures that the atta remains untouched by hands, thereby making it safe</span></li>
 
   <li><span class=""a-list-item"">The dough made from Aashirvaad Superior MP Atta absorbs more water making the rotis soft, fluffy and delicious which helps you power through the day</span></li>
 
   <li><span class=""a-list-item"">Indiaâ€™s No.1 Atta, Aashirvaad Superior MP Atta is Made with Love in India</span></li>
 
 </ul>",,,12/31/2020,1,1,0,0,1,0,[],0
145130,46,101165-5.jpg,"Maggi 2 Minute Masala Noodles (70g, Pack Of 96)","[""101165-5.jpg"","""","""","""","""",""""]",1152,1152,0,1,5,43,0,0,0,0,0,0,1,1,0,0,0,0,"Goodness of calcium and protein
 No added MSG
 Favourite maggi masala taste
 Noodles, instant noodles",,,12/31/2020,1,1,0,0,1,0,[],0
146378,46,101165-5.jpg,Kissan Professional Tomato Sauce Dip Pouch (1 kg),"[""101165-5.jpg"","""","""","""","""",""""]",85,85,0,1,5,43,0,0,0,0,0,0,1,1,0,0,0,0,"No.1 kissing brand ketchup
 No preservatives or additives
 Ideal for all Indian snacks like samosa, kachori, etc.",,,12/31/2020,1,1,0,0,1,0,[],0
152450,46,101165-5.jpg,Kissan Fresh Tomato Ketchup glass Bottle(1 kg),"[""101165-5.jpg"","""","""","""","""",""""]",150,150,0,1,5,43,0,0,0,0,0,0,1,1,0,0,0,0,"Kissan sources 100% of its tomatoes from sustainable sources thereby helping create and support several local smallholder farmers' livelihoods
 Is easy to pour and use and can be enjoyed with every snack
 Made with 100% real tomatoes
 Turns a boring meal into an empty tiffin
 Enjoy it best with samosas, pakodas, noodles or Roti roll for an interesting tiffin meal
 Carefully sealed in impermeable glass packaging to retain the best flavour and taste of product",,,12/31/2020,1,1,0,0,1,0,[],0
156639,46,101165-5.jpg,Best Foods Vegetarian Mayonnaise Pouch (1 kg),"[""101165-5.jpg"","""","""","""","""",""""]",160,160,0,1,10,32,0,0,0,0,0,0,1,1,0,0,0,0,"Rich and thick mayo with consistent taste
 Smooth and creamy texture
 Excellent binding and coating properties
 Classic mustard flavour
 Good gloss and sheen
 Heat stable - can be used for grilling
 Ideal to use as a spread for sandwiches, burgers, rolls, etc.
 Ideal for dips and salads",,,12/31/2020,1,1,0,0,1,0,[],0
157375,46,101165-5.jpg,Mtr Ragi Rava Idli Breakfast Mix (1 kg),"[""101165-5.jpg"","""","""","""","""",""""]",205,205,0,1,5,43,0,0,0,0,0,0,1,1,0,0,0,0,"No Added Preservatives
 No Transfat
 No Cholesterol
 No Artificial Colors
 No added MSG",,,12/31/2020,1,1,0,0,1,0,[],0
159705,46,101165-5.jpg,Baggrys Crunchy Muesli Almond Raisins and Honey(500g),"[""101165-5.jpg"","""","""","""","""",""""]",320,320,0,1,5,43,0,0,0,0,0,0,1,1,0,0,0,0,"Helps manage weight
 High in fibre
 Source of protein
 Multigrain with whole grains
 All natural ingredients
 Delicious taste
 Instant and convenient breakfast cereal
 Healthy office or tiffin snack",,,12/31/2020,1,1,0,0,1,0,[],0
