id,name,sub_cate_id
14339,dals,24
14340,pulses,24
14341,grocery dals pulses,24
14342,split moong dal,24
14343,kadle bele,24
14344,moong yellow,24
14345,aro moong dal 1 kg,24
14346,grocery moong dal 1kg,24
14347,grocery moong dal 500g,24
14348,grocery moong dal 5kg ,24
14349,uddina bele,24
14350,vigna mungo,24
14351,pro nature organic masoor dal split 500g,24
14352,tata sampan kali masoor dal 1kg,24
14353,tata sampanna toor dal,24
14354,tata sampanna multidal,24
14355,grocery rajma kashmiri 1kg,24
14356,grocery rajma red reg 5kg,24
14357,kidney beans,24
14358,rajma white,24
14359,rajma red,24
14360,urad black split,24
14361,urad black,24
14362,urad dal in tata samapann,24
14363,urad dal in organic tattva,24
14364,urad dal in 24 mantra,24
14365,urad dal in pronature,24
14366,urad in dals & pulses,24
14367,toor dal in 24 mantra ,24
14368,toor dal in tata sampann,24
14369,toor dal in pro nature,24
14370,organic toor dal,24
14371,arhar dal,24
14372,togari bele,24
14373,toor dal in dals & pulses,24
14374,moong dal in dals & pulses,24
14375,moong dal in 24 mantra,24
14376,moong dal in tata samapann,24
14377,moong dal in organic tattva,24
14378,moong dal in pronature,24
14379,moong dal in snacks,24
14380,moong dal in haldirams snacks,24
14381,moong dal in bikano snacks,24
14382,hesaru bele in dals & pulses,24
14383,moong dal in 1kg,24
14384,moong dal in 500g,24
