id,name,original_price,sell_price,discount,variations_types,stocks,size
249951,Apple Himachal,165,150,10,1000|500|2000,100,1
250122,Banana - Yelakki,43,39,10,1000|500|2000,100,1
250103,Banana - Nendran,99,90,10,1000|500|2000,0,1
250110,Banana - Red,99,90,10,1000|500|2000,0,1
250174,Pomegranate - Kabul,143,130,10,1000|500|2000,0,1
250624,Avocado (Appox : 1 kg /4 Pc),429,390,10,[],0,1
279427,Dragon Fruit Imported,275,250,10,1000|500|2000,0,1
249882,Orange Nagpur,83,75,10,1000|500|2000,0,1
249965,Musk Melon (Appox: 1.25 kg/each),77,70,10,[],100,0
250223,Sapota (Chikoo),77,70,10,1000|500|2000,100,1
250222,Papaya (Appox: 1.5 kg/each),66,60,10,[],100,0
SB0039,Mango Senduran,219,199,10,1000|500|250,0,1
250231,Mango - Banganapalli,219,199,10,1000|500|2000,0,1
250116,Banana - Robusta,29,26,11,1000|500|2000,100,1
SB0037,Water Melon Green (Appox: 4 kg/each),109,109,0,[],0,0
249961,Apple Royal Gala,209,190,10,1000|500|2000,100,1
249944,Apple Granny Smith,264,240,10,1000|500|2000,100,1
350486,Thai Guava,88,80,10,[],0,0
250133,Pear - Green Anjou,385,350,10,1000|500|2000,100,1
SB0089,Orange Kinnow,77,70,10,500|1000|2000|3000|4000,100,1
249877,Mosambi,83,75,10,1000|500|2000,100,1
250077,Water - Melon Kiran(Appox: 2 kg To 2.5 kg/each),99,90,10,[],100,0
250095,Pineapple  (Appox:1.3 kg/each),61,55,10,[],100,0
249889,Orange Valecia,198,180,10,1000|500|2000,100,1
250145,Pear - Red Anjou,385,350,10,1000|500|2000,0,1
249963,Apple Wash Red Delicious,209,190,10,1000|500|2000,100,1
249926,Apple Fuji,253,230,10,1000|500|2000,100,1
350478,Persimon,300,300,0,1000|500|2000,100,1
250215,Ber fruit,110,100,10,500|1000|2000|3000|4000,100,1
338005,Orange Imported,300,300,0,500|1000|2000,0,1
403952,Blueberry 125 g (Packed),292,260,11,[],0,0
298938,Kiwi (per piece),21,19,10,[],100,0
285818,Apple Shimla,360,327,10,1000|500|2000,0,1
249953,Apples Jammu-Kashmir,142,129,10,1000|500|2000,0,1
250216,Custard - Apple,209,190,10,1000|500|2000,0,1
368287,Fig Fruit (Packed-9 Pcs),55,50,10,[],0,0
279433,Grape Fruit Imported,198,180,10,1000|500|2000,100,1
250200,Grapes Green Seedless (Packed 1 kg),66,60,10,[],0,0
250205,Grapes Red Globe - Indian,275,250,10,[],0,0
250219,Guava,97,97,0,1000|500|2000,0,1
340409,Kids Apple(1kg Packed),165,150,10,1000|2000,0,1
398436,Kiw Gold (Pack of 3),180,140,23,[],0,0
388437,Kiwi (Pack of 3),64,58,10,[],0,0
250406,Mango Totapuri,193,175,10,1000|500|2000,0,1
249885,Orange navel,132,132,0,1000|500|2000,0,1
253355,Plums Imported,360,360,0,1000|500|2000,0,1
317850,Strawberry (Packed - 18 Pcs),130,79,40,[],100,0
