id,name,status,sub_cate_id
16281,alphonso mango ice cream 750ml pack,1,33
16282,madagascar ice cream 750ml pack,1,33
16283,tender coconut ice cream 750ml pack,1,33
16284,yummy chocochip ice cream 750ml pack,1,33
16285,sitaphal ice cream 500ml pack,1,33
16286,ice cream in alphonso mango 750ml pack,1,33
16287,ice cream in madagascar 750ml pack,1,33
16288,ice cream in tender coconut 750ml pack,1,33
16289,ice cream in chocochip 750ml pack,1,33
16290,ice cream in sitaphal 500ml pack,1,33
16291,nic natural ice cream,1,33
16292,orange salsa ice cream ,1,33
16293,orange salsa ice cream  in amul,1,33
16294,chocolate ice cream in amul,1,33
16295,vanilla ice cream in dairy day,1,33
16296,chocolate chips ice cream in havmor,1,33
16297,chocolate chips ice cream 700ml pack,1,33
16298,dairy tales in dairy,1,33
16299,epigamia greek yoghurt mango 400g,1,33
16300,epigamia greek yoghurt alphonso mango 200ml pet,1,33
16301,epigamia greek yoghurt blueberry 200ml pet,1,33
16302,epigamia greek yoghurt strawberry 200ml pet,1,33
16303,blueberry yoghurt,1,33
16304,strawberry yoghurt,1,33
16305,mango yoghurt,1,33
16306,rasberry yoghurt,1,33
16307,pink guava yoghurt,1,33
16308,natural yoghurt,1,33
16309,alphonso mango yoghurt,1,33
16310,vanilla greek yoghurt,1,33
16311,yoghurt blueberry  in dairy tales,1,33
16312,yoghurt strawberry  in dairy tales,1,33
16313,yoghurt 100g cup,1,33
16314,yoghurt rasberry  in dairy tales,1,33
16315,yoghurt pink guava  in dairy tales,1,33
16316,yoghurt natural  in dairy tales,1,33
16317,yoghurt 200ml pet,1,33
16318,yoghurt 90g cup,1,33
16319,yoghurt blueberry  in epigamia,1,33
16320,yoghurt strawberry  in epigamia,1,33
16321,yoghurt mango  in epigamia,1,33
16322,yoghurt rasberry  in epigamia,1,33
16323,yoghurt 400ml cup,1,33
16324,yoghurt natural  in epigamia,1,33
16325,yoghurt alphonso mango  in epigamia,1,33
16326,yoghurt vanilla greek  in epigamia,1,33
16327,yoghurt blueberry  in dutchie,1,33
16328,yoghurt mango in dutchie,1,33
16329,yoghurt strawberry in dutchie,1,33
16330,yoghurt coconut in dutchie,1,33
16331,yoghurt mango in nestle,1,33
16332,yoghurt strawberry  in nestle,1,33
16333,yoghurt 180ml pack,1,33
