nothing,id,,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code
0,411155,411155,49,411155.jpg,Bombay Shaving Comapany Charcoal Shaving Foam266ml,"[""411155.jpg"",""411155-1.jpg"",""411155-2.jpg"",""411155-3.jpg"","" "",]",245,135,45,1,6,108,0,0,0,0,0,0,0,0,0,0,1,266,,,,20/12/2050,0,1,5,4,1,0,[],0,18,11618|634|619,3307
0,415289,415289,49,415289.jpg,BSC active Beardinator,"["""","""","""","""",""""]",499,356,29,1,6,108,0,0,1,0,0,0,0,0,0,0,0,0,,,,20/12/2051,0,1,5,4,1,0,[],0,18,754,3304
0,345598,345598,49,345598.jpg,Engage Man Xx3 Cologne135 ml,"[""345598.jpg"",""345598-1.jpg"",""345598-2.jpg"",""345598-3.jpg"","" "",]",250,138,45,1,6,47,0,0,0,0,0,0,0,0,0,0,1,150,,,,20/12/2050,0,1,5,4,1,0,[],0,18,9137|687|587|589,3307
