id,name,status,sub_cate_id
5589,malas froogle fruity chews imli 600g jar,1,40
5590,mars miniatures 90g,1,40
5591,mayora atta bix atta sandwich biscuit 115g,1,38
5592,mccain aloo tikki 1.24kg,1,103
5593,mccain aloo tikki 1.5kg,1,103
5594,mccain chilli garlic potato nuggets 1.5kg,1,103
5595,mccain crinkle fries 9mm 2.5kg,1,103
5596,mccain french fries regular 6mm 2.5kg,1,103
5597,mccain french fries regular 9mm 2.5kg,1,103
5598,mccain masala fries indian spices 1.5kg,1,103
5599,mccain green chutney flavour 1.5kg,1,103
5600,mccain popular vege burger patty 1.2kg,1,103
5601,mccain potato cheese shots 1kg,1,103
5602,mccain classic hashbrown patties 1.5kg,1,103
5603,mccain coated potatoes 2.5kg,1,103
5604,mccain smiles crispy potatoes 1.5kg,1,103
5605,mccain sure crisp 6mm 3kg,1,103
5606,"mccain veggie cron, carrot & peas 1kg",1,103
5607,meal time green chilli sauce 5kg,1,44
5608,meal time red chilli sauce 5kg,1,44
5609,meal time tomato sauce 5kg,1,44
5610,meatzza chicken jumbo nuggets 1kg,1,103
5611,meatzza krispy fried chicken 500g tub,1,103
5612,metro chef chinese sauce combo,1,44
5613,metro chef green chilli sauce 200g,1,44
5614,metro chef red chilli sauce 200g,1,44
5615,metro chef soya sauce 200g,1,44
5616,metro chef tomato ketchup 950g buy1 get1 free,1,44
5617,metro chef vinegar 200g,1,61
5618,milkist cappuccino flavour crackers biscuit 138g,1,38
5619,milkist sugar crackers biscuit 135g,1,38
5620,mint-o gol mint & orange flavour 700g,1,40
5621,mother's recipe cut mango pickle 50g glass bottle,1,42
5622,mother's recipe garlic pickle 300g glass bottle,1,42
5623,mother's recipe mixed pickle 500g pouch,1,42
5624,mother's recipe punjabi mango pickle 400g glass bottle,1,42
5625,mother's recipe chilli pickle 400g glass bottle,1,42
5626,mrs. food rite pizza pasta sauce 275g,1,44
5627,mrs. food rite szechuan chutney 250g,1,44
5628,mtr elbow macaroni 850 g,1,41
5629,mtr rava dosa breakfast 500g,1,39
5630,nando's peri peri sauce lemon & herb 250g,1,44
5631,nando's peri peri sauce medium 250g,1,44
5632,nando's peri peri xx hot sauce 125g,1,44
5633,nestle kitkat 4 fingers 766.5g,1,40
5634,nestle munch 800g,1,40
5635,nestle munch nuts 24units 768g,1,40
5636,nestle munch nuts yumm 15units 240g,1,40
5637,oateo instant oats marvel avengers 1.5kg,1,39
5638,oateo instant oats marvel avengers 1kg,1,39
5639,oateo instant oats marvel avengers 400g,1,39
5640,orion custas cup cake 6units 138g,1,40
5641,orion o'rice cracker 151.2g,1,38
5642,parle nutricrunch ginger skap cookies 100g,1,38
5643,pintola peanut butter creamy 350g,1,44
5644,pintola peanut butter chocolate creamy 350g,1,44
5645,pran potata spicy biscuit 100g,1,38
5646,pulse guava pineapple 680g jar,1,40
5647,pure heart nut spread chico almond 192g,1,44
5648,pure heart nut spread choco cashew192g,1,44
5649,pure heart nut spread creamy cashew 192g,1,44
5650,quaker oats with flavour mix 200g,1,39
5651,real thai green curry padta 50g,1,44
5652,real thai green curry pasta 1kg,1,44
5653,real thai red curry pasta 1kg,1,44
5654,real thai red curry paste 50g,1,44
5655,ruchi lime pickle 7g 50pk,1,42
5656,safal frozen green peas 5kg,1,103
5657,saffola honey no added sugar 1kg,1,44
5658,saffola honey no added sugar 250g,1,44
5659,saffola honey no added sugar 500g,1,44
5660,skittles clear candy 5 assorted flavors 412.5g,1,40
5661,skittles wild berry 12units 348g,1,40
5662,snickers 12x family treats 12units-168g,1,40
5663,snickers home pack 6units-240g,1,40
5664,soulfull choco fills ragi bites 50g,1,39
5665,soulfull ragi bites no maida choco 375g,1,39
5666,st dalfour cranberry & blueberry spread 284g,1,44
5667,st dalfour four fruit spread 284g,1,44
5668,sundrop cocoa nut almond chocolatey spread 160g,1,44
5669,sundrop cocoa nut hazelnut chocolatey spread 350g,1,44
5670,sundrop duo coconut bar 23.5g,1,40
