id,tags
23980423674,11984|12700|155|157|158|156|8165|8164|8162|8163
234798723,6619|2|3|12700
2384823,6562|4|12700
234883274,6512|13|12|11|10|9|8|7|6|98|12720|12726|12727
234873,6512|13|12|11|10|9|8|7|6|98|12720|12726|12727
4432748,6512|13|12|11|10|9|8|7|6|98|12720|12726|12727
32426347,6512|13|12|11|10|9|8|7|6|98|12720|12726|12727
