id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations,size,tax_class,tags,hsn_code
100223,49,100223.jpg,Kinley mineral water 500ml (Pack of 24),"["""","""","""","""",""""]",240,207,14,1,4,37,1,0,0,0,0,0,0,0,0,0,1,50,,,,20/12/2050,0,0,5,4,1,0,[],0,18,493,2201
161897,49,161897.jpg,Amul Delicious Margarine 500 g,"[""161897.jpg"",""161897-1.jpg"",""161897-2.jpg"",""161897-3.jpg"","" "",]",73,72,1,1,3,32,0,0,1,500,0,0,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,12,187|188|186,2106
161898,49,161898.jpg,Amul Delicious Margarine 100 g,"[""161898.jpg"",""161898-1.jpg"",""161898-2.jpg"",""161898-3.jpg"","" "",]",16,16,0,1,3,32,0,0,1,100,0,0,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,12,187|188|186,2106
197348,49,197348.jpg,Bisleri Mineral Water 250 ml (Pack of 24),"["""","""","""","""",""""]",144,138,4,1,4,37,1,0,0,0,0,0,0,0,0,0,1,250,,,,20/12/2050,0,0,5,4,1,0,[],0,18,493,2201
197351,49,197351.jpg,Bislier mineral water 1L (Pack of 24),"["""","""","""","""",""""]",240,234,3,1,4,37,1,0,0,0,0,0,0,0,1,1,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,493,2201
242060,49,242060.jpg,Aquafina 1 L (Pack of 12),"["""","""","""","""",""""]",240,237,1,1,4,37,1,0,0,0,0,0,0,0,1,1,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,493,2201
260354,49,260354.jpg,"Gadre Ready To Cook - Masala Mackerel, 95 g Pouch","[""260354.jpg"",""260354-1.jpg"",""260354-2.jpg"",""260354-3.jpg"","" "",]",65,65,0,0,5,103,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,0,12406,910
343645,49,343645.jpg,Kim Original Egg Noodles 500 g,"["""","""","""","""",""""]",85,85,0,0,5,41,1,0,1,500,0,0,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,9083|399,1902
379218,49,379218.jpg,"Bauli Moonfils, Orange, 45 g","[""379218.jpg"",""379218-1.jpg"",""379218-2.jpg"",""379218-3.jpg"","" "",]",15,15,0,1,3,30,0,0,1,45,0,0,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,12,1300,2106
387091,49,387091.jpg,Amul Colombia Chocolate 125 g,"[""387091.jpg"",""387091-1.jpg"",""387091-2.jpg"",""387091-3.jpg"","" "",]",150,150,0,1,5,40,0,0,1,125,0,0,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,1260|12555,1905
