id,name,status,sub_cate_id
14086,Adidas Dn3093-S Essex Polo S,1,124
14087,Adidas Dn3093-M Essex Polo M,1,124
14088,Adidas Dn3093-L Essex Polo L,1,124
14089,Adidas Dn3093-Xl Essex Polo Xl,1,124
14090,Adidas Dn3093-Xxl Essex Polo 2Xl,1,124
14091,Adidas T-shirt,1,124
14092,Adidas Essex Polo Small size,1,124
14093,Adidas Essex Polo Medium size,1,124
14094,Adidas Essex Polo Large size,1,124
14095,Adidas Essex Polo XL size,1,124
14096,Adidas Essex Polo 2XL size,1,124
14096,Adidas Shirt,1,124
