id,original_price,sell_price,in_stoke
405217,22,22,0
251150,21,19,1
250543,143,130,1
249926,286,260,1
249944,248,225,1
249951,209,190,1
249961,275,250,1
285818,286,260,0
249963,248,225,1
249953,291,264,0
250544,90,82,0
342749,49,44,0
250624,275,250,0
250625,121,110,1
368181,37,33,0
250626,49,44,0
250512,54,49,1
250103,94,85,1
250553,66,60,1
250110,94,85,1
250116,33,30,1
250549,18,16,1
250122,72,65,1
250545,22,20,1
250547,7,6,0
250492,44,40,1
250641,55,50,1
250554,44,40,1
250474,61,55,1
250561,55,50,1
403952,275,260,0
250569,44,40,1
250460,55,50,1
250457,44,40,1
250445,66,60,1
250638,209,190,1
250521,17,15,1
250656,110,100,0
250657,138,125,0
250462,61,55,1
250634,165,150,1
250635,165,150,1
250536,83,75,1
273395,77,70,0
347642,121,110,1
250931,43,39,1
250660,154,140,0
250465,44,40,1
250468,44,40,1
250570,55,50,1
250574,50,45,1
252663,28,25,1
250586,55,50,1
250679,30,27,1
250438,44,40,1
250440,17,15,1
250443,28,25,1
250680,19,17,1
250216,110,100,0
250600,66,60,1
279522,31,28,0
279427,193,175,1
250615,6,5,1
405152,60,58,0
368287,39,35,0
405143,38,34,0
250511,83,75,1
277860,75,50,1
250591,94,85,1
279433,286,260,1
SB0040,176,160,0
250200,99,90,0
250205,165,150,0
250490,138,125,0
250219,77,70,0
250667,149,135,0
340409,273,248,0
298938,28,25,1
250930,33,30,1
250658,165,150,0
261478,55,50,1
405202,143,130,1
250645,165,150,1
250647,165,150,1
250231,72,65,0
SB0041,253,230,0
SB0043,193,175,0
SB0042,176,160,0
250383,66,60,0
SB0039,61,55,0
250406,88,80,1
250683,29,26,1
250685,25,22,1
249877,66,60,1
368136,55,45,1
249965,69,63,1
250505,73,66,1
250507,132,120,1
277862,55,44,1
249882,88,80,0
249885,109,99,0
249889,154,140,1
357258,54,49,0
250662,121,110,0
250687,31,28,1
250222,36,33,1
368197,61,55,0
250133,303,275,1
250145,219,199,0
350478,97,88,0
250095,69,63,1
253355,329,299,0
250174,130,118,1
250528,28,25,1
250604,80,73,0
250538,110,100,0
250539,22,20,1
250607,44,40,1
250223,88,80,0
250608,28,25,1
250689,31,28,1
307012,40,40,1
307011,40,33,0
307009,40,33,1
307010,40,30,1
317850,99,90,0
277865,44,40,0
368273,120,95,1
250531,66,60,0
250609,55,50,1
261662,44,40,0
350486,120,109,0
250417,20,18,1
250437,13,11,1
250631,165,150,0
405186,17,15,0
405141,83,80,0
405155,13,11,0
405146,49,44,0
405156,13,12,0
405140,44,40,0
405149,26,23,0
405147,30,30,1
405138,31,28,0
405158,13,12,0
405194,50,50,1
405154,15,13,0
405161,15,13,0
405162,14,12,0
405193,67,60,0
405163,15,13,0
405215,13,12,0
405190,83,80,0
405216,13,12,0
250659,110,100,0
250077,105,95,1
SB0037,88,80,0
SB0038,99,90,0
250611,96,87,1
250664,165,150,0
250665,165,150,0
102582,682,470,0
102587,492,339,1
102590,420,289,0
102592,420,289,1
102615,283,195,1
106220,579,399,1
106224,1726,1190,1
106227,1146,790,1
106244,1159,799,1
106271,637,439,1
106367,666,459,1
107443,282,194,1
107449,260,179,1
107558,260,179,0
128069,356,245,0
128327,289,199,1
134262,1449,999,1
146675,695,479,0
246792,289,199,1
270201,462,318,0
319569,398,274,0
319957,478,329,0
326807,478,329,1
326808,971,669,0
326809,856,590,1
326812,179,123,0
326815,1681,1159,0
334392,434,299,1
SB0064,2102,1449,0
SB0065,557,506,0
SB0066,2102,1449,0
SB0067,1449,999,0
