nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,408292,49,408292.jpg,Odonil Room Spray Citrus Fresh 240Ml,"[""408292.jpg""]",149,134,11,1,7,51,0,0,0,0,0,0,0,0,0,0,1,240,,,,21/12/2050,0,1,5,4,1,0,[],0,18,13927|13928|13929|13930,0,551
0,408288,49,408288.jpg,Odonil Room Spray Jasmine Fresh 240Ml,"[""408288.jpg""]",149,134,11,1,7,51,0,0,0,0,0,0,0,0,0,0,1,240,,,,21/12/2050,0,1,5,4,1,0,[],0,18,13927|13928|13929|13930,0,551
0,408290,49,408290.jpg,Odonil Room Spray Rose Garden 240Ml,"[""408290.jpg""]",149,134,11,1,7,51,0,0,0,0,0,0,0,0,0,0,1,240,,,,21/12/2050,0,1,5,4,1,0,[],0,18,13927|13928|13929|13930,0,551
0,408291,49,408291.jpg,Odonil Room Spray Sandal Bouquet 240Ml,"[""408291.jpg""]",149,134,11,1,7,51,0,0,0,0,0,0,0,0,0,0,1,240,,,,21/12/2050,0,1,5,4,1,0,[],0,18,13927|13928|13929|13930,0,551
