id,original_price,sell_price,variations_types,in_stoke
SB0001,61,60,250|500|1000|2000|3000|4000|5000,1
SB0002,38,37,250|500|1000|2000|3000|4000|5000,1
SB0004,173,170,250|500|1000|2000|3000|4000|5000,1
SB0005,74,73,250|500|1000|2000|3000|4000|5000,1
SB0006,36,35,1000|2000|3000|4000|5000,0
SB0007,62,61,250|500|1000|2000|3000|4000|5000,0
SB0008,50,49,250|500|1000|2000|3000|4000|5000,1
SB0009,266,262,100|200|300|400|500|600|700|800|900|1000,0
SB0010,145,138,250|500|1000|2000|3000|4000|5000,0
SB0011,41,40,250|500|1000|2000|3000|4000|5000,1
SB0012,138,135,250|500|1000|2000|3000|4000|5000,1
SB0013,91,87,250|500|1000|2000|3000|4000|5000,0
SB0014,103,101,250|500|1000|2000|3000|4000|5000,1
SB0015,58,57,250|500|1000|2000|3000|4000|5000,1
SB0016,115,113,250|500|1000|2000|3000|4000|5000,1
SB0017,109,107,250|500|1000|2000|3000|4000|5000,1
SB0018,87,86,250|500|1000|2000|3000|4000|5000,1
SB0019,127,125,250|500|1000|2000|3000|4000|5000,1
SB0020,104,102,250|500|1000|2000|3000|4000|5000,1
SB0021,142,140,250|500|1000|2000|3000|4000|5000,1
SB0022,81,79,250|500|1000|2000|3000|4000|5000,1
SB0023,150,147,250|500|1000|2000|3000|4000|5000,1
SB0024,127,125,250|500|1000|2000|3000|4000|5000,0
SB0026,140,138,250|500|1000|2000|3000|4000|5000,0
SB0027,140,138,250|500|1000|2000|3000|4000|5000,0
SB0028,109,107,250|500|1000|2000|3000|4000|5000,1
SB0029,127,125,250|500|1000|2000|3000|4000|5000,1
SB0030,109,107,250|500|1000|2000|3000|4000|5000,1
SB0031,35,34,250|500|1000|2000|3000|4000|5000,1
SB0032,107,105,250|500|1000|2000|3000|4000|5000,1
SB0033,47,46,250|500|1000|2000|3000|4000|5000,1
SB0034,121,119,250|500|1000|2000|3000|4000|5000,1
SB0035,42,42,250|500|1000|2000|3000|4000|5000,1
405537,521,431,1000|2000|3000|4000|5000,1
