id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
401408,49,401408.jpeg,Bingo Potato Chips Cream & Onion 100G,"[""401408.jpeg""]",50,26,48,1,5,43,1,1,1,100,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5401|1241,0,85
425297,49,425297.jpeg,Bingo Potato Chips Cream & Onion 25G Pack Of 12,"[""425297.jpeg""]",120,110,9,1,5,43,1,1,1,25,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5401|1241,0,85
425298,49,425298.jpeg,Bingo Potato Chips Masala 25G Pack Of 12,"[""425298.jpeg""]",120,110,9,1,5,43,1,1,1,25,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5401|1241,0,85
425296,49,425296.jpeg,Bingo Potato Chips Salted 10.5G Pack Of 16,"[""425296.jpeg""]",80,73,9,1,5,43,1,1,1,10.5,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5401|1241,0,85
422637,49,422637.jpeg,Bingo Tedhe Medhe Cocktail Mix 180G,"[""422637.jpeg""]",50,46,8,1,5,43,1,1,1,180,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5768,0,85
428227,49,428227.jpeg,Bingo Tedhe Medhe Masala Tadaka 90G,"[""428227.jpeg""]",20,20,0,1,5,43,1,1,1,90,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5768,0,85
422638,49,422638.jpeg,Bingo Tedhe Medhe Pluse Mix 180G,"[""422638.jpeg""]",50,46,8,1,5,43,1,1,1,180,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5768,0,85
419152,49,419152.jpeg,Doritos Nacho Cheese Flavour 100G,"[""419152.jpeg""]",50,48,4,1,5,43,1,1,1,100,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5745|5769,0,203
412570,49,412570.jpeg,Doritos Nacho Cheese Flavour 25G Pack Of 10,"[""412570.jpeg""]",100,95,5,1,5,43,1,1,1,25,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5745|5769,0,203
419150,49,419150.jpeg,Doritos Nacho Cheese Flavour 66G,"[""419150.jpeg""]",30,28,7,1,5,43,1,1,1,66,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5745|5769,0,203
395675,49,395675.jpeg,Doritos Sweet Chilly Flavour 44G,"[""395675.jpeg""]",20,20,0,1,5,43,1,1,1,44,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5745|5770,0,203
419151,49,419151.jpeg,Doritos Sweet Chilly Flavour 66G,"[""419151.jpeg""]",30,28,7,1,5,43,1,1,1,66,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5745|5770,0,203
205713,49,205713.jpeg,Garden Mini Bhakarwadi 160G,"[""205713.jpeg""]",55,51,8,1,5,43,1,1,1,160,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4731|5771,0,270
413989,49,413989.jpeg,Garden Nylon Sev 140G,"[""413989.jpeg""]",55,48,13,1,5,43,1,1,1,140,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4731|5772,0,270
205704,49,205704.jpeg,Garden Yellow Banana Chips 85G,"[""205704.jpeg""]",55,51,8,1,5,43,1,1,1,85,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4731|5401|1241,0,270
376292,49,376292.jpeg,Grb Butter Muruku 135G,"[""376292.jpeg""]",50,46,8,1,5,43,1,1,1,135,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4764|5773,0,296
376291,49,376291.jpeg,Grb Ribbon Pakoda 135G,"[""376291.jpeg""]",50,46,8,1,5,43,1,1,1,135,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4764|5774,0,296
402898,49,402898.jpeg,Grb Town Bus Madras Mixture 900G,"[""402898.jpeg""]",300,243,19,1,5,43,1,1,1,900,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4764|5775,0,296
402901,49,402901.jpeg,Grb Town Bus Ompudi 20G Pack Of 12,"[""402901.jpeg""]",60,55,9,1,5,43,1,1,1,20,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4764|5776,0,296
419147,49,419147.jpeg,Lays Maxx Sizzling Barbeque Flavour 59.4 G,"[""419147.jpeg""]",30,28,7,1,5,43,1,1,1,59.4,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5777,0,422
419176,49,419176.jpeg,Lays Potato Chips American Style Cream & Onion 190G,"[""419176.jpeg""]",85,78,9,1,5,43,1,1,1,190,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5401|1241,0,422
419188,49,419188.jpeg,Lays Potato Chips American Style Cream & Onion Flavour 115G,"[""419188.jpeg""]",50,48,4,1,5,43,1,1,1,115,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5401|1241,0,422
102741,49,102741.jpeg,Lays Potato Chips Clasic Salted 52G,"[""102741.jpeg""]",20,20,0,1,5,43,1,1,1,52,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5401|1241,0,422
419186,49,419186.jpeg,Lays Potato Chips Clasic Salted 73G,"[""419186.jpeg""]",30,28,7,1,5,43,1,1,1,73,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5401|1241,0,422
419172,49,419172.jpeg,Lays Potato Chips Classic Salted 115G,"[""419172.jpeg""]",50,48,4,1,5,43,1,1,1,115,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5401|1241,0,422
419154,49,419154.jpeg,Lays Potato Chips Cream & Onion 78G,"[""419154.jpeg""]",30,28,7,1,5,43,1,1,1,78,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5401|1241,0,422
419171,49,419171.jpeg,Lays Potato Chips Indian Magic Masala 115 G,"[""419171.jpeg""]",50,48,4,1,5,43,1,1,1,115,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5401|1241,0,422
419174,49,419174.jpeg,Lays Potato Chips Indian Magic Masala 190G,"[""419174.jpeg""]",85,78,9,1,5,43,1,1,1,190,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5401|1241,0,422
419155,49,419155.jpeg,Lays Potato Chips Indian Magic Masala 73G,"[""419155.jpeg""]",30,28,7,1,5,43,1,1,1,73,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5401|1241,0,422
419173,49,419173.jpeg,Lays Potato Chips Spanish Tomato Tango 115G,"[""419173.jpeg""]",50,48,4,1,5,43,1,1,1,115,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5401|1241,0,422
