id,have_gram,gram,have_kg,kg,have_pcs,pcs,have_ml,ml
299129,1,25,0,0,0,0,0,0
289237,1,1100,0,0,0,0,0,0
402063,1,75,0,0,0,0,0,0
410915,1,120,0,0,0,0,0,0
410917,1,120,0,0,0,0,0,0
410919,1,100,0,0,0,0,0,0
410920,1,100,0,0,0,0,0,0
416411,1,150,0,0,0,0,0,0
