id,discount
405217,12
251150,20
250543,18
249926,18
249944,5
249951,10
249961,18
285818,10
249963,18
249953,10
250544,18
342749,10
250624,18
250625,18
368181,11
250626,10
250512,19
250103,18
250553,10
250110,10
250116,20
250549,22
250122,19
250545,20
250547,12
250492,10
250641,18
250554,20
250474,19
250561,19
403952,18
250569,20
250460,19
250457,42
250445,10
250638,0
250521,22
250656,0
250657,10
250462,18
250634,10
250635,10
250536,10
273395,10
347642,18
250931,10
250660,18
250465,10
250468,19
250570,10
250574,19
252663,26
250586,20
250679,12
250438,20
250440,23
250443,19
250680,10
250216,18
250600,20
279522,10
279427,10
250615,19
405152,10
368287,10
405143,10
250511,19
277860,34
250591,19
279433,10
SB0040,10
250200,10
250205,10
250490,10
250219,10
250667,10
340409,10
298938,19
250930,11
250658,0
261478,18
405202,10
250645,10
250647,18
250231,10
SB0041,10
SB0043,10
SB0042,10
250383,10
SB0039,10
250406,18
250683,12
250685,11
249877,18
368136,11
249965,19
250505,10
250507,18
277862,20
249882,19
249885,10
249889,18
357258,10
250662,10
250687,11
250222,10
368197,10
250133,10
250145,12
350478,10
250095,26
253355,18
250174,21
250528,19
250604,10
250538,10
250539,20
250607,19
250223,18
250608,20
250689,12
307012,0
307011,20
307009,18
307010,19
317850,10
277865,11
368273,37
250531,10
250609,19
261662,10
350486,10
250417,19
250437,19
250631,10
405186,10
405141,10
405155,12
405146,10
405156,11
405140,10
405149,10
405147,11
405138,11
405158,10
405194,10
405154,10
405161,12
405162,12
405193,10
405163,12
405215,11
405190,10
405216,11
250659,10
250077,18
SB0037,10
SB0038,10
250611,18
250664,18
250665,10
102582,32
102587,32
102590,32
102592,32
102615,32
106220,32
106224,32
106227,32
106244,32
106271,32
106367,32
107443,32
107449,32
107558,32
128069,32
128327,32
134262,32
146675,32
246792,32
270201,32
319569,32
319957,32
326807,32
326808,32
326809,32
326812,32
326815,32
334392,32
SB0064,32
SB0065,32
SB0066,32
SB0067,32
271205,10
294904,16
409904,10
409905,10
410617,10
421398,26
421399,25
421400,25
423837,33
338005,10
398436,10
388437,10
SB0068,10
250485,10
250509,10
SB0069,10
SB0070,11
SB0001,7
SB0002,8
SB0004,8
SB0005,7
SB0006,8
SB0007,8
SB0008,8
SB0009,8
SB0010,8
SB0011,7
SB0012,8
SB0013,8
SB0014,8
SB0015,7
SB0016,8
SB0017,8
SB0018,7
SB0019,8
SB0020,8
SB0021,8
SB0022,8
SB0023,8
SB0024,8
SB0026,8
SB0027,8
SB0028,8
SB0029,8
SB0030,8
SB0031,6
SB0032,8
SB0033,7
SB0034,8
SB0035,7
SB0003,8
SB0025,7
SB0036,8
SB0071,7
SB0072,8
SB0073,8
SB0074,8
SB0075,8
358846,8
289973,8
410561,8
410563,8
410564,8
410571,8
410572,8
410574,8
410576,8
410577,8
410583,8
410585,8
410567,8
