id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code
419732,49,419732.jpg,CREDAR Hand Sanitizer 5L,"["""","""","""","""",""""]",2500,804,68,1,6,45,1,0,0,0,0,0,0,0,0,0,1,5000,,,,20/12/2050,0,0,5,4,1,0,[],0,18,591,2207
396318,49,396318.jpg,Almond (1 kg),"[""396318.jpg"",""396318-1.jpg"",""396318-2.jpg"",""396318-3.jpg"","" "",]",1350,863,36,1,2,26,1,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,11013|314,802
