id,cate_id,sub_cate_id
FR6 (0) 20 002,14,71
FR6 (0) 20 003,14,71
FT6048,14,71
FT6049,14,71
FX1 (0) 00 101,14,71
FX1 (0) 09 101,14,123
FX1 (0) 71 101,14,71
GE6 (0) 09 001,14,71
GI0 (0) 09 001,14,117
GI0 (0) 09 002,14,117
GI0 (0) 09 003,14,117
GI1 (0) 09 003,14,121
GI1 (0) 09 004,14,121
H-23_Golden,14,119
H-23_Grey,14,119
H-25_Golden,14,119
H-25_Grey,14,119
HA02,14,117
HB1 (0) 51 002,14,121
HB1 (0) 70 002,14,121
HB2 (0) 08 003,14,121
HB2 (0) 09 001,14,121
HB2 (0) 09 002,14,121
HB2 (0) 51 002,14,121
HB2 (0) 51 003,14,121
HB4 (0) 08 003,14,121
HB4 (0) 09 002,14,121
HB4 (0) 17 001,14,121
HB4 (0) 41 002,14,121
HB4 (0) 51 003,14,121
HB4 (0) 70 001,14,121
HC1 (0) 08 007,14,123
HC1 (0) 08 014,14,123
HC1 (0) 08 035,14,123
HC1 (0) 08 036,14,123
HC1 (0) 08 038,14,123
HC1 (0) 09 009,14,123
HC1 (0) 09 017,14,123
HC1 (0) 09 018,14,123
HC1 (0) 09 027,14,123
HC1 (0) 09 029,14,123
HC1 (0) 09 035,14,123
HC1 (0) 09 036,14,123
HC1 (0) 18 010,14,123
HC1 (0) 18 024,14,123
HC1 (0) 48 011,14,123
HD1 (0) 08 005,14,121
HD1 (0) 09 002,14,121
HD1 (0) 09 003,14,121
HD1 (0) 41 001,14,121
HD1 (0) 41 004,14,121
HDER695037M3,14,118
HDER695154M3,14,118
HDER695238M3,14,118
HDES798019M3,14,118
HDES798078M3,14,118
HDES798106M3,14,118
HDFB626033M3,14,118
HDFB626240M3,14,118
HDFD765018M3,14,118
HDFD765073M3,14,118
HDFD765096M3,14,118
HEFQ068083M4,14,118
HEFQ068096M4,14,118
HEFQ068238M4,14,118
HXDC517020N2,14,118
HXDC517095N2,14,118
HXES456040N4,14,118
HXES456042N4,14,118
HXFC480021N3,14,118
HXFC480036N3,14,118
HXFC480070N3,14,118
I72 (0) 09 201,14,71
K419,14,118
L164,14,121
L1_BLACK,14,118
L1_RED,14,118
L2_Black,14,118
L2_Navy,14,118
L2_Tan,14,118
L5,14,121
L6,14,121
LA7 (0) 11 001,14,121
LB2 (0) 01 001,14,117
LB2 (0) 26 002,14,117
LB2 (0) 90 001,14,117
LB2 (0) 99 003,14,117
