id,brand_name,status
981,bikaji,1
982,cream 21,1
983,elovera,1
984,joy pure,1
985,kapiva,1
986,knock roach,1
987,la shield,1
988,nomarks,1
989,pooja,1
990,reef cod,1
991,royal,1
992,shivaji,1
993,sugandha,1
