id,name,kind
298071,"24 Mantra Organic Flax Seeds Organic, 200 g",1
299129,"Dabur Hommade Ginger Garlic Paste, 25 g",1
300031,Horeca Select Fenugreek / Methi Seeds1 kg,1
301982,"24 Mantra Organic Cinnamon (Cassia) Powder/dalchini powder, 100 g",1
301983,"24 Mantra Organic Dry Ginger Powder, 50 g",1
301985,"24 Mantra Organic White Sesame Seed, 100 g",1
301988,"24 Mantra Organic Rasam Powder, 100 Grams",1
301990,"24 Mantra Organic Garam Masala, 50 g",1
302124,Keya garlic Bread Seasoning Flakes50 g,1
302127,Keya Pizza Seasoning Powder(45g),1
302129,Keya Pasta Seasoning Powder (45g),1
302131,Keya Basil (12g),1
302138,"Keya Oregano (Freeze Dried), Imported Pure Herb Sprinkler 9 g",1
302140,Keya Red Chilli / Lal Mirch Flakes250 g,1
302147,Keya Rosemary Herbs 17 g,1
302150,Keya Freeze Dried Mixed Herbs Seasoning Flakes 20 g,1
302151,Keya Red Chilli / Lal Mirch Flakes (40g),1
304772,Ravi Chilli Powder 500g,1
306311,Catch Super garam Masala 200g,1
320456,Pro Nature 100% Organic Black Pepper (Whole) 100 g,1
320461,"Pro Nature Organic 100% Organic Cinnamon Bark, 50 g",1
320463,"Pro Nature 100% Organic Clove, 50 g",1
320464,"Pro Nature 100% Organic Coriander Whole, 100 g",1
320465,Pro Nature Organic 100% Organic Cumin (Whole) 100 g,1
320467,"Pro Nature Organic Fenugreek Methi, 200 g",1
320468,Pro Nature Organic Mustard - Seeds 200 g,1
320471,Pro Nature 100% Organic Saunf (Fennel) 100 g,1
320472,"Pro Nature 100% Organic Sesame (White, Natural) 200 g",1
320474,"Pro Nature 100% Organic Turmeric Powder, 100 g",1
331417,Eastern Sambar Powder 100 g,1
331418,Eastern Chicken Masala Powder 100 g,1
331419,Eastern Mutton Masala 100 g,1
331420,Eastern Kabab Masala Powder 100 g,1
331421,Eastern Fish Masala Powder 100 g,1
331422,Eastern Chilli / Mirchi Powder 250 g,1
331423,Eastern Coriander Powder 250 g,1
331426,Eastern Chicken Masala Powder 50 g,1
331978,Adithya Super Fine Coconut Powder 1 kg,1
332226,"On1y Pepper Grinder, 50 g",1
332228,"On1y Italian Seasoning Grinder, 35g",1
332904,Ravi Chilli Powder 100 g,1
332909,Ravi Turmeric Powder 100g,1
332930,Eastern Rasam Powder 100 G,1
332980,Guntur Stemless Chilli / Mirchi Whole 500 g,1
332986,Tamarind Seedless 500 g,1
332987,Byadagi Stemless Chilli / Mirchi Whole 500 g,1
332988,Salem gundu Chilli / Mirchi Whole 500 g,1
335553,Lg Asafoetida / Hing Compounded 100 g,1
335603,Keya Piri Piri Instant Multi Purpose Spice Mix 80 G,1
336356,Eastern Turmeric Powder 500 g,1
336832,Mtr Coriander Powder 200 G,1
336975,MTR Sambar Powder 100 g,1
337526,Kwality White Pepper Powder 100 g,1
337898,"24 Mantra Organic Chilli Powder, 200 g",1
337913,24 Mantra Organic Turmeric / Haldi Powder (200 g),1
339896,Fine Life Masala Instant Noodles 70 g,1
339900,Fine Life Masala Instant Noodles  140 g,1
340748,Sakthi Chilli Powder 200 G,1
