id,name,sub_cate_id
14280,ragi flour 500g,24
14281,organic ragi flour,24
14282,ragi hittu,24
14283,bhagyalakshmi ragi flour,24
14284,kalasa gold ragi flour,24
14285,manna plain ragi flour,24
14286,naturally organic sprout ragi flour 250g,24
14287,organic rava,24
14288,chiroti sooji 1kg,24
14289,sooji 500g,24
14290,chiroti sooji 500g,24
14291,rawa,24
14292,rava,24
14293,rawa 1kg,24
14294,rawa 500g,24
14295,sooji  50kg,24
14296,kalasa idli rawa 1 kg,24
14297,maida 500g,24
14298,maida 1kg,24
14299,maida 10kg,24
14300,maida 50kg,24
14301,maida hittu,24
14302,maida bakery,24
14303,fine flour,24
14304,bhagyalakshmi rice flour,24
14305,wheat dhaliya,24
14306,broken wheat,24
14307,multi millet mix 500g,24
14308,multi millet mix 1kg,24
14309,organic multi mix,24
14310,24 mantra organic corn daliya 500 g,24
14311,corn daliya,24
14312,jowar flour,24
14313,jolada hittu,24
14314,organic super grain quinoa ,24
14315,organic super grain quinoa  500g,24
14316,gluten free flour,24
14317,gluten free flour 500g,24
14318,keerthi rice powder 1kg,24
14319,rice powder,24
14320,bhadang kurmura,24
14321,kurmura 500g,24
14322,double horse idiyappam appam 500g,24
14323,idiyappam appam,24
14324,white putti podi,24
14325,white putti podi 1kg,24
14326,white putti podi 500,24
14327,putu podi,24
14328,idiyappam appam 500g,24
14329,maize flour,24
14330,maize flour 500g,24
14331,maize flour 50kg,24
